
[00:00:00.000 --> 00:00:05.020]  我們中國有一句說話叫做「天人合一」
[00:00:05.020 --> 00:00:07.840]  它是一種哲學思想
[00:00:07.840 --> 00:00:12.180]  天代表道、代表真理、代表法則
[00:00:12.180 --> 00:00:14.080]  天人合一就說
[00:00:14.080 --> 00:00:17.480]  我們和我們的先天本性是相合的
[00:00:17.480 --> 00:00:19.340]  回歸大道
[00:00:19.340 --> 00:00:22.780]  天人合一不單單是一種思想
[00:00:22.780 --> 00:00:25.380]  而且是一種狀態
[00:00:25.380 --> 00:00:27.300]  天人合一這個哲學
[00:00:27.300 --> 00:00:32.180]  可以說是構建了中華傳統文化的主體
[00:00:32.180 --> 00:00:38.500]  在儒家的《罪卦傳》裏有一段這樣的說話
[00:00:38.500 --> 00:00:41.180]  「有天地然後有萬物
[00:00:41.180 --> 00:00:43.900]  有萬物然後有男女
[00:00:43.900 --> 00:00:46.880]  也就是說天之道是始萬物
[00:00:46.880 --> 00:00:49.280]  地之道是生萬物
[00:00:49.280 --> 00:00:52.580]  人之道是成萬物」
[00:00:52.580 --> 00:00:59.040]  儒家學說亦認為天是道德觀念和原則的本源
[00:00:59.040 --> 00:01:03.560]  人天生就具備道德原則
[00:01:03.560 --> 00:01:09.100]  不過由於人類後天受到各種名利、慾望的蒙蔽
[00:01:09.100 --> 00:01:12.640]  不能夠發現自己心裏的道德原則
[00:01:12.640 --> 00:01:15.360]  所以人類經常說去修行
[00:01:15.360 --> 00:01:20.040]  修行的目的就是去除外界慾望的蒙蔽
[00:01:20.040 --> 00:01:26.460]  求其放心,達到一種自覺地履行道德原則的境界
[00:01:26.460 --> 00:01:28.840]  這就是孔子所說的
[00:01:28.840 --> 00:01:33.320]  「七十從心所欲,而不越矩」
[00:01:33.320 --> 00:01:37.240]  儒家對天人合一這個觀念
[00:01:37.240 --> 00:01:41.660]  我覺得和聖經的教導可以說是不謀而合
[00:01:41.660 --> 00:01:46.880]  聖經說起初神創造天地
[00:01:46.880 --> 00:01:51.420]  神創造的一切,祂都看為神好
[00:01:51.420 --> 00:01:55.760]  創造之初,人與神與大自然是和諧合一
[00:01:55.760 --> 00:01:57.600]  但是人犯罪之後
[00:01:57.600 --> 00:02:03.680]  無論與神、與人、與整個大地的關係都受到破壞
[00:02:03.680 --> 00:02:06.780]  所以我們需要耶穌基督的拯救
[00:02:06.780 --> 00:02:12.260]  去重新回到創造之初的天人合一的境界
[00:02:12.260 --> 00:02:15.200]  今日經文的主角尼西米
[00:02:15.200 --> 00:02:21.800]  我從他的生命中體會到一種天人合一的情操
[00:02:21.800 --> 00:02:25.300]  在我們說尼西米的生命之前
[00:02:25.300 --> 00:02:31.880]  讓我們先溫習一下尼西米記的背景資料
[00:02:31.880 --> 00:02:37.520]  這些背景也包含了一些以色列的簡單歷史
[00:02:37.520 --> 00:02:42.540]  從這個表中大概可以看到以色列的情況
[00:02:42.540 --> 00:02:46.060]  大約去到主前的606年
[00:02:46.060 --> 00:02:50.760]  猶太人被巴比倫王尼布格尼撒擄去
[00:02:50.760 --> 00:02:55.160]  從此他們就經歷了70年的被擄生涯
[00:02:55.160 --> 00:03:00.360]  大神好像他按著耶利米所應許的
[00:03:00.360 --> 00:03:03.900]  他說以色列人被擄70年之後
[00:03:03.900 --> 00:03:07.340]  他會激動波斯王塞魯士的心
[00:03:07.340 --> 00:03:10.940]  讓猶太人可以回到故國
[00:03:10.940 --> 00:03:15.180]  這件事記載在《以斯拉記》也有提及
[00:03:15.180 --> 00:03:18.460]  大約去到主前的538年
[00:03:18.460 --> 00:03:20.300]  大家在這裡可以看到
[00:03:20.300 --> 00:03:24.860]  猶太人在索羅巴伯領袖的帶領下
[00:03:24.860 --> 00:03:28.100]  第一次他們回到耶路撒冷
[00:03:28.100 --> 00:03:30.700]  大約又過了80年之後
[00:03:30.700 --> 00:03:34.440]  他們又由祭祀兼民事的以色列
[00:03:34.440 --> 00:03:39.780]  帶領人民第二次歸回
[00:03:39.780 --> 00:03:41.300]  13年之後
[00:03:41.300 --> 00:03:44.780]  尼希米就率領那班被擄之民
[00:03:44.780 --> 00:03:47.200]  第三次回歸故國
[00:03:47.200 --> 00:03:50.980]  大約在主前的444年
[00:03:50.980 --> 00:03:54.320]  今天這段經文講的時代背景
[00:03:54.320 --> 00:03:58.340]  就是尼希米在被擄之地波斯國
[00:03:58.340 --> 00:04:01.540]  他在那裡當一個官叫做「酒席」
[00:04:01.540 --> 00:04:06.100]  當時是亞達茜西一世20年基斯留月
[00:04:06.100 --> 00:04:12.000]  大約在主前的446年11至12月左右
[00:04:12.000 --> 00:04:16.180]  當時他還未帶領第三次回歸
[00:04:16.180 --> 00:04:20.140]  不過他的心一直都是心繫故國
[00:04:20.140 --> 00:04:22.900]  現在我們就嘗試在經文裡面
[00:04:22.900 --> 00:04:27.420]  去探索一下尼希米的生命是怎樣
[00:04:27.420 --> 00:04:29.740]  在他的生命的內涵裡面
[00:04:29.740 --> 00:04:33.980]  我們有什麼值得我們學習的呢?
[00:04:33.980 --> 00:04:37.320]  第一樣我們在經文裡面看到的是
[00:04:37.320 --> 00:04:40.500]  尼希米那份的家國情懷
[00:04:40.500 --> 00:04:43.220]  他很關心他的國家
[00:04:43.220 --> 00:04:46.860]  他和他的子民感同身受
[00:04:46.860 --> 00:04:51.340]  當尼希米他知道一個弟兄哈那尼
[00:04:51.340 --> 00:04:54.380]  和幾個人在鄉下
[00:04:54.380 --> 00:04:57.180]  那裡猶大那個地方回來的時候
[00:04:57.180 --> 00:05:01.420]  他馬上就主動向他們去問
[00:05:01.420 --> 00:05:05.100]  故國的情況、人民的情況
[00:05:05.100 --> 00:05:07.460]  耶路撒冷的那個光景是怎樣
[00:05:07.460 --> 00:05:09.860]  可見其實他一直都很關心著
[00:05:09.860 --> 00:05:13.140]  他的國家、他的人民
[00:05:13.140 --> 00:05:16.580]  當他知道他的同胞正遭遇大難
[00:05:16.580 --> 00:05:18.620]  故鄉的城牆被拆
[00:05:18.620 --> 00:05:21.220]  城門都被焚燒之後
[00:05:21.220 --> 00:05:23.980]  他就有一種切膚之痛
[00:05:23.980 --> 00:05:25.380]  他難過到一個地步
[00:05:25.380 --> 00:05:27.500]  是坐下來哭泣
[00:05:27.500 --> 00:05:29.500]  悲哀了幾天
[00:05:29.500 --> 00:05:38.820]  並且他為同胞來到去禁食、禱告
[00:05:38.820 --> 00:05:45.260]  他為同胞的事面帶手蓉
[00:05:45.260 --> 00:05:48.660]  以致當他去到他的王面前
[00:05:48.660 --> 00:05:53.980]  連亞達薩西王都看到他心事重重
[00:05:53.980 --> 00:05:57.820]  當亞達薩西王問他什麼事的時候
[00:05:57.820 --> 00:06:02.780]  他就為他的同胞的苦況
[00:06:02.780 --> 00:06:06.180]  甚至他冒著極大的生命危險
[00:06:06.180 --> 00:06:08.300]  來向王求恩典
[00:06:08.300 --> 00:06:12.420]  讓他可以回到猶大重建耶路撒冷的城牆
[00:06:12.420 --> 00:06:16.540]  為什麼說尼西米冒著生命危險
[00:06:16.540 --> 00:06:19.580]  來向王請求呢?
[00:06:19.580 --> 00:06:24.100]  事緣其實就是在亞達薩西王的年間
