
[00:00:00.000 --> 00:00:03.200]  我相信沒有人否認過去這一個月裏面
[00:00:03.200 --> 00:00:08.500]  我們全香港的市民都受到這個佔中事件的影響
[00:00:08.500 --> 00:00:17.500]  我也相信沒有人會想到在928的催淚彈播放之後
[00:00:17.500 --> 00:00:22.500]  會落地開花變成不是佔金鐘那麼簡單
[00:00:22.500 --> 00:00:24.500]  而是佔金銀銅
[00:00:24.500 --> 00:00:26.500]  你看這個情況
[00:00:26.500 --> 00:00:28.500]  爲什麼說是金銀銅呢?
[00:00:28.500 --> 00:00:31.500]  旺角是九龍最旺的地帶
[00:00:31.500 --> 00:00:35.500]  那裏的商戶他們是在找真金白銀的
[00:00:35.500 --> 00:00:39.500]  所以現在變成金銀銅的佔據了
[00:00:39.500 --> 00:00:45.500]  其實有很多人都會受這件事情緒上有波動
[00:00:45.500 --> 00:00:49.500]  我和師母都曾經接觸過一些個案
[00:00:49.500 --> 00:00:54.500]  包括有些姐妹可能遇到在Facebook
[00:00:54.500 --> 00:00:58.500]  因爲她不贊成對方的立場等等
[00:00:58.500 --> 00:01:00.500]  結果就沒朋友了
[00:01:00.500 --> 00:01:03.500]  甚至有些認識了幾十年的好朋友
[00:01:03.500 --> 00:01:05.500]  都因爲這樣而撕裂
[00:01:05.500 --> 00:01:07.500]  其實內心是非常的難過
[00:01:07.500 --> 00:01:11.500]  究竟是不是香港今天的社會要搞成這樣呢?
[00:01:11.500 --> 00:01:15.500]  我也曾經真的遇到一個真實的個案
[00:01:15.500 --> 00:01:18.500]  是有一位太太
[00:01:18.500 --> 00:01:20.500]  師母和她談了很久
[00:01:20.500 --> 00:01:23.500]  她是連續兩個星期沒有辦法入睡
[00:01:23.500 --> 00:01:27.500]  特別是在佔中一路開始發展的頭兩個星期
[00:01:27.500 --> 00:01:30.500]  每天她在電視新聞看到的那些畫面
[00:01:30.500 --> 00:01:32.500]  令她情緒很不安
[00:01:32.500 --> 00:01:36.500]  我們今天我相信在每一個家庭
[00:01:36.500 --> 00:01:40.500]  甚至每一個教會都出現過這種撕裂
[00:01:40.500 --> 00:01:43.500]  但是我們怎麼回應這件事呢?
[00:01:43.500 --> 00:01:46.500]  我相信我們是需要客觀
[00:01:46.500 --> 00:01:51.500]  也需要用一個持平的眼光去分析一下
[00:01:51.500 --> 00:01:53.500]  整件事的背後
[00:01:53.500 --> 00:01:57.500]  我很相信不是一朝一夕突然間爆發的
[00:01:57.500 --> 00:02:02.500]  我要檢視一下香港社會運動的發展背景
[00:02:02.500 --> 00:02:04.500]  由六七十年代開始
[00:02:04.500 --> 00:02:06.500]  其實因爲民生的訴求
