
[00:00:00.000 --> 00:00:03.360]  首先跟大家說聲聖誕快樂
[00:00:03.360 --> 00:00:05.920]  我相信在這幾天大家都說過很多
[00:00:05.920 --> 00:00:09.480]  聽過很多聖誕快樂的祝福說話
[00:00:09.480 --> 00:00:11.320]  但是我想問問大家
[00:00:11.320 --> 00:00:13.680]  到現在為止大家是不是
[00:00:13.680 --> 00:00:18.000]  正在享受、擁有一個很快樂的聖誕
[00:00:18.000 --> 00:00:18.920]  是不是?
[00:00:18.920 --> 00:00:20.320]  當然啦
[00:00:20.320 --> 00:00:23.040]  這個聖誕節我是
[00:00:23.040 --> 00:00:24.800]  收到很多的禮物
[00:00:24.800 --> 00:00:26.920]  剛剛吃完聖誕大餐
[00:00:26.920 --> 00:00:29.000]  或者剛剛去完旅遊回來
[00:00:29.000 --> 00:00:30.160]  不過現在疫情的緣故
[00:00:30.160 --> 00:00:32.520]  我相信都沒什麼人去旅遊了
[00:00:32.520 --> 00:00:35.840]  如果是的話
[00:00:35.840 --> 00:00:36.640]  恭喜大家
[00:00:36.640 --> 00:00:40.320]  是一個很快樂的聖誕節
[00:00:40.320 --> 00:00:41.760]  但是聖誕節
[00:00:41.760 --> 00:00:43.120]  快樂的聖誕
[00:00:43.120 --> 00:00:45.240]  或者是聖誕的快樂
[00:00:45.240 --> 00:00:51.440]  其實不單是一個開心這麼簡單
[00:00:51.440 --> 00:00:55.080]  有一次一個霸氣班
[00:00:55.080 --> 00:01:00.320]  去了一個很窮的村落去表演
[00:01:00.320 --> 00:01:04.800]  當中一個窮小子
[00:01:04.800 --> 00:01:06.040]  很想去
[00:01:06.040 --> 00:01:07.360]  從未看過霸氣班
[00:01:07.360 --> 00:01:08.440]  就很想去看霸氣班
[00:01:08.440 --> 00:01:09.320]  不過沒錢
[00:01:09.320 --> 00:01:11.400]  就去父親那裡跟父親說
[00:01:11.400 --> 00:01:15.040]  我想買票去霸氣班看
[00:01:15.040 --> 00:01:17.120]  父親說我窮到沒錢
[00:01:17.120 --> 00:01:17.960]  不如這樣
[00:01:17.960 --> 00:01:21.800]  我安排你去鄰居的農場打工
[00:01:21.800 --> 00:01:25.000]  你賺到錢就可以存錢去霸氣班
[00:01:25.000 --> 00:01:27.840]  窮小子很努力工作
[00:01:27.840 --> 00:01:29.720]  存夠錢之後
[00:01:29.720 --> 00:01:35.520]  很開心就去買了一張霸氣班的戲票去看
[00:01:35.520 --> 00:01:38.520]  到了霸氣班來的那一天
[00:01:38.520 --> 00:01:41.280]  整條村落都很開心
[00:01:41.280 --> 00:01:45.360]  窮小子一早就走到路邊那裡
[00:01:45.360 --> 00:01:46.840]  就拿好位置
[00:01:46.840 --> 00:01:49.800]  在那裡霸氣班的巡遊
[00:01:49.800 --> 00:01:53.320]  一直很熱鬧的進城
[00:01:53.320 --> 00:01:55.960]  窮小子一路看的時候
[00:01:55.960 --> 00:01:59.480]  大象、猴子、小丑很開心
[00:01:59.480 --> 00:02:04.520]  有一個小丑甚至走到窮小子面前跳舞
[00:02:04.520 --> 00:02:07.280]  窮小子一看到就開心到不得了
[00:02:07.280 --> 00:02:12.280]  馬上就把那張票拿給小丑
[00:02:12.280 --> 00:02:20.480]  一路看到整個霸氣班所有人員的巡遊結束了
[00:02:20.480 --> 00:02:23.120]  窮小子很開心很滿足
[00:02:23.120 --> 00:02:24.680]  回到父親那裡
[00:02:24.680 --> 00:02:27.360]  就把這個開心的經歷跟父親說
[00:02:27.360 --> 00:02:30.960]  父親說「你怎麼這麼早回來?」
[00:02:30.960 --> 00:02:36.080]  就問兒子「你不如告訴我你看到些什麼?」
[00:02:36.080 --> 00:02:38.880]  兒子就跟他說「我看到很多東西」
[00:02:38.880 --> 00:02:40.520]  「這樣那樣那樣」
[00:02:40.520 --> 00:02:43.120]  「還有一個小丑在我面前跳舞」
[00:02:43.120 --> 00:02:45.800]  「我就把那張票給他了」
[00:02:45.800 --> 00:02:46.960]  父親就跟兒子說
[00:02:46.960 --> 00:02:51.040]  「兒子,這是巡遊,正在進城」
[00:02:51.040 --> 00:02:55.360]  「你沒有正式看到那個霸氣班」
[00:02:55.360 --> 00:03:01.040]  這個小孩、男孩的故事讓我想起
[00:03:01.040 --> 00:03:03.760]  聖誕節其實很多時候都是這樣
[00:03:03.760 --> 00:03:07.160]  對我們來說聖誕節就是有聖誕樹、有聖誕歌
[00:03:07.160 --> 00:03:09.920]  聖誕大餐、去旅遊、禮物
