
[00:00:00.000 --> 00:00:03.000]  主,讓我們的身心靈降服在您的面前
[00:00:03.000 --> 00:00:08.000]  打開我們的心,打開我們的靈,打開我們的耳朵,打開我們的淑靈的眼睛
[00:00:08.000 --> 00:00:11.000]  讓祢見到我們,讓我們聽見祢的聲音
[00:00:11.000 --> 00:00:14.000]  讓我們感受到聖命這一份的同在
[00:00:14.000 --> 00:00:17.000]  主,我們奉耶穌基督的名粉碎一切的驕傲
[00:00:17.000 --> 00:00:19.000]  拿走一切的蒙蔽
[00:00:19.000 --> 00:00:22.000]  拿走任何難阻我們親近祢
[00:00:22.000 --> 00:00:24.000]  來到祢的私隱寶藏面前
[00:00:24.000 --> 00:00:25.000]  一切的阻隔要離開我們
[00:00:25.000 --> 00:00:27.000]  一切黑暗勢力要離開我們
[00:00:27.000 --> 00:00:29.000]  主,這個殿是屬於祢的
[00:00:29.000 --> 00:00:32.000]  所以祢要切勒祢的寶座在我們當中
[00:00:32.000 --> 00:00:34.000]  我們弟兄姊妹是聖靈的殿
[00:00:34.000 --> 00:00:38.000]  所以我們百分之一百完完全全是屬於耶穌基督
[00:00:38.000 --> 00:00:40.000]  求聖靈居住在我們當中
[00:00:40.000 --> 00:00:41.000]  充滿我們
[00:00:41.000 --> 00:00:44.000]  讓我們經歷到祢這份長闊高深的愛
[00:00:44.000 --> 00:00:47.000]  讓我們受真理的靈帶領
[00:00:47.000 --> 00:00:49.000]  更加明白祢的旨意
[00:00:49.000 --> 00:00:50.000]  體會祢的心腸
[00:00:50.000 --> 00:00:53.000]  親愛的主,我們將這個時間交給祢
[00:00:53.000 --> 00:00:55.000]  求祢親自跟我們說話
[00:00:55.000 --> 00:00:56.000]  聽我們的禱告
[00:00:56.000 --> 00:00:58.000]  奉耶穌基督得性的名
[00:00:58.000 --> 00:00:59.000]  Amen
[00:00:59.000 --> 00:01:00.000]  讓姐妹請坐
[00:01:28.000 --> 00:01:31.000]  一坐下去就感受到那種舒服
[00:01:31.000 --> 00:01:34.000]  一開車司機就跟她說
[00:01:34.000 --> 00:01:36.000]  先生,冷氣夠不夠?
[00:01:36.000 --> 00:01:38.000]  你想聽收音機還是聽音樂?
[00:01:38.000 --> 00:01:41.000]  我的朋友選擇了輕鬆的爵士樂
[00:01:41.000 --> 00:01:44.000]  當車停在紅綠燈前停一停的時間
[00:01:44.000 --> 00:01:45.000]  司機就繼續介紹
[00:01:45.000 --> 00:01:49.000]  先生,你想喝果汁還是想喝可樂?
[00:01:49.000 --> 00:01:51.000]  如果你想喝就打開這個小冰箱就行了
[00:01:51.000 --> 00:01:53.000]  但如果你想喝熱咖啡
[00:01:53.000 --> 00:01:56.000]  你在旁邊的咖啡壺倒就行了
[00:01:56.000 --> 00:01:58.000]  對於這麼好的服務
[00:01:58.000 --> 00:01:59.000]  我的朋友也是第一次見
[00:01:59.000 --> 00:02:02.000]  他不禁望下司機一眼
[00:02:02.000 --> 00:02:05.000]  他發覺司機面露笑容
