
[00:00:00.000 --> 00:00:02.000]  睇睇啦,OK,睇睇啦。
[00:00:02.000 --> 00:00:18.000]  識唔識唱呀?
[00:00:30.000 --> 00:00:35.000]  呢個係八十年代嘅好流行嘅歌嚟㗎啦。
[00:00:35.000 --> 00:00:39.000]  如果你係八零年後嗰啲呢,可能你就冇機會聽過。
[00:00:39.000 --> 00:00:43.000]  但係,八零年代出生嘅人,我相信開始有印象啦。
[00:00:43.000 --> 00:00:45.000]  知唔知係邊度嚟㗎?
[00:00:45.000 --> 00:00:48.000]  八零年代。
[00:00:48.000 --> 00:00:51.000]  天龍八部嘅主題曲呀!
[00:00:51.000 --> 00:00:53.000]  聽過天龍八部咩?
[00:00:53.000 --> 00:00:59.000]  天龍八部嘅主題曲,一開始呢,就係關正義、關谷英,即係相關。
[00:00:59.000 --> 00:01:02.000]  唱呢兩首歌。
[00:01:02.000 --> 00:01:07.000]  係好popular嘅,其中一個嘅電視劇嘅主題歌嚟㗎。
[00:01:07.000 --> 00:01:11.000]  你聽落去嘅時候呢,淨係呢兩句都好殺食㗎啦,點解呢?
[00:01:11.000 --> 00:01:14.000]  好明顯係講到男女相悅嘅時候呢,
[00:01:14.000 --> 00:01:21.000]  話可以,原來愛情呢,係令人係可以如癡如醉㗎。
[00:01:21.000 --> 00:01:23.000]  咁所以今日同大家講嘅題目係乜嘢呢?
[00:01:23.000 --> 00:01:28.000]  即係講到「塞外約斬鞭屍」,即係講到我哋嘅「分盟誓約」啦。
[00:01:28.000 --> 00:01:34.000]  然後呢,大家夫妻之間,應該嗰種好恩愛、纏綿嘅生活。
[00:01:34.000 --> 00:01:37.000]  應該啦,係講應該。
[00:01:37.000 --> 00:01:40.000]  個問題係乜嘢呢?好多時我哋結婚之後呢,
[00:01:40.000 --> 00:01:48.000]  如果我哋唔識得去珍惜,唔識得去保護,唔識得去培養大家呢個相愛嘅關係,
[00:01:48.000 --> 00:01:51.000]  再加上如果我哋唔識得去溝通,
[00:01:51.000 --> 00:01:57.000]  我哋唔識得去處理呢,夫妻之間嗰啲嘅矛盾同埋衝突呢,
[00:01:57.000 --> 00:02:04.000]  咁你會發覺呢,夫妻之間嗰種嘅感覺,嗰種嘅feel呢,嗰種嘅愛意呢,
[00:02:04.000 --> 00:02:07.000]  好快就會被時日沖淡嘅。
[00:02:07.000 --> 00:02:11.000]  我相信結咗婚嘅人呢,可能都會有咁嘅感覺。
[00:02:11.000 --> 00:02:19.000]  特別好似我剛才講,你冇去保養,你冇去顧惜,你唔識得去處理當中嘅矛盾衝突。
[00:02:19.000 --> 00:02:24.000]  你會發覺呢個似乎係好自然有嘅一個問題。
[00:02:24.000 --> 00:02:30.000]  咁有啲問題裏面嚟講呢,如果我哋繼續唔去理會佢哋嘅時候呢,
[00:02:30.000 --> 00:02:35.000]  咁當然問題就唔會改善啦,就只會變得越嚟越嚴重嘅。
[00:02:35.000 --> 00:02:40.000]  咁其實呢而家大家都好忙啦,灣區嘅生活好多人都係兩工一工做嘢嘅。
[00:02:40.000 --> 00:02:45.000]  就算唔係兩工一工做嘢都好啦,都係朝見口晚見面嘅啫,啱唔啱呀?
[00:02:45.000 --> 00:02:47.000]  就係嗰兩個時間最常見。
[00:02:47.000 --> 00:02:51.000]  但係如果我哋嘅關係唔好呢,你見面嘅時間,
[00:02:51.000 --> 00:02:58.000]  好多時候我哋嘅注意力就只會放喺對方嘅問題同埋對方嗰個嘅缺點上面。
[00:02:58.000 --> 00:03:00.000]  再有甚者係乜嘢呢?
[00:03:00.000 --> 00:03:06.000]  大家冇發覺如果到個地步呢,你一見面嘅時候你仲放大鏡去睇下你係咩問題,
[00:03:06.000 --> 00:03:11.000]  有咩缺點,然後就再將呢啲問題和缺點無限放大。
