
[00:00:00.000 --> 00:00:02.800]  大家就一次低頭祈禱吧
[00:00:02.800 --> 00:00:07.500]  天父願祢的說話再一次提醒我們
[00:00:07.500 --> 00:00:10.000]  今天我們奉祢的明聚會的時候
[00:00:10.000 --> 00:00:13.000]  也都是知道祢在我們中間
[00:00:13.000 --> 00:00:16.000]  求祢的聖靈在我們中間運行
[00:00:16.000 --> 00:00:19.000]  主祢讓我們聽到不只是人的說話
[00:00:19.000 --> 00:00:21.000]  更加是聽到祢的聲音
[00:00:21.000 --> 00:00:23.000]  聽到祢對我們心靈的呼喚
[00:00:23.000 --> 00:00:25.000]  以至到我們願意來回應
[00:00:25.000 --> 00:00:27.000]  奉耶穌基督的明祈求
[00:00:27.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:30.000]  父親節快樂
[00:00:30.000 --> 00:00:32.000]  今天是父親節
[00:00:32.000 --> 00:00:35.000]  但是今天就不是講父親節的標題
[00:00:35.000 --> 00:00:38.000]  因為我們繼續講標竿人生
[00:00:38.000 --> 00:00:41.000]  今天就講到第五講
[00:00:41.000 --> 00:00:44.000]  就是講到關於服侍的
[00:00:44.000 --> 00:00:46.000]  講到關於服侍
[00:00:46.000 --> 00:00:48.000]  在聖經那裡
[00:00:48.000 --> 00:00:52.000]  以夫所書第二章第十節這樣講
[00:00:52.000 --> 00:00:54.000]  我們原是他的工作
[00:00:54.000 --> 00:00:56.000]  在基督耶穌裡造成的
[00:00:56.000 --> 00:00:58.000]  祂要叫我們行善
[00:00:58.000 --> 00:01:02.000]  就是神所預備叫我們行的
[00:01:02.000 --> 00:01:05.000]  這一節聖經本身可能
[00:01:05.000 --> 00:01:09.000]  不是那麼多人懂得背
[00:01:09.000 --> 00:01:12.000]  可能你不知道有沒有背過這段聖經
[00:01:12.000 --> 00:01:16.000]  可能我相信對於這段聖經來說
[00:01:16.000 --> 00:01:18.000]  懂得背的人不是那麼多
[00:01:18.000 --> 00:01:21.000]  但是這段聖經前一句
[00:01:21.000 --> 00:01:23.000]  可能很多人就懂得背了
[00:01:23.000 --> 00:01:24.000]  是不是
[00:01:24.000 --> 00:01:26.000]  當然你說前一句是什麼
[00:01:26.000 --> 00:01:27.000]  前一句就說
[00:01:27.000 --> 00:01:30.000]  你們得救是本乎因也因著信
[00:01:30.000 --> 00:01:33.000]  者並不是出於自己乃是神所賜的
[00:01:33.000 --> 00:01:36.000]  也不是出於行為免得有人自誇
[00:01:36.000 --> 00:01:38.000]  這句懂得背了吧
[00:01:38.000 --> 00:01:39.000]  是不是
[00:01:39.000 --> 00:01:41.000]  這句我想很多人都懂得背
[00:01:41.000 --> 00:01:43.000]  我們得救是本乎因也因著信
[00:01:43.000 --> 00:01:45.000]  這個很多人都懂得背
[00:01:45.000 --> 00:01:47.000]  但是後面這一句
[00:01:47.000 --> 00:01:51.000]  我們是原是神的工作
[00:01:51.000 --> 00:01:53.000]  在基督耶穌裡面造成
[00:01:53.000 --> 00:01:54.000]  叫我們行善
[00:01:54.000 --> 00:01:57.000]  就是神所預備叫我們行
[00:01:57.000 --> 00:02:03.000]  這句很多時候人都忽略了
[00:02:03.000 --> 00:02:07.000]  其實兩句聖經本身都是一個
[00:02:07.000 --> 00:02:09.000]  非常重要的
[00:02:09.000 --> 00:02:12.000]  需要兩邊合在一起來看
