
[00:00:00.000 --> 00:00:02.160]  我們一起來研讀神的話語
[00:00:02.160 --> 00:00:05.000]  不過當我們去看神的話語之先
[00:00:05.000 --> 00:00:07.320]  我們想有一個禱告的時刻
[00:00:07.320 --> 00:00:08.520]  我相信大家都知道
[00:00:08.520 --> 00:00:14.360]  我們在這個星期仍然在10月1號海南的悲哀當中
[00:00:14.360 --> 00:00:21.840]  我們教會也有家庭在這件事上失去了親友
[00:00:21.840 --> 00:00:28.840]  我們也紀念到在香港很多很多在痛苦、創傷當中的人
[00:00:28.840 --> 00:00:32.040]  我們有一些禱告的時間
[00:00:32.040 --> 00:00:36.560]  我們代求並不是再將一件事件告訴神
[00:00:36.560 --> 00:00:39.440]  然後加一點點社會評論
[00:00:39.440 --> 00:00:43.600]  禱告是我們的代禱是人不是事
[00:00:43.600 --> 00:00:46.160]  所以稍後我會給十多秒的時間
[00:00:46.160 --> 00:00:51.760]  我們每一個人回顧在過去這幾天
[00:00:51.760 --> 00:00:54.960]  無論有時你會在報紙
[00:00:54.960 --> 00:00:56.280]  有時在電台
[00:00:56.280 --> 00:00:58.280]  有時在電視的新聞裏面
[00:00:58.280 --> 00:01:01.120]  所看到的畫面、聽到的聲音
[00:01:01.120 --> 00:01:07.920]  那些哀哭、痛楚、失落
[00:01:07.920 --> 00:01:14.480]  你將你自己的心進到受苦的人身邊
[00:01:14.480 --> 00:01:16.600]  然後我們就開始禱告
[00:01:16.600 --> 00:01:19.800]  將他們帶到神的面前
[00:01:19.800 --> 00:01:21.880]  這個才是我們的禱告
[00:01:21.880 --> 00:01:23.800]  我們有一個這樣的祈禱
[00:01:23.800 --> 00:01:27.400]  我們首先用十多秒的時間回顧
[00:01:27.400 --> 00:01:30.640]  我們看看在我們記憶當中這些畫面
[00:01:30.640 --> 00:01:49.840]  我們將它放在我們的心靈裏面
[00:01:49.840 --> 00:01:53.000]  你看到它們嗎?
[00:01:53.000 --> 00:01:56.880]  你雖然不認識它們的名字
[00:01:56.880 --> 00:01:59.960]  但你看到它們的眼淚
[00:01:59.960 --> 00:02:02.480]  聽到它們的故事
[00:02:02.480 --> 00:02:05.240]  見到它們的哀傷
[00:02:05.240 --> 00:02:10.200]  現在請你將你的心進到它們的身邊
[00:02:10.200 --> 00:02:12.240]  可能它們在家裏面
[00:02:12.240 --> 00:02:17.640]  這個時間可能在醫院裏面
[00:02:17.640 --> 00:02:19.920]  可能在任何一個地方
[00:02:19.920 --> 00:02:21.080]  但讓我們的禱告
[00:02:21.080 --> 00:02:25.200]  讓我們的心進到它們的生命裏面
[00:02:25.200 --> 00:02:29.240]  然後代表它們向我們的神呼求
[00:02:29.240 --> 00:02:31.480]  我們一起祈禱
