
[00:00:00.000 --> 00:00:07.000]  平安,很開心能夠再次回來教會跟大家分享神的話語
[00:00:07.000 --> 00:00:11.000]  我們先一起同心祈禱
[00:00:11.000 --> 00:00:18.000]  我們感謝祢的恩典,讓我們在今天的清晨可以一起聚集,敬拜祢
[00:00:18.000 --> 00:00:23.000]  又可以靈性祢的話語,我們求神祢的靈幫助我們
[00:00:23.000 --> 00:00:27.000]  能夠從祢的話語中得到力量,盼望和鼓勵
[00:00:28.000 --> 00:00:33.000]  在我們日常生活當中,奉耶穌基督的名祈禱,下門
[00:00:33.000 --> 00:00:42.000]  今天我們開始講一個新的系列講道,主題是好消息
[00:00:42.000 --> 00:00:54.000]  我們會從羅馬書裡面來看,帶來一個充滿盼望的好消息
[00:00:55.000 --> 00:01:03.000]  一個在人生困境中,內心的掙扎中,給我們帶來盼望和力量的好消息
[00:01:03.000 --> 00:01:10.000]  我們剛才已經讀過羅馬書第一章1至17節
[00:01:10.000 --> 00:01:19.000]  在16至17節就是羅馬書的中心信息,《大能的福音》是今天的講題
[00:01:20.000 --> 00:01:30.000]  最近我們看了幾本新約的書卷,包括帖薩羅尼加前後書和哥羅西書,都是保羅寫的
[00:01:30.000 --> 00:01:42.000]  他寫書的特色就是會把他的主要目的,或者說中心信息,在書的一開始就寫出來了
[00:01:42.000 --> 00:01:47.000]  然後他就慢慢介意詳細的解釋
[00:01:48.000 --> 00:01:53.000]  羅馬書也是一樣,在今天的經文1章16至17節就說
[00:01:53.000 --> 00:02:04.000]  「我不以福音為始,這福音本是上帝的大能,要求一切相順的,先是猶太人,後是希臘人
[00:02:04.000 --> 00:02:16.000]  因為上帝的義正在這福音上顯明出來,這義是本於信,以至於信,如經上所記,義人必因信特信」
[00:02:17.000 --> 00:02:22.000]  在羅馬書後面的經文就解釋上帝的大能,要救世人
[00:02:22.000 --> 00:02:34.000]  並且上帝已經預備好了一個方法,就是透過信福音,人就可以成為上帝眼中的義人
[00:02:34.000 --> 00:02:42.000]  可以和上帝重建一個好像父親和兒女的血脈關係
[00:02:43.000 --> 00:02:51.000]  在未思想今天的經文之前,讓我先介紹一下羅馬書的一些背景
[00:02:51.000 --> 00:02:56.000]  羅馬那裡的教會不是保羅所建立的教會
[00:02:56.000 --> 00:03:05.000]  實際上我們不知道究竟是誰把福音傳到羅馬,以及建立了羅馬教會
[00:03:05.000 --> 00:03:10.000]  很有可能是在第一次的五巡節
[00:03:11.000 --> 00:03:15.000]  大家都記得在《士大行傳》第二章第一次的五巡節
[00:03:15.000 --> 00:03:19.000]  聖靈降臨的時候,其實有很多猶太人信了主
[00:03:19.000 --> 00:03:29.000]  那裡信了主的猶太人,慢慢就把耶穌從死裡復活這個好消息慢慢傳回羅馬
[00:03:30.000 --> 00:03:42.000]  開始的時候,猶太人的家庭聚會,成為了一個家庭教會的模式
[00:03:42.000 --> 00:03:51.000]  信徒的數量慢慢不斷增加,然後大約公元四十年代的時候
[00:03:52.000 --> 00:04:04.000]  羅馬皇帝克勞迪一世就決定要將所有猶太人驅逐出羅馬
[00:04:04.000 --> 00:04:08.000]  那為什麼呢?為什麼要趕猶太人走呢?
[00:04:08.000 --> 00:04:14.000]  有一位歷史學家記載,看到皇帝要趕猶太人走的原因
[00:04:15.000 --> 00:04:23.000]  是因為猶太人在基督的煽動下,不斷製造騷亂
[00:04:23.000 --> 00:04:31.000]  真實的情況,很可能是猶太人對於拿撒勒的耶穌
[00:04:31.000 --> 00:04:40.000]  是不是預言中的基督,而跟一些信徒,猶太人已經信了耶穌的信徒
[00:04:41.000 --> 00:04:48.000]  他們就發生了激烈的衝突,兩派可能大打出手
[00:04:48.000 --> 00:04:53.000]  發生了激烈的衝突,造成了城市的騷亂
[00:04:53.000 --> 00:04:59.000]  羅馬政府搞不清楚基督教和猶太教有什麼分別
[00:04:59.000 --> 00:05:03.000]  不管黑貓白貓,白貓就趕走了
[00:05:03.000 --> 00:05:07.000]  從此就希望羅馬平平安安
[00:05:08.000 --> 00:05:13.000]  將所有猶太人繼續離開羅馬
[00:05:13.000 --> 00:05:18.000]  過了幾年之後,這條命令又暫停執行
[00:05:18.000 --> 00:05:24.000]  又允許猶太人回到羅馬
[00:05:24.000 --> 00:05:28.000]  我們想想教會的情況
[00:05:28.000 --> 00:05:32.000]  教會裏面本來有猶太人的信徒
[00:05:32.000 --> 00:05:35.000]  由他們帶福音回到羅馬
[00:05:36.000 --> 00:05:39.000]  很自然成為教會的領袖,教會的重要之處
[00:05:39.000 --> 00:05:45.000]  慢慢有些非猶太人信了,外方人信了,加入教會
[00:05:45.000 --> 00:05:50.000]  教會仍然是由猶太人領導
[00:05:50.000 --> 00:05:56.000]  但是猶太人被趕走之後,你說教會不可以群龍無首
[00:05:56.000 --> 00:06:01.000]  於是外方人就開始接管了這些小教會的領導權
[00:06:02.000 --> 00:06:09.000]  當猶太人再重新可以避開政府,回到羅馬的時候
[00:06:09.000 --> 00:06:13.000]  猶太信徒要重新融入教會
[00:06:13.000 --> 00:06:20.000]  回到教會問題不大,但是你想重掌領導權
[00:06:20.000 --> 00:06:24.000]  問題就大了,不是很順利的
[00:06:24.000 --> 00:06:27.000]  你想拿回領導權不是很順利
[00:06:28.000 --> 00:06:35.000]  猶太基督徒和非猶太基督徒在一些問題上是出現了分歧
[00:06:35.000 --> 00:06:42.000]  在公元57至58年,保羅當時很可能是在哥倫多的時候
[00:06:42.000 --> 00:06:46.000]  就決定寫信給羅馬的基督徒
[00:06:46.000 --> 00:06:51.000]  雖然他自己本人沒有去過羅馬
[00:06:51.000 --> 00:06:54.000]  但是從羅馬書第16章
[00:06:55.000 --> 00:06:59.000]  我們知道他認識至少26位信徒的名字
[00:06:59.000 --> 00:07:07.000]  所以對羅馬教會來說,保羅不是一個陌生的名字
[00:07:07.000 --> 00:07:12.000]  保羅寫這封信有三個目的
[00:07:12.000 --> 00:07:17.000]  第一,要尋求羅馬教會的支持
[00:07:17.000 --> 00:07:22.000]  讓保羅去拜訪他們,也得到他們的支持
[00:07:23.000 --> 00:07:27.000]  讓保羅可以繼續到西班牙傳道
[00:07:27.000 --> 00:07:32.000]  第二,鼓勵他們作為信徒
[00:07:32.000 --> 00:07:37.000]  猶太人和外邦人應該團結一致
[00:07:37.000 --> 00:07:46.000]  第三,向他們介紹一位即將前往羅馬的堅甲理教會的菲比
[00:07:46.000 --> 00:07:50.000]  希望教會會接待他
[00:07:51.000 --> 00:07:57.000]  講完羅馬書的中心信息和保羅寫上目的之後
[00:07:57.000 --> 00:08:00.000]  讓我給大家一個羅馬書的大綱
[00:08:00.000 --> 00:08:04.000]  如果你對羅馬書有興趣的提醒姐妹
[00:08:04.000 --> 00:08:07.000]  你可以回家跟著這個大綱做一圖
[00:08:07.000 --> 00:08:11.000]  因為我們不會一次過看完羅馬書第16章聖經
[00:08:11.000 --> 00:08:14.000]  而是分兩期看
[00:08:14.000 --> 00:08:17.000]  現在開始看第8章
[00:08:18.000 --> 00:08:23.000]  然後到10月份,再回來看第9章第16章
[00:08:23.000 --> 00:08:28.000]  大綱的分類方法就是這樣
[00:08:28.000 --> 00:08:31.000]  一章1至17就是開場白
[00:08:31.000 --> 00:08:34.000]  就是文案和簡述
[00:08:34.000 --> 00:08:37.000]  覆陰就是神的公然和大能
[00:08:37.000 --> 00:08:41.000]  然後進入第一部分,由一章18至4章25
