
[00:00:00.000 --> 00:00:03.000]  詩篇三、四篇我們一起來念
[00:00:03.000 --> 00:00:07.000]  眾弟子啊,你們當來聽我的話
[00:00:07.000 --> 00:00:11.000]  我要將敬畏耶和華的道教訓你們
[00:00:11.000 --> 00:00:16.000]  有何人喜好存活,愛慕長壽,得享美福
[00:00:16.000 --> 00:00:19.000]  就要禁止舌頭不出惡言
[00:00:19.000 --> 00:00:21.000]  嘴唇不說詭詐的話
[00:00:21.000 --> 00:00:26.000]  要離惡行善,尋求和睦,一心追趕
[00:00:26.000 --> 00:00:28.000]  我們一起禱告
[00:00:28.000 --> 00:00:30.000]  我們的主我們滿心的感謝你
[00:00:30.000 --> 00:00:33.000]  感謝你自己為我們預備了這個時間
[00:00:33.000 --> 00:00:36.000]  讓我們能夠在這一天裡面我們一起聚集
[00:00:36.000 --> 00:00:39.000]  我們在你面前敬拜你、歌頌你、讚美你
[00:00:39.000 --> 00:00:41.000]  這都是你自己的恩典
[00:00:41.000 --> 00:00:43.000]  每當我們來到你面前的時候
[00:00:43.000 --> 00:00:45.000]  我們真的是要求你自己的光
[00:00:45.000 --> 00:00:47.000]  福音的真光照亮我們
[00:00:47.000 --> 00:00:49.000]  照亮我們心靈
[00:00:49.000 --> 00:00:52.000]  讓我們能夠看見你自己是誰
[00:00:52.000 --> 00:00:53.000]  讓我們能夠知道
[00:00:53.000 --> 00:00:56.000]  能夠曉得你為我們所成就的事情
[00:00:56.000 --> 00:00:58.000]  那我們來到你面前
[00:00:58.000 --> 00:01:01.000]  我們真的是承認在我們裡面是沒有光的
[00:01:01.000 --> 00:01:02.000]  在我們裡面是黑暗的
[00:01:02.000 --> 00:01:05.000]  若不是你自己的光照進我們裡面
[00:01:05.000 --> 00:01:07.000]  我們沒有辦法發出光來
[00:01:07.000 --> 00:01:08.000]  所以我們謝謝你
[00:01:08.000 --> 00:01:10.000]  謝謝你自己的恩典
[00:01:10.000 --> 00:01:12.000]  讓我們在聽你的話語的時候
[00:01:12.000 --> 00:01:13.000]  讓我們從頭到尾
[00:01:13.000 --> 00:01:16.000]  我們能夠知道這一件真理
[00:01:16.000 --> 00:01:17.000]  我們感謝禱告
[00:01:17.000 --> 00:01:19.000]  順從主耶穌基督的聖名
[00:01:19.000 --> 00:01:20.000]  阿們
[00:01:20.000 --> 00:01:23.000]  我們今天要思想一個主題
[00:01:23.000 --> 00:01:28.000]  那麼就是在詩篇第34篇第12節
[00:01:28.000 --> 00:01:31.000]  他說有何人喜傲存活
[00:01:31.000 --> 00:01:33.000]  愛慕長壽得享美福
[00:01:33.000 --> 00:01:35.000]  就要禁止舌頭不出惡言
[00:01:35.000 --> 00:01:37.000]  嘴唇不說詭詐的話
[00:01:37.000 --> 00:01:40.000]  在這個地方我先提一下
[00:01:40.000 --> 00:01:42.000]  這個愛慕長壽
[00:01:42.000 --> 00:01:45.000]  那個長字旁邊是有點點點
[00:01:45.000 --> 00:01:48.000]  就表示說原來是沒有那個字的
[00:01:48.000 --> 00:01:49.000]  那麼在希伯來文
[00:01:49.000 --> 00:01:51.000]  它的意思就是說生命
[00:01:51.000 --> 00:01:53.000]  就是愛慕生命
[00:01:53.000 --> 00:01:54.000]  那麼換句話講
[00:01:54.000 --> 00:01:57.000]  就是一個人他如果要熱愛生命
[00:01:57.000 --> 00:02:01.000]  他要享受這個美福的話
[00:02:01.000 --> 00:02:03.000]  那麼詩人就告訴我們
[00:02:03.000 --> 00:02:05.000]  你就要禁止舌頭不出惡言
[00:02:05.000 --> 00:02:07.000]  嘴唇不說詭詐的話
[00:02:07.000 --> 00:02:08.000]  要離惡行善
[00:02:08.000 --> 00:02:09.000]  尋求和睦
[00:02:09.000 --> 00:02:11.000]  一心追趕
[00:02:11.000 --> 00:02:14.000]  第一件事情就是要禁止舌頭不出惡言
[00:02:14.000 --> 00:02:16.000]  不說詭詐的話
[00:02:16.000 --> 00:02:18.000]  這篇詩篇是大衛
[00:02:18.000 --> 00:02:22.000]  當他在逃避掃羅王的追殺的時候
[00:02:22.000 --> 00:02:26.000]  他逃到迦特王雅吉那個地方
[00:02:26.000 --> 00:02:28.000]  但是沒有想到那邊的人認出他來
[00:02:28.000 --> 00:02:31.000]  原來是一個撒菲利士人的勇士
[00:02:31.000 --> 00:02:34.000]  記不記得那些婦女跳唱說
[00:02:34.000 --> 00:02:36.000]  這個掃羅殺死千千
[00:02:36.000 --> 00:02:38.000]  大衛殺死萬萬
[00:02:38.000 --> 00:02:40.000]  所以這個大衛在那個時候
[00:02:40.000 --> 00:02:42.000]  他為了保全他自己的性命
[00:02:42.000 --> 00:02:45.000]  他就裝瘋像個白癡一樣
[00:02:45.000 --> 00:02:49.000]  那麼這一篇詩篇我先介紹一下前後文
[00:02:49.000 --> 00:02:50.000]  所以比較了解
[00:02:50.000 --> 00:02:54.000]  第一節到第七節是他個人所經歷的
[00:02:54.000 --> 00:02:57.000]  他個人經歷神在他身上的恩典
[00:02:57.000 --> 00:02:59.000]  第十五節到二十二節就講到說
[00:02:59.000 --> 00:03:01.000]  認識神的神性
[00:03:01.000 --> 00:03:04.000]  因為他對於神性的認識
[00:03:04.000 --> 00:03:07.000]  所以他確定了他對生命的看法
[00:03:07.000 --> 00:03:10.000]  他確定了他對生命的把握
[00:03:10.000 --> 00:03:12.000]  甚至我自己相信就是確定了
[00:03:12.000 --> 00:03:17.000]  他對於人生他對於生命的那種熱愛
[00:03:17.000 --> 00:03:19.000]  比方講說我們從十五節開始看起
[00:03:19.000 --> 00:03:22.000]  他就講到說耶和華神是察看人的
[00:03:22.000 --> 00:03:25.000]  耶和華神是聽人呼求的
[00:03:25.000 --> 00:03:26.000]  他是一位公義的神
[00:03:26.000 --> 00:03:28.000]  他靠近傷心的人
[00:03:28.000 --> 00:03:30.000]  他拯救靈性痛悔的人
[00:03:30.000 --> 00:03:33.000]  他還保全他的骨頭一根也不折斷
[00:03:33.000 --> 00:03:36.000]  在這裡我們知道是講主耶穌
[00:03:36.000 --> 00:03:39.000]  那麼救他的僕人的靈魂
[00:03:39.000 --> 00:03:41.000]  他說凡投靠他的必不定罪
[00:03:41.000 --> 00:03:43.000]  這些事我們都知道
[00:03:43.000 --> 00:03:46.000]  因為耶穌的誕生
[00:03:46.000 --> 00:03:47.000]  耶穌的道成肉身
[00:03:47.000 --> 00:03:50.000]  神的道成肉身通通都成就了
[00:03:50.000 --> 00:03:52.000]  大衛從來沒有親眼看過
[00:03:52.000 --> 00:03:54.000]  他沒有見過主耶穌
[00:03:54.000 --> 00:03:55.000]  但是他卻從
[00:03:55.000 --> 00:03:57.000]  就好像我們在讀希伯來書裡面
[00:03:57.000 --> 00:03:58.000]  十一章那邊
[00:03:58.000 --> 00:04:00.000]  他說他卻從遠處望見
[00:04:00.000 --> 00:04:02.000]  他憑著信心
[00:04:02.000 --> 00:04:04.000]  他做什麼事情呢
[00:04:04.000 --> 00:04:05.000]  我們就回到第十一節
[00:04:05.000 --> 00:04:08.000]  他說眾弟子從第八節開始
[00:04:08.000 --> 00:04:10.000]  他說你們要嘗嘗主恩的滋味
[00:04:10.000 --> 00:04:12.000]  便知道他是美善
[00:04:12.000 --> 00:04:14.000]  投靠他的人有福了
[00:04:14.000 --> 00:04:16.000]  耶和華的聖名你們當敬畏他
[00:04:16.000 --> 00:04:19.000]  因敬畏他的一無所缺
[00:04:19.000 --> 00:04:21.000]  少丈獅子還缺食人餓
[00:04:21.000 --> 00:04:25.000]  但尋求耶和華的什麼好處都不缺
[00:04:25.000 --> 00:04:27.000]  他在這裡沒有說你有很多很多
