
[00:00:00.000 --> 00:00:05.520]  第三十一節 耶穌親自在當時的門徒面前
[00:00:05.520 --> 00:00:08.520]  其實這是一個啟示 弟兄姊妹你留意
[00:00:08.520 --> 00:00:13.880]  這是當時很少人能夠聽得明白的啟示
[00:00:13.880 --> 00:00:17.560]  是對當時的人很困難的一個啟示
[00:00:17.560 --> 00:00:20.480]  因為耶穌再一次說一些
[00:00:20.480 --> 00:00:24.000]  好像外星語一樣
[00:00:24.000 --> 00:00:27.400]  「從天上來的是在萬有之上」
[00:00:27.400 --> 00:00:30.600]  而且這句話在第三十一節你要留意
[00:00:30.600 --> 00:00:32.600]  是重複了兩次
[00:00:32.600 --> 00:00:35.600]  重複了其中我之前也提過
[00:00:35.600 --> 00:00:38.400]  是一個耶穌很想強調的訊息
[00:00:38.400 --> 00:00:41.400]  如果我們再回看《約翰福音》第三章
[00:00:41.400 --> 00:00:45.600]  我們曾經有講述過的十二節
[00:00:45.600 --> 00:00:47.600]  我讀給大家聽
[00:00:47.600 --> 00:00:49.400]  耶穌就是對當時
[00:00:49.400 --> 00:00:52.400]  尼哥底姆不是太明白祂的話的時候
[00:00:52.400 --> 00:00:53.400]  祂這樣說過
[00:00:53.400 --> 00:00:56.000]  祂說「我對你們說」十二節
[00:00:56.000 --> 00:00:59.400]  「地上的事你們尚且不信」
[00:00:59.400 --> 00:01:03.400]  「若說天上的事如何能信呢」
[00:01:03.400 --> 00:01:07.600]  這句話已經很明顯地我們要認識這件事
[00:01:07.600 --> 00:01:10.600]  當中我們在座有些是信了耶穌
[00:01:10.600 --> 00:01:12.800]  也有些可能是正在認識耶穌的過程
[00:01:12.800 --> 00:01:14.800]  可能你未明白祂很多東西
[00:01:14.800 --> 00:01:16.600]  所以你覺得我未有信心
[00:01:16.600 --> 00:01:19.600]  但我仍然希望在一個這麼開始《約翰福音》的時候
[00:01:19.600 --> 00:01:24.600]  其實耶穌已經三番四次地提出一個這樣的啟示
[00:01:24.600 --> 00:01:29.200]  祂說「我不是地上來的」
[00:01:29.200 --> 00:01:32.200]  「我是天上來的」
[00:01:32.200 --> 00:01:35.600]  「我要講的不是地上的東西」
[00:01:35.600 --> 00:01:38.000]  「是天上的事」
[00:01:38.000 --> 00:01:42.000]  這是一個非常不容易接受的事
[00:01:42.000 --> 00:01:45.400]  所以後面耶穌也說不是太容易接受
[00:01:45.400 --> 00:01:47.200]  祂也說沒有人接受這件事
[00:01:47.200 --> 00:01:49.000]  因為對於當時
[00:01:49.000 --> 00:01:50.000]  其實很坦白地說
[00:01:50.000 --> 00:01:56.800]  當時其實還沒有聖靈像我們今天這樣工作
[00:01:56.800 --> 00:01:58.800]  所以其實只有部分人
[00:01:58.800 --> 00:02:00.400]  好像門徒被揀選的時候
[00:02:00.400 --> 00:02:04.800]  他是被神的特別恩典開啟
[00:02:04.800 --> 00:02:09.000]  他才能夠接待到這些難聽的話
[00:02:09.000 --> 00:02:12.200]  但今天為何我們要繼續這樣認識呢
[00:02:12.200 --> 00:02:16.200]  因為我們已經有聖靈
[00:02:16.200 --> 00:02:19.000]  耶穌已經從死服活了去見證
