
[00:00:00.000 --> 00:00:03.240]  弟兄姊妹,讓我們也有一個祈禱吧
[00:00:03.240 --> 00:00:10.600]  親愛的天父,我們將以下的時間去教託
[00:00:10.600 --> 00:00:13.420]  願親愛的聖靈開我們的心眼
[00:00:13.420 --> 00:00:15.720]  讓我們能夠明白祢的道
[00:00:15.720 --> 00:00:18.300]  讓祢的道去激勵我們每一個
[00:00:18.300 --> 00:00:19.700]  我們多謝祢
[00:00:19.700 --> 00:00:22.340]  求祢使用
[00:00:22.340 --> 00:00:25.180]  祈禱奉耶穌基督得聖的名
[00:00:25.180 --> 00:00:27.080]  祈求,阿們
[00:00:29.540 --> 00:00:32.360]  弟兄姊妹,大家記得我們今季
[00:00:32.360 --> 00:00:34.380]  常常看的一本書是什麼書呢?
[00:00:34.380 --> 00:00:36.520]  就是《使徒行傳》
[00:00:36.520 --> 00:00:42.120]  上回說到保羅
[00:00:42.120 --> 00:00:46.100]  整個我們這一季都是看保羅的宣教行程
[00:00:46.100 --> 00:00:48.080]  上回就說到保羅
[00:00:48.080 --> 00:00:51.860]  被人抓去審問的時候
[00:00:51.860 --> 00:00:53.900]  他很勇敢
[00:00:53.900 --> 00:00:58.180]  當別人用很多無理指控他的時候
[00:00:58.180 --> 00:01:01.460]  他很勇敢去回答
[00:01:01.460 --> 00:01:05.200]  並且我們看保羅的宣教行程
[00:01:05.200 --> 00:01:09.160]  其實我們過去都看到他面對很多的攻擊
[00:01:09.160 --> 00:01:11.400]  從這些事件
[00:01:11.400 --> 00:01:12.500]  這些經歷
[00:01:12.500 --> 00:01:16.720]  我們看到保羅是一個什麼樣的生命呢?
[00:01:16.720 --> 00:01:18.840]  你怎樣形容他呢?
[00:01:18.840 --> 00:01:22.120]  我形容他身後有個「勇」字
[00:01:22.120 --> 00:01:25.820]  很不怕死繼續衝衝衝去傳福音
[00:01:25.820 --> 00:01:28.120]  你認不認識這一類人呢?
[00:01:28.120 --> 00:01:31.780]  我不其然就想起
[00:01:31.780 --> 00:01:35.720]  北宣第一任的堂主任梁德仁牧師
[00:01:35.720 --> 00:01:37.840]  他早幾日安息住外
[00:01:37.840 --> 00:01:40.720]  梁德仁牧師當他退休之後
[00:01:40.720 --> 00:01:43.920]  七八十歲他仍然身後有個「勇」字
[00:01:43.920 --> 00:01:47.040]  繼續在南美宣教
[00:01:47.040 --> 00:01:50.520]  他不會因著身體的限制
[00:01:50.520 --> 00:01:52.760]  影響他這個宣教的心
[00:01:52.760 --> 00:01:56.240]  繼續為主努力地去侍奉
[00:01:56.240 --> 00:02:00.040]  回想一下自己過去
[00:02:00.040 --> 00:02:05.200]  有沒有很夠膽去為主做一些事情呢?
[00:02:05.200 --> 00:02:09.840]  很可能我們比較梁德仁牧師
[00:02:09.840 --> 00:02:12.640]  其實我們只是做一些很皮毛的事情
[00:02:12.640 --> 00:02:16.480]  相比保羅更加不用比
[00:02:16.480 --> 00:02:18.920]  我們有一句說話
[00:02:18.920 --> 00:02:21.760]  「一代不如一代」
[00:02:21.760 --> 00:02:23.960]  你認不認同我們基督徒
[00:02:23.960 --> 00:02:27.800]  其實會不會都是「一代不如一代」?
[00:02:27.800 --> 00:02:33.240]  昔日的信徒是否真的勇敢一點呢?
[00:02:33.240 --> 00:02:34.320]  可能也是的
[00:02:34.320 --> 00:02:38.680]  不過他們可能有些秘訣我們可以學
[00:02:38.680 --> 00:02:42.280]  我們不如返回島嶼
[00:02:42.280 --> 00:02:46.240]  返回《小圖行傳》的起初第四章
[00:02:46.240 --> 00:02:52.440]  我今天選了第四章的二十三到三十一節的經文
[00:02:52.440 --> 00:02:55.400]  在這段經文裏面
[00:02:55.400 --> 00:02:57.040]  其實大家未必很留意
[00:02:57.040 --> 00:03:00.240]  我們可能純粹留意之後
[00:03:00.240 --> 00:03:03.400]  講到信徒繁物公用的部分
[00:03:03.400 --> 00:03:06.200]  但這段經文我們有什麼要學呢?
[00:03:06.200 --> 00:03:08.800]  正如今天的標題一樣
[00:03:08.800 --> 00:03:11.360]  很想大家從兩個角度去思想
[00:03:11.360 --> 00:03:14.320]  究竟他們是一群什麼樣的群體
[00:03:14.320 --> 00:03:17.840]  在他們的生命裏面我們可以學習些什麼呢?
[00:03:17.840 --> 00:03:20.360]  我們就從這兩個角度
[00:03:20.360 --> 00:03:24.200]  去看看今天這段經文
[00:03:24.200 --> 00:03:27.080]  不過看之前我們也要看上一文
[00:03:27.080 --> 00:03:28.720]  如果你們家裏有聖經的話
[00:03:28.720 --> 00:03:32.360]  請你們打開《小圖行傳》第四章
[00:03:32.360 --> 00:03:37.160]  第四章的一到二十二節
[00:03:37.160 --> 00:03:41.040]  一到二十二節其實講到彼得去到聖殿門口
[00:03:41.040 --> 00:03:43.560]  去醫好一個瘸腿人
[00:03:43.560 --> 00:03:49.200]  並且在聖殿旁邊的走廊位宣講信息的時候
[00:03:49.200 --> 00:03:51.560]  很多人聽到和信了
[00:03:51.560 --> 00:03:56.520]  於是祭司聖殿的守衛很不高興
[00:03:56.520 --> 00:03:58.960]  來捉了彼得和約翰
