
[00:00:00.000 --> 00:00:08.000]  我今日繼續跟大家講哥羅西書
[00:00:08.000 --> 00:00:14.000]  很多聖經學者都將哥羅西書分成兩半
[00:00:14.000 --> 00:00:16.000]  上半部和下半部
[00:00:16.000 --> 00:00:19.000]  上半部是第一第二章
[00:00:19.000 --> 00:00:22.000]  是講神學的理論多一些
[00:00:22.000 --> 00:00:25.000]  是講我提過的基督論
[00:00:25.000 --> 00:00:34.000]  亦有提及救恩方面和成性方面的神學理論
[00:00:34.000 --> 00:00:38.000]  下半部是第三第四章
[00:00:38.000 --> 00:00:41.000]  主要是講生活上的應用
[00:00:41.000 --> 00:00:45.000]  是講一個真正重生得救的基督徒
[00:00:45.000 --> 00:00:49.000]  當他要踏上成性之路所謂成長
[00:00:49.000 --> 00:00:54.000]  他們應該要怎樣做呢
[00:00:54.000 --> 00:01:00.000]  我剛剛已經講完上半部
[00:01:00.000 --> 00:01:02.000]  講完第一第二章
[00:01:02.000 --> 00:01:06.000]  我分了四堂來講
[00:01:06.000 --> 00:01:09.000]  我和大家簡略地去溫習一下
[00:01:09.000 --> 00:01:12.000]  第一堂是講真知道神
[00:01:12.000 --> 00:01:15.000]  意思是如果我們真的知道神
[00:01:15.000 --> 00:01:17.000]  真的認識神的時候
[00:01:17.000 --> 00:01:21.000]  我們必然會知道我們需要成長和要結果子
[00:01:21.000 --> 00:01:25.000]  而且也要知道一切的標準
[00:01:25.000 --> 00:01:30.000]  一切的價值都是以耶穌基督為中心為標準
[00:01:30.000 --> 00:01:37.000]  第二是講耶穌基督的超越性
[00:01:37.000 --> 00:01:41.000]  耶穌基督是神守身外子
[00:01:41.000 --> 00:01:43.000]  是神的像
[00:01:43.000 --> 00:01:47.000]  是超越一切的超越一切
[00:01:47.000 --> 00:01:52.000]  無論是可以眼見到的 或者是眼看不到的
[00:01:52.000 --> 00:01:57.000]  是天上的 是地下的 是任何掌權的
[00:01:57.000 --> 00:01:58.000]  祂都是超越一切
[00:01:58.000 --> 00:02:02.000]  因為一切都是為祂而做 直著祂做
[00:02:02.000 --> 00:02:07.000]  一切都是伏在祂的權柄之下
[00:02:07.000 --> 00:02:11.000]  第三是講神的奧秘
[00:02:11.000 --> 00:02:15.000]  整個救贖計劃是神的奧秘
[00:02:15.000 --> 00:02:18.000]  但是這個奧秘對我們很重要
[00:02:18.000 --> 00:02:22.000]  就是神不單止會拯救猶太人
[00:02:22.000 --> 00:02:25.000]  神也會拯救我們這些非猶太人
[00:02:25.000 --> 00:02:27.000]  所謂外邦人
[00:02:27.000 --> 00:02:29.000]  不單止只拯救了我們
[00:02:29.000 --> 00:02:31.000]  祂還在救贖計劃裡面
[00:02:31.000 --> 00:02:36.000]  預定和要我們去幫忙完成祂整個的計劃
[00:02:36.000 --> 00:02:39.000]  要去幫忙傳福音 幫忙訓練門徒
[00:02:39.000 --> 00:02:43.000]  所以我們要不斷自己努力去成長 成熟
[00:02:43.000 --> 00:02:46.000]  來去配合這個計劃
[00:02:46.000 --> 00:02:52.000]  第四是講只有基督能夠滿足我們
[00:02:52.000 --> 00:02:54.000]  追求成長 成熟
[00:02:54.000 --> 00:02:56.000]  不是靠其他的方法
[00:02:56.000 --> 00:03:00.000]  不是靠去尋找神秘的知識
[00:03:00.000 --> 00:03:02.000]  不是靠律法主義
[00:03:02.000 --> 00:03:04.000]  不是靠禁慾主義
[00:03:04.000 --> 00:03:09.000]  也不是靠要學各種的哲理 學說
[00:03:09.000 --> 00:03:14.000]  而是單單靠耶穌基督
[00:03:14.000 --> 00:03:19.000]  因為一切的源頭和中心
[00:03:19.000 --> 00:03:22.000]  都是在耶穌基督那裡
[00:03:22.000 --> 00:03:25.000]  只有耶穌基督才可以滿足我們
[00:03:25.000 --> 00:03:32.000]  生活上或者靈性上一切的需要
[00:03:32.000 --> 00:03:35.000]  今天我就和大家去講
[00:03:35.000 --> 00:03:37.000]  《哥萊西書》的下半部
[00:03:37.000 --> 00:03:39.000]  由第三章開始
[00:03:39.000 --> 00:03:44.000]  是講當我們要走成性的路的時候
[00:03:44.000 --> 00:03:49.000]  在實際生活上我們應該怎樣做呢?
[00:03:49.000 --> 00:03:52.000]  第三章是告訴我們
[00:03:52.000 --> 00:03:55.000]  成性路即是成性和成長 成熟
[00:03:55.000 --> 00:03:57.000]  其實是差不多意思的
[00:03:57.000 --> 00:04:02.000]  只是在不同的場合講不同的字眼
[00:04:02.000 --> 00:04:06.000]  成長路的頭兩步是很重要的
[00:04:06.000 --> 00:04:08.000]  也是有決定性的
[00:04:08.000 --> 00:04:12.000]  決定我們能不能夠達到成性的地步
[00:04:12.000 --> 00:04:17.000]  第一步就是先要脫去舊人
[00:04:17.000 --> 00:04:21.000]  第二步就是要穿上新人
[00:04:21.000 --> 00:04:24.000]  這兩步是順次序的
[00:04:24.000 --> 00:04:28.000]  而且好像是用衣服來做這個比喻
[00:04:28.000 --> 00:04:31.000]  這樣是非常貼切的
[00:04:31.000 --> 00:04:36.000]  我記得我未來美國之前
[00:04:36.000 --> 00:04:38.000]  在香港年輕的時候
[00:04:38.000 --> 00:04:41.000]  我試過很多次
[00:04:41.000 --> 00:04:46.000]  下班後和同事朋友一起去踢球
[00:04:46.000 --> 00:04:49.000]  踢球當然是渾身大汗
[00:04:49.000 --> 00:04:51.000]  還有很多泥污
[00:04:51.000 --> 00:04:56.000]  很多次都要趕去赴宴
[00:04:56.000 --> 00:05:03.000]  可不可以滿身大汗滿身泥污穿著西裝打領帶去赴宴呢?
[00:05:03.000 --> 00:05:06.000]  可不可以呢?
[00:05:06.000 --> 00:05:09.000]  年輕人可能會說可以
[00:05:09.000 --> 00:05:11.000]  但事實上是不可以的
[00:05:11.000 --> 00:05:13.000]  為什麼呢?因為自己很不舒服
[00:05:13.000 --> 00:05:16.000]  而且肯定不會有人肯坐在你旁邊
[00:05:16.000 --> 00:05:22.000]  所以一定要預時間趕快洗澡
[00:05:22.000 --> 00:05:30.000]  不要穿髒衣服穿乾淨衣服才可以去赴宴
[00:05:30.000 --> 00:05:32.000]  如果你不是這樣做
[00:05:32.000 --> 00:05:35.000]  即使噴很多香水都不行
[00:05:35.000 --> 00:05:38.000]  會更恐怖
[00:05:38.000 --> 00:05:41.000]  大家我相信都會明白
[00:05:41.000 --> 00:05:46.000]  今天我先和大家說脫去舊人這一方面
[00:05:46.000 --> 00:05:49.000]  就是剛才大家讀的經文
[00:05:49.000 --> 00:05:53.000]  以哥羅西書三章一至十節
[00:05:53.000 --> 00:05:58.000]  下一次再說穿上新人
[00:05:58.000 --> 00:06:01.000]  脫去舊人是什麼意思呢?
[00:06:01.000 --> 00:06:03.000]  意思就是說
[00:06:03.000 --> 00:06:10.000]  要除去以往我們在未認識神之前
[00:06:10.000 --> 00:06:12.000]  在未重新得救之前
[00:06:12.000 --> 00:06:17.000]  我們所拿著的各種不合神心意的標準
[00:06:17.000 --> 00:06:23.000]  包括各種品格、行為、言語、嗜好等等
[00:06:23.000 --> 00:06:26.000]  所謂的舊我
[00:06:26.000 --> 00:06:29.000]  脫去舊人我們就是要除掉
[00:06:29.000 --> 00:06:34.000]  不要再要以往我那個不好的舊我
[00:06:34.000 --> 00:06:41.000]  脫去舊人另一個意思就是
[00:06:41.000 --> 00:06:47.000]  為了去預備去穿上新人
[00:06:47.000 --> 00:06:50.000]  正如我剛才說的打球換衣服
[00:06:50.000 --> 00:06:52.000]  亦都好像一個農夫一樣
[00:06:52.000 --> 00:06:58.000]  他先要清除田裡泥土的各種野草石頭
[00:06:58.000 --> 00:07:01.000]  清理好然後才去殺種
[00:07:01.000 --> 00:07:04.000]  否則種子滿了野草
[00:07:04.000 --> 00:07:07.000]  種子生不了或者生得很差
[00:07:07.000 --> 00:07:10.000]  成長也是
[00:07:10.000 --> 00:07:13.000]  如果我們不清理我們的舊我
[00:07:13.000 --> 00:07:17.000]  你不斷去學其他東西也好
[00:07:17.000 --> 00:07:19.000]  學聖經的教訓也好
[00:07:19.000 --> 00:07:20.000]  你會成長很慢
[00:07:20.000 --> 00:07:22.000]  或者根本裝載不了
[00:07:22.000 --> 00:07:25.000]  當然另一方面
[00:07:25.000 --> 00:07:27.000]  我們說的只是比喻
[00:07:27.000 --> 00:07:30.000]  脫去舊人然後穿上新人
[00:07:30.000 --> 00:07:32.000]  當然在成長的過程裡
[00:07:32.000 --> 00:07:36.000]  我們不可能將我們的舊我完全完全清除
[00:07:36.000 --> 00:07:38.000]  然後才去學新的東西
[00:07:38.000 --> 00:07:39.000]  學聖經的教訓
[00:07:39.000 --> 00:07:40.000]  不行的
[00:07:40.000 --> 00:07:42.000]  我們一生都清理不完舊我的
[00:07:42.000 --> 00:07:45.000]  我們是心智的問題
[00:07:45.000 --> 00:07:47.000]  立定心智清除我的舊我
[00:07:47.000 --> 00:07:50.000]  然後我才有心有能力
[00:07:50.000 --> 00:07:55.000]  將新的聖經的教訓放在我們裡面
[00:07:55.000 --> 00:08:01.000]  我們看哥羅西書三章一節
[00:08:01.000 --> 00:08:04.000]  所以你們若與基督一同復活
[00:08:04.000 --> 00:08:06.000]  就當求上面的事
[00:08:06.000 --> 00:08:10.000]  乃你有基督坐在神的右邊
[00:08:10.000 --> 00:08:12.000]  留意這個若字
[00:08:12.000 --> 00:08:15.000]  若果的若字
[00:08:15.000 --> 00:08:19.000]  這裡不是解釋假設性的東西
[00:08:19.000 --> 00:08:22.000]  也不是說給你有所選擇
