
[00:00:00.000 --> 00:00:02.640]  各位鼎姊妹平安
[00:00:02.640 --> 00:00:05.720]  當我們來到神面前
[00:00:05.720 --> 00:00:08.040]  要聽神的說話之前
[00:00:08.040 --> 00:00:10.480]  很想彼此的問候
[00:00:10.480 --> 00:00:15.520]  讓我們今天在香港疫情嚴峻的時刻
[00:00:15.520 --> 00:00:17.920]  我們求神幫助教會
[00:00:17.920 --> 00:00:20.520]  教會裏面的義工鼎姊妹
[00:00:20.520 --> 00:00:24.560]  童工 幹事 執事 理事
[00:00:24.560 --> 00:00:26.480]  我們上下同心
[00:00:26.480 --> 00:00:29.960]  因為我們近日都有不同的鼎姊妹參與
[00:00:29.960 --> 00:00:31.600]  一起將一些物資
[00:00:31.600 --> 00:00:35.320]  包括檢測包或者一些食物包
[00:00:35.320 --> 00:00:37.920]  送到我們確診的鼎姊妹
[00:00:37.920 --> 00:00:42.000]  和他們確診的家人受影響的當中
[00:00:42.000 --> 00:00:43.440]  我們求神幫助我們
[00:00:43.440 --> 00:00:46.640]  讓這些行動都能夠生發果效
[00:00:46.640 --> 00:00:48.280]  讓我們能夠更加見證
[00:00:48.280 --> 00:00:51.320]  耶穌基督給我們愛的守望
[00:00:51.320 --> 00:00:53.920]  好 現在就讓我們轉到過來
[00:00:53.920 --> 00:00:57.000]  一起思想今天神的說話
[00:00:57.000 --> 00:01:01.280]  今天要說的是將生命的道表明出來
[00:01:01.280 --> 00:01:03.120]  經文是記載在
[00:01:03.120 --> 00:01:09.120]  《肥納比書》第二章十二節至十八節
[00:01:09.120 --> 00:01:14.240]  請先讀出這段經文給大家聽
[00:01:14.240 --> 00:01:15.840]  「這樣看來
[00:01:15.840 --> 00:01:17.800]  我親愛的弟兄
[00:01:17.800 --> 00:01:20.760]  你們既是常信服的
[00:01:20.760 --> 00:01:23.240]  不但我在你們那裏
[00:01:23.240 --> 00:01:25.840]  就是我如今不在你們那裏
[00:01:25.840 --> 00:01:27.760]  更是信服的
[00:01:27.760 --> 00:01:32.200]  就當恐懼戰驚造成你們得救的功夫
[00:01:32.200 --> 00:01:33.960]  因為你們立志行善
[00:01:33.960 --> 00:01:36.840]  都是神在你們心裏運行
[00:01:36.840 --> 00:01:39.560]  為要成就他的美意
[00:01:39.560 --> 00:01:42.120]  凡所行的都不要發怨言
[00:01:42.120 --> 00:01:43.640]  起爭論
[00:01:43.640 --> 00:01:45.760]  使你們無可指責
[00:01:45.760 --> 00:01:47.560]  誠實無偽
[00:01:47.560 --> 00:01:49.640]  在這彎曲背貌的世代
[00:01:49.640 --> 00:01:52.280]  作神無瑕疵的兒女
[00:01:52.280 --> 00:01:54.440]  你們顯在這世代中
[00:01:54.440 --> 00:01:57.080]  好像明光照耀
[00:01:57.080 --> 00:01:59.960]  將生命的道表明出來
[00:01:59.960 --> 00:02:02.200]  叫我在基督的日子
[00:02:02.200 --> 00:02:04.280]  好誇我沒有空跑
[00:02:04.280 --> 00:02:05.960]  也沒有徒勞
[00:02:05.960 --> 00:02:08.400]  我以你們的信心為貢物
[00:02:08.400 --> 00:02:10.080]  奉獻的祭物
[00:02:10.080 --> 00:02:11.600]  我若被搖電
[00:02:11.600 --> 00:02:14.480]  在其上也是喜樂
[00:02:14.480 --> 00:02:17.360]  並且以你們眾人一同喜樂
[00:02:17.360 --> 00:02:19.920]  你們也要照樣喜樂
[00:02:19.920 --> 00:02:23.360]  並且以我一同喜樂
[00:02:23.360 --> 00:02:25.520]  讓我們繼續聽道之先
[00:02:25.520 --> 00:02:30.040]  我們一起有祈禱
[00:02:30.040 --> 00:02:32.720]  積十字架救贖
