
[00:00:00.000 --> 00:00:07.000]  今天不知道大家有沒有看過一個新聞
[00:00:07.000 --> 00:00:10.000]  關於香港的心理狀況
[00:00:10.000 --> 00:00:13.000]  特別是近這半年裏面
[00:00:13.000 --> 00:00:17.000]  有兩個新聞報道都是說相同的東西
[00:00:17.000 --> 00:00:19.000]  不過數字有少少不同
[00:00:19.000 --> 00:00:22.000]  一個我記得是一個法國的新聞機構說
[00:00:22.000 --> 00:00:27.000]  一個就是香港本地的一個港大醫學院的院長梁卓偉
[00:00:27.000 --> 00:00:29.000]  他的報告
[00:00:29.000 --> 00:00:32.000]  他就說香港人在這幾個月裏面
[00:00:32.000 --> 00:00:35.000]  經歷了社會的運動事件之後
[00:00:35.000 --> 00:00:38.000]  其實很多人患了創傷後遺症
[00:00:38.000 --> 00:00:41.000]  即是說好像打完仗那樣
[00:00:41.000 --> 00:00:45.000]  生活裏面很多時候都會有很多發夢
[00:00:45.000 --> 00:00:46.000]  有很多抑鬱
[00:00:46.000 --> 00:00:50.000]  有很多好像很難磨滅的那些不舒服
[00:00:50.000 --> 00:00:51.000]  那些鬱結
[00:00:51.000 --> 00:00:52.000]  那些情感
[00:00:52.000 --> 00:00:55.000]  他就說有一個報告就說
[00:00:55.000 --> 00:00:58.000]  大概香港有三分之一的成年人
[00:00:58.000 --> 00:00:59.000]  是這樣的情況
[00:00:59.000 --> 00:01:01.000]  或多或少
[00:01:01.000 --> 00:01:03.000]  梁卓偉的報告就說
[00:01:03.000 --> 00:01:04.000]  大概有22%
[00:01:04.000 --> 00:01:06.000]  即是接近五分之一左右
[00:01:06.000 --> 00:01:08.000]  無論是哪個數字都好
[00:01:08.000 --> 00:01:10.000]  其實都是在說
[00:01:10.000 --> 00:01:13.000]  香港其實好像經歷了一場戰爭之後
[00:01:13.000 --> 00:01:15.000]  那些的社會狀況
[00:01:15.000 --> 00:01:17.000]  我不知道你感覺到嗎
[00:01:17.000 --> 00:01:19.000]  可能你看到你身邊三個人
[00:01:19.000 --> 00:01:20.000]  四個人五個人
[00:01:20.000 --> 00:01:21.000]  可能就有一個
[00:01:21.000 --> 00:01:23.000]  就感到這種徵狀
[00:01:23.000 --> 00:01:25.000]  所以我們很需要彼此關顧
[00:01:25.000 --> 00:01:27.000]  這種心靈的狀況
[00:01:27.000 --> 00:01:30.000]  很難捱過去的
[00:01:30.000 --> 00:01:32.000]  我想人生都會遇到逆境
