
[00:00:00.000 --> 00:00:04.000]  鞏主明問候靜靜姐妹平安
[00:00:04.000 --> 00:00:12.000]  今天是2013年第一次和大家見面
[00:00:12.000 --> 00:00:15.000]  祝大家新年蒙福
[00:00:15.000 --> 00:00:26.000]  因為今天講題是下午
[00:00:26.000 --> 00:00:28.000]  我以為是已經見過大家今天
[00:00:30.000 --> 00:00:34.000]  今天講題是以莉莎行世的次人生命的禮物
[00:00:34.000 --> 00:00:35.000]  這是第二講
[00:00:35.000 --> 00:00:38.000]  今天講題是以莉莎心神之
[00:00:38.000 --> 00:00:41.000]  次人生命的禮物的下集
[00:00:41.000 --> 00:00:43.000]  經文剛才魏忠鼎已經讀出來了
[00:00:43.000 --> 00:00:45.000]  經文剛才我已經讀過了
[00:00:45.000 --> 00:00:48.000]  所以你見到我給你的大綱
[00:00:48.000 --> 00:00:49.000]  我見到2B
[00:00:49.000 --> 00:00:52.000]  我今天的大綱是2B
[00:00:52.000 --> 00:00:55.000]  你即是說1和2A是上次講過了
[00:00:55.000 --> 00:01:01.000]  所以我今天是2B和3C
[00:01:01.000 --> 00:01:04.000]  今天講題是2B3C
[00:01:04.000 --> 00:01:05.000]  為什麼我有2A和2B
[00:01:05.000 --> 00:01:08.000]  因為在第二個故事裡面有兩個神蹟
[00:01:08.000 --> 00:01:09.000]  所以我用A和B分開
[00:01:09.000 --> 00:01:12.000]  因為在第二個故事裡面有兩個神蹟
[00:01:12.000 --> 00:01:14.000]  所以我分開A和B
[00:01:14.000 --> 00:01:21.000]  我們讀任何經文是離不開一個故事的背景
[00:01:21.000 --> 00:01:25.000]  我們讀任何經文是離不開一個故事的背景
[00:01:25.000 --> 00:01:29.000]  以莉莎是在約蘭王
[00:01:29.000 --> 00:01:31.000]  即是阿哈的第二個世作王的時候
[00:01:31.000 --> 00:01:38.000]  以莉莎是在約蘭作王的時候
[00:01:38.000 --> 00:01:40.000]  我們現在看到的是
[00:01:40.000 --> 00:01:42.000]  以莉莎在做牧羊工作
[00:01:42.000 --> 00:01:45.000]  以莉莎在這裡所做的是牧羊工作
[00:01:45.000 --> 00:01:48.000]  這些神蹟全部都是牧羊工作
[00:01:48.000 --> 00:01:57.000]  特別對那些貧苦的人給予幫助
[00:01:57.000 --> 00:01:59.000]  但是第二個故事很突出
[00:01:59.000 --> 00:02:02.000]  這個受幫助的女人不是窮的
[00:02:02.000 --> 00:02:03.000]  是有錢婦來的
[00:02:03.000 --> 00:02:07.000]  第二個被受幫助的婦人不是很窮
[00:02:07.000 --> 00:02:08.000]  但是很富裕
[00:02:08.000 --> 00:02:09.000]  所以這個故事是很好的
[00:02:09.000 --> 00:02:12.000]  第二個故事是以A和B加起來
[00:02:12.000 --> 00:02:13.000]  是一個很好的故事
[00:02:13.000 --> 00:02:17.000]  第二這個以A和B分開的故事非常很好
[00:02:17.000 --> 00:02:18.000]  和社會家常人一樣
[00:02:18.000 --> 00:02:21.000]  你說上帝耶和華耶穌
[00:02:21.000 --> 00:02:23.000]  只顧窮人不顧有錢人
[00:02:23.000 --> 00:02:28.000]  有人說你們的耶和華神照顧
[00:02:28.000 --> 00:02:30.000]  請不照顧婦人
