
[00:00:00.000 --> 00:00:05.560]  上一次講到的時候 我們提到《仕途行傳》的第四章
[00:00:05.560 --> 00:00:09.040]  是後半段的經文
[00:00:09.040 --> 00:00:13.080]  如果大家不記得 是講到教會得勝的禱告
[00:00:13.080 --> 00:00:16.400]  就是當時教會面對逼迫
[00:00:16.400 --> 00:00:21.320]  試圖面對挑戰 甚至恐嚇
[00:00:21.320 --> 00:00:23.960]  但是他們勇敢向前
[00:00:23.960 --> 00:00:27.540]  回到教會頂占會當中 他們就一起祈禱
[00:00:27.540 --> 00:00:32.000]  所以在禱告裡面 他們再一次震動天地
[00:00:32.000 --> 00:00:34.280]  再一次經歷神的同在
[00:00:34.280 --> 00:00:37.740]  更加有力量和勇氣 藉著祈禱
[00:00:37.740 --> 00:00:41.520]  來去履行神給他們的使命
[00:00:41.520 --> 00:00:44.200]  所以在這個得勝的禱告裡面
[00:00:44.200 --> 00:00:47.400]  我們學習了很多關乎祈禱的要素
[00:00:47.400 --> 00:00:49.720]  和我們在學校的榜樣
[00:00:49.720 --> 00:00:52.560]  當這段記載完了之後
[00:00:52.560 --> 00:00:57.200]  路加的描述就轉到教會一些內部的問題
[00:00:57.200 --> 00:01:00.640]  所以在外面就有逼迫 有攻擊
[00:01:00.640 --> 00:01:04.440]  但是在裡面也有魔鬼很多的工作
[00:01:04.440 --> 00:01:09.360]  以致攔阻神的角度的擴展
[00:01:09.360 --> 00:01:12.480]  所以當他去到第四章 最後這部分的時候
[00:01:12.480 --> 00:01:17.080]  接到第五章 就記載了有一件事
[00:01:17.080 --> 00:01:19.440]  其實應該是兩件的
[00:01:19.440 --> 00:01:21.040]  不過它是同性質的
[00:01:21.040 --> 00:01:23.920]  所以可以說一件是兩方面
[00:01:23.920 --> 00:01:30.240]  讓我們在這裡看到一些當時教會的情況
[00:01:30.240 --> 00:01:34.960]  其實也是可能我們今天面對的一些挑戰
[00:01:34.960 --> 00:01:37.480]  就是神是真實同在的
[00:01:37.480 --> 00:01:40.480]  聖靈是真實的做工的
[00:01:40.480 --> 00:01:42.400]  所以今天我們來到神的面前
[00:01:42.400 --> 00:01:45.680]  我們必須認定神的同在
[00:01:45.680 --> 00:01:48.440]  和聖靈的工作在我們當中
[00:01:48.440 --> 00:01:51.520]  我們不知道的時候 神在
[00:01:51.520 --> 00:01:53.360]  我們沒有覺察的時候
[00:01:53.360 --> 00:01:54.880]  聖靈在動工
[00:01:54.880 --> 00:01:57.840]  究竟我們有沒有留意 配合
[00:01:57.840 --> 00:02:00.960]  和受到警戒 和受到幫助呢
[00:02:00.960 --> 00:02:05.800]  這個就是今天這段經文給我們看的很重要的訊息
[00:02:05.800 --> 00:02:07.080]  所以我用這個題目叫做
[00:02:07.080 --> 00:02:10.960]  教會信徒的無戒與監戒
[00:02:10.960 --> 00:02:14.320]  你留意到無戒是正寫的 監戒是邪寫的
[00:02:14.320 --> 00:02:17.400]  所以是有很大的分別的
[00:02:17.400 --> 00:02:21.560]  請問什麼叫無戒呢
[00:02:21.560 --> 00:02:24.440]  就是好的榜樣是我們去學的
[00:02:24.440 --> 00:02:26.360]  無戒就是我們去學的
[00:02:26.360 --> 00:02:30.520]  而監戒呢 監戒是什麼
[00:02:30.520 --> 00:02:32.920]  監戒就是我們不要去學的
[00:02:32.920 --> 00:02:36.160]  是一個警惕 是一個監戒 是一個提醒
[00:02:36.160 --> 00:02:38.360]  叫我們去防備的
[00:02:38.360 --> 00:02:40.440]  這件事有兩面
[00:02:40.440 --> 00:02:44.800]  一個是一個無戒 是我們學校的
[00:02:44.800 --> 00:02:47.160]  一個是一個監戒 叫我們去避免的
[00:02:47.160 --> 00:02:51.320]  今天我們一起思想一下這個給我們的訊息
[00:02:51.320 --> 00:02:52.720]  第一我們看見
[00:02:52.720 --> 00:02:57.880]  就是我們要追求在聖靈當中的愛和奉獻
[00:02:57.880 --> 00:03:00.800]  追求在聖靈當中的愛和奉獻
[00:03:00.800 --> 00:03:06.560]  這個有些無戒兵的學校就是巴拿巴
[00:03:06.560 --> 00:03:08.640]  以巴拿巴為校
[00:03:08.640 --> 00:03:11.720]  就是為他的榜樣成為我們的學校
[00:03:11.720 --> 00:03:13.520]  所以這個是第一方面
[00:03:13.520 --> 00:03:18.320]  我們很需要在這段訊息裡面去領受
[00:03:18.320 --> 00:03:19.440]  一起去追求
[00:03:19.440 --> 00:03:23.120]  追求在聖靈當中的愛與奉獻
[00:03:23.120 --> 00:03:24.600]  我們怎樣學校巴拿巴呢
[00:03:24.600 --> 00:03:28.040]  我們留意《聖經》第四章最後這段
[00:03:28.040 --> 00:03:29.680]  我們來一起讀 好不好
[00:03:29.680 --> 00:03:33.280]  四章的三十二到三十七節 請讀
[00:03:33.280 --> 00:03:35.760]  那許多信的人
[00:03:35.760 --> 00:03:38.320]  都是一心一意的
[00:03:38.320 --> 00:03:41.120]  沒有一人說他的東西
[00:03:41.120 --> 00:03:43.440]  有一樣是自己的
[00:03:43.440 --> 00:03:46.200]  都是大家共用
[00:03:46.200 --> 00:03:48.440]  試圖大有能力
[00:03:48.440 --> 00:03:51.040]  見證主耶穌復活
[00:03:51.040 --> 00:03:54.200]  眾人也都蒙大恩
[00:03:54.200 --> 00:03:57.200]  內中也沒有一個缺乏的
[00:03:57.200 --> 00:04:01.480]  因為人人將田產房屋都賣了
[00:04:01.480 --> 00:04:07.680]  把所賣的價錢拿來三十五節
[00:04:07.680 --> 00:04:10.120]  放在試圖腳前
[00:04:10.120 --> 00:04:14.600]  照各人所需用的分給各人
[00:04:14.600 --> 00:04:18.880]  有一個利美人生在塞浦路斯
[00:04:18.880 --> 00:04:21.080]  名叫約瑟
[00:04:21.080 --> 00:04:24.120]  試圖稱他為巴拿巴
[00:04:24.120 --> 00:04:28.000]  巴拿巴翻出來就是勸慰子
[00:04:28.000 --> 00:04:31.040]  他有田地也賣了
[00:04:31.040 --> 00:04:36.520]  把價錢拿來放在試圖腳前
[00:04:36.520 --> 00:04:40.120]  所以這就是巴拿巴的一個記載
[00:04:40.120 --> 00:04:43.760]  當時這個教會的一種情況
[00:04:43.760 --> 00:04:46.640]  我們看見他們回應
[00:04:46.640 --> 00:04:47.520]  如果大家記得
[00:04:47.520 --> 00:04:50.160]  在試囊傳第二章教會開始的時候
[00:04:50.160 --> 00:04:55.840]  試圖教導大英姊妹聚在一起幾千人
[00:04:55.840 --> 00:04:58.880]  但是當時他們有一個很美麗的見證
[00:04:58.880 --> 00:05:02.000]  就是繁密功用
[00:05:02.000 --> 00:05:03.120]  那什麼繁密功用呢
[00:05:03.120 --> 00:05:04.080]  在這裡補充一下
[00:05:04.080 --> 00:05:08.240]  他說他們一心一意將所有的東西貢獻出來
[00:05:08.240 --> 00:05:09.840]  大家一起用
[00:05:09.840 --> 00:05:13.000]  當中缺乏的就沒有缺乏了
[00:05:13.000 --> 00:05:14.280]  多餘的也沒有多餘
[00:05:14.280 --> 00:05:16.800]  因為他們將這些東西拿出來
[00:05:16.800 --> 00:05:20.320]  變賣了就帶到試圖的腳前
[00:05:20.320 --> 00:05:23.640]  讓他們分配給有需要的人
[00:05:23.640 --> 00:05:27.560]  當時有一個非常美好的榜樣
[00:05:27.560 --> 00:05:28.760]  就是巴拿巴
[00:05:28.760 --> 00:05:31.960]  他是一個利美人的後裔
[00:05:31.960 --> 00:05:33.680]  他的名字叫約瑟
[00:05:33.680 --> 00:05:35.440]  這是他希伯來的名字
[00:05:35.440 --> 00:05:38.280]  巴拿巴是當時希臘文的名字
[00:05:38.280 --> 00:05:40.960]  翻出來就是勸慰子
[00:05:40.960 --> 00:05:43.360]  他也有他的田地也賣了
[00:05:43.360 --> 00:05:47.120]  把這些價錢帶來放在試圖的腳前
[00:05:47.120 --> 00:05:49.280]  所以這是一個很美麗的見證
