
[00:00:00.000 --> 00:00:02.000]  鳳子明問候弟兄姐妹平安
[00:00:02.000 --> 00:00:04.000]  鳳子問候弟兄姐妹平安
[00:00:04.000 --> 00:00:10.000]  先長原諒我,在Daily Bread看到《義賽亞書》40章26節
[00:00:10.000 --> 00:00:15.000]  我在這個就是,你們日娘看到以色列亞書40章26節
[00:00:15.000 --> 00:00:19.000]  那裡說上帝確定和認識
[00:00:19.000 --> 00:00:21.000]  確定每一顆星的價值
[00:00:21.000 --> 00:00:24.000]  上帝確定天上每一顆星的價值
[00:00:24.000 --> 00:00:25.000]  上帝愛每一顆星
[00:00:25.000 --> 00:00:27.000]  上帝愛每一顆星
[00:00:27.000 --> 00:00:30.000]  所以才感覺到上帝愛每一個祂的子民
[00:00:30.000 --> 00:00:33.000]  上帝愛每一個子民
[00:00:33.000 --> 00:00:34.000]  當然上帝也愛耶利米
[00:00:34.000 --> 00:00:36.000]  當然上帝也愛耶利米
[00:00:36.000 --> 00:00:38.000]  因為耶利米是上帝的忠心
[00:00:38.000 --> 00:00:40.000]  因為耶利米是上帝的忠心
[00:00:40.000 --> 00:00:41.000]  忠於上帝的呼召
[00:00:41.000 --> 00:00:42.000]  忠於上帝的呼召
[00:00:42.000 --> 00:00:43.000]  我讀這些經文
[00:00:43.000 --> 00:00:44.000]  我讀這些經文
[00:00:44.000 --> 00:00:46.000]  想讓大家知道一件事
[00:00:46.000 --> 00:00:47.000]  想讓大家知道一件事
[00:00:47.000 --> 00:00:48.000]  如果你們是上帝的忠心
[00:00:48.000 --> 00:00:49.000]  如果你們是上帝的忠心
[00:00:49.000 --> 00:00:51.000]  上帝看著你
[00:00:51.000 --> 00:00:52.000]  上帝看著你
[00:00:52.000 --> 00:00:54.000]  OK,不論是什麼情況之下
[00:00:54.000 --> 00:00:56.000]  不論在什麼情況之下
[00:00:56.000 --> 00:00:58.000]  不論暴動也好
[00:00:58.000 --> 00:00:59.000]  不論暴動也好
[00:00:59.000 --> 00:01:00.000]  上帝都會保守
[00:01:00.000 --> 00:01:01.000]  上帝都會保守
[00:01:01.000 --> 00:01:02.000]  耶利米
[00:01:02.000 --> 00:01:03.000]  耶利米
[00:01:03.000 --> 00:01:05.000]  在刀尖劍口那裏生活
[00:01:05.000 --> 00:01:07.000]  在刀尖劍口那裏生活
[00:01:07.000 --> 00:01:08.000]  我一會兒會交代你怎樣
[00:01:08.000 --> 00:01:09.000]  我一會兒會交代你怎樣
[00:01:09.000 --> 00:01:10.000]  我一會兒會交代你怎樣
[00:01:10.000 --> 00:01:12.000]  我一會兒會交代你怎樣
[00:01:12.000 --> 00:01:16.000]  我上一次說耶利米和上帝的對話
[00:01:16.000 --> 00:01:17.000]  我上一次說耶利米和上帝的對話
[00:01:17.000 --> 00:01:18.000]  我上一次說耶利米和上帝的對話
[00:01:18.000 --> 00:01:19.000]  我上一次說耶利米和上帝的對話
[00:01:19.000 --> 00:01:20.000]  我上一次說耶利米和上帝的對話
[00:01:20.000 --> 00:01:21.000]  我上一次說耶利米和上帝的對話
[00:01:21.000 --> 00:01:26.000]  我上一次說耶利米和上帝的對話
[00:01:26.000 --> 00:01:27.000]  我上一次說耶利米和上帝的對話
[00:01:27.000 --> 00:01:28.000]  我上一次說耶利米和上帝的對話
[00:01:28.000 --> 00:01:29.000]  我上一次說耶利米和上帝的對話
[00:01:29.000 --> 00:01:30.000]  我上一次說耶利米和上帝的對話
[00:01:30.000 --> 00:01:31.000]  我上一次說耶利米和上帝的對話
[00:01:31.000 --> 00:01:32.000]  我上一次說耶利米和上帝的對話
[00:01:32.000 --> 00:01:33.000]  我上一次說耶利米和上帝的對話
[00:01:33.000 --> 00:01:34.000]  我上一次說耶利米和上帝的對話
[00:01:34.000 --> 00:01:35.000]  我上一次說耶利米和上帝的對話
[00:01:35.000 --> 00:01:36.000]  我上一次說耶利米和上帝的對話
[00:01:36.000 --> 00:01:37.000]  我上一次說耶利米和上帝的對話
[00:01:37.000 --> 00:01:38.000]  我上一次說耶利米和上帝的對話
[00:01:38.000 --> 00:02:06.000]  我上一次說耶利米和上帝的對話
[00:02:08.000 --> 00:02:09.000]  但是上帝的回答非常奇妙
[00:02:09.000 --> 00:02:10.000]  但是上帝的回答非常奇妙
[00:02:10.000 --> 00:02:11.000]  但是上帝的回答非常奇妙
[00:02:11.000 --> 00:02:12.000]  非常奇妙
[00:02:12.000 --> 00:02:13.000]  顯露上帝超然的神性
[00:02:13.000 --> 00:02:14.000]  顯露上帝超然的神性
[00:02:14.000 --> 00:02:15.000]  顯露上帝超然的神性
[00:02:15.000 --> 00:02:16.000]  顯露上帝超然的神性
