
[00:00:00.000 --> 00:00:01.540]  聖主,我們讚美祢
[00:00:01.540 --> 00:00:05.820]  因為祢是讓我們抬起頭的神
[00:00:05.820 --> 00:00:08.960]  祢是創始成中的主
[00:00:08.960 --> 00:00:11.200]  祢是色在今在永在的主
[00:00:11.200 --> 00:00:13.880]  祢是愛我們以至保守我們的生
[00:00:13.880 --> 00:00:15.740]  帶領我們,一路訴訟我們
[00:00:15.740 --> 00:00:18.940]  讓我們一路一路進步,一路成長的主
[00:00:18.940 --> 00:00:21.440]  祢在我們當中有美好的心意
[00:00:21.440 --> 00:00:23.000]  在美麗的計劃
[00:00:23.000 --> 00:00:25.680]  主是讓我們當祢藉著聖靈
[00:00:25.680 --> 00:00:27.360]  揭示在我們生命裏面
[00:00:27.360 --> 00:00:30.400]  當我們更加明亮眼睛看著祢的心意
[00:00:30.400 --> 00:00:31.560]  見到祢的計劃的時候
[00:00:31.560 --> 00:00:33.400]  我們讚美祢,我們感謝祢
[00:00:33.400 --> 00:00:36.000]  我們開心地去迎接祢
[00:00:36.000 --> 00:00:38.520]  我們知道主,祢是愛我們的神
[00:00:38.520 --> 00:00:40.360]  祢永遠與我們同在
[00:00:40.360 --> 00:00:43.120]  在這個時間讓我們每一位兄弟姐妹
[00:00:43.120 --> 00:00:44.800]  都被祢潔淨
[00:00:44.800 --> 00:00:45.920]  被祢帶領
[00:00:45.920 --> 00:00:49.200]  聖靈引領我們進到祢的接聖所
[00:00:49.200 --> 00:00:50.480]  去聽祢的聲音
[00:00:50.480 --> 00:00:51.520]  我們奉耶穌基督的名
[00:00:51.520 --> 00:00:53.240]  吩咐一切不屬於耶穌的
[00:00:53.240 --> 00:00:54.600]  一切的謊話
[00:00:54.600 --> 00:00:56.680]  一切的信息都離開我們
[00:00:56.680 --> 00:00:58.360]  一切的靈都要離開我們
[00:00:58.360 --> 00:01:01.080]  但主唯有祢藉著聖靈
[00:01:01.080 --> 00:01:02.640]  在我們當中跟我們說一句話
[00:01:02.640 --> 00:01:04.200]  多謝祢聽我們禱告
[00:01:04.200 --> 00:01:06.120]  奉耶穌基督的聖名
[00:01:06.120 --> 00:01:06.760]  Amen
[00:01:06.760 --> 00:01:07.760]  等姐妹請坐
[00:01:07.760 --> 00:01:14.680]  有一本書叫做《偉人的搖籃》
