
[00:00:00.000 --> 00:00:02.000]  各位親愛的提醒姐妹
[00:00:02.000 --> 00:00:03.000]  很感謝神的恩典
[00:00:03.000 --> 00:00:06.000]  又可以陪大家讀聖經
[00:00:06.000 --> 00:00:08.000]  你信不信有預言?
[00:00:08.000 --> 00:00:10.000]  原來以前
[00:00:10.000 --> 00:00:14.000]  我懷著一個很大的預言
[00:00:14.000 --> 00:00:16.000]  我不是很相信
[00:00:16.000 --> 00:00:18.000]  預言真還是假的?
[00:00:18.000 --> 00:00:20.000]  怎會有這麼厲害
[00:00:20.000 --> 00:00:24.000]  可以去知道未來發生的事呢?
[00:00:24.000 --> 00:00:28.000]  後來當我接觸越來越多
[00:00:28.000 --> 00:00:31.000]  當我來到紐西蘭又參加教會
[00:00:31.000 --> 00:00:35.000]  而我太太又是一位為人祈禱的代禱者
[00:00:35.000 --> 00:00:40.000]  我就知道原來有靈界和物質界
[00:00:40.000 --> 00:00:42.000]  兩個不同的世界
[00:00:42.000 --> 00:00:45.000]  當你在靈界裏面的時候
[00:00:45.000 --> 00:00:49.000]  你就體會屬靈的事
[00:00:49.000 --> 00:00:52.000]  聖靈會賜你一個辨識的能力
[00:00:52.000 --> 00:00:54.000]  有 discernment (辨識)
[00:00:54.000 --> 00:00:57.000]  而且賜你有智慧的言語
[00:00:57.000 --> 00:01:01.000]  你可以知道一些事物
[00:01:01.000 --> 00:01:03.000]  所以當一些人有需要
[00:01:03.000 --> 00:01:05.000]  來到代禱者面前的時候
[00:01:05.000 --> 00:01:08.000]  代禱者心中向神祈禱
[00:01:08.000 --> 00:01:11.000]  神就會向他啟示
[00:01:11.000 --> 00:01:13.000]  這個人有什麼需要
[00:01:13.000 --> 00:01:16.000]  聖經的話就在他裏面出來
[00:01:16.000 --> 00:01:18.000]  他用神的話
[00:01:18.000 --> 00:01:23.000]  來鼓勵、安慰、釋放職責的惡魔
[00:01:23.000 --> 00:01:27.000]  然後叫這個人得著神的醫治
[00:01:27.000 --> 00:01:29.000]  神的大令
[00:01:29.000 --> 00:01:33.000]  在耶利米書29章11節
[00:01:33.000 --> 00:01:35.000]  神這樣說
[00:01:35.000 --> 00:01:39.000]  他說:耶和華給我們的意念
[00:01:39.000 --> 00:01:42.000]  是一個賜平安的意念
[00:01:42.000 --> 00:01:45.000]  不是一個災禍
[00:01:45.000 --> 00:01:49.000]  而且祂叫我們抹後有指望
[00:01:49.000 --> 00:01:52.000]  聖經的話是帶著能力的
[00:01:52.000 --> 00:01:55.000]  是叫我們活在今天這個
[00:01:55.000 --> 00:01:57.000]  充滿很多問題
[00:01:57.000 --> 00:02:01.000]  充滿很多爭執的世代裏面
[00:02:01.000 --> 00:02:05.000]  我們仍然在靈的裏面
[00:02:05.000 --> 00:02:07.000]  我們向神仰望
[00:02:07.000 --> 00:02:09.000]  我們有指望
[00:02:09.000 --> 00:02:11.000]  今天很想向大家再一次
[00:02:11.000 --> 00:02:13.000]  來介紹摩西
[00:02:13.000 --> 00:02:15.000]  可能大家會說:摩西我都認識
[00:02:15.000 --> 00:02:17.000]  聽過很多次了
[00:02:17.000 --> 00:02:20.000]  我不知道你印象中的摩西
[00:02:20.000 --> 00:02:23.000]  是怎樣的一個人
[00:02:23.000 --> 00:02:26.000]  有時我們對身邊一些弟兄姊妹
[00:02:26.000 --> 00:02:28.000]  都會有不同的印象
[00:02:28.000 --> 00:02:30.000]  這位弟兄
[00:02:30.000 --> 00:02:32.000]  他很敬虔
[00:02:32.000 --> 00:02:34.000]  那位姊妹
[00:02:34.000 --> 00:02:36.000]  她很喜歡祈禱
[00:02:36.000 --> 00:02:38.000]  她真的在祈禱裏面
[00:02:38.000 --> 00:02:40.000]  下很多的功夫
[00:02:40.000 --> 00:02:43.000]  可能你又說:這個牧師
[00:02:43.000 --> 00:02:45.000]  他很喜歡讀聖經
[00:02:45.000 --> 00:02:47.000]  他對神的話
