
[00:00:00.000 --> 00:00:04.040]  好 今天要給大家分享的題目是
[00:00:04.040 --> 00:00:07.720]  神是我們唯一的依靠
[00:00:07.720 --> 00:00:11.720]  經文是在彌加書的5章
[00:00:11.720 --> 00:00:13.280]  1到15節
[00:00:13.280 --> 00:00:16.720]  我們先來一起誦讀今天的經文
[00:00:16.720 --> 00:00:19.800]  1、2起
[00:00:19.800 --> 00:00:23.760]  成群的名啊 現在你們要
[00:00:23.760 --> 00:00:27.360]  聚集成隊 因為仇敵圍攻
[00:00:27.360 --> 00:00:31.360]  我們 要用仗擊打以色列審判者
[00:00:31.360 --> 00:00:31.880]  的臉
[00:00:31.880 --> 00:00:37.440]  伯利恆以法他 你在猶大諸城中
[00:00:37.440 --> 00:00:41.360]  為小 將來必有一位從你那裡出來
[00:00:41.360 --> 00:00:45.400]  在以色列中為我做掌權的 他的
[00:00:45.400 --> 00:00:48.800]  根源從亘古 從太初就有
[00:00:48.800 --> 00:00:52.840]  耶和華必將以色列人交付
[00:00:52.840 --> 00:00:57.000]  敵人 只等那生產的富人生下子來
[00:00:57.360 --> 00:01:01.240]  那時掌權者 其餘的弟兄必歸到
[00:01:01.240 --> 00:01:02.800]  以色列人那裡
[00:01:02.800 --> 00:01:07.600]  他必起來 依靠耶和華的大能
[00:01:07.600 --> 00:01:11.280]  並耶和華他神之名的威嚴
[00:01:11.280 --> 00:01:13.200]  牧養他的羊群
[00:01:13.200 --> 00:01:17.320]  他們要安然居住 因為他必
[00:01:17.320 --> 00:01:20.360]  意見尊大 直到地極
[00:01:20.360 --> 00:01:24.720]  這位必做我們的平安 當亞述人
[00:01:24.720 --> 00:01:28.160]  進入我們的地境 踐踏宮殿
[00:01:28.160 --> 00:01:31.920]  的時候 我們就立起七個牧者
[00:01:31.920 --> 00:01:34.320]  八個首領攻擊他
[00:01:34.320 --> 00:01:38.160]  他們必用刀劍毀壞亞述地
[00:01:38.160 --> 00:01:40.080]  和明祿地的關口
[00:01:40.080 --> 00:01:43.600]  亞述人進入我們的地境
[00:01:43.600 --> 00:01:46.920]  踐踏的時候 他必拯救我們
[00:01:46.920 --> 00:01:51.880]  亞個餘生的人必在多國的
[00:01:51.880 --> 00:01:55.440]  民中 如從耶和華那裡降下的
[00:01:55.440 --> 00:01:59.120]  露水 又如甘霖降在草上
[00:01:59.120 --> 00:02:03.600]  不依賴人力 也不等候世人之功
[00:02:03.600 --> 00:02:08.120]  亞個餘生的人必在多國多民中
[00:02:08.120 --> 00:02:12.120]  如林間百獸中的獅子 又如
[00:02:12.120 --> 00:02:14.840]  哨狀獅子在羊群中
[00:02:14.840 --> 00:02:19.320]  他若經過 就必踐踏撕裂 無人
[00:02:19.320 --> 00:02:20.080]  搭救
[00:02:21.120 --> 00:02:24.880]  願祢的手舉起 高過敵人
[00:02:24.880 --> 00:02:27.960]  願祢的仇敵都被剪除
[00:02:27.960 --> 00:02:31.880]  耶和華說 到那日 我必從
[00:02:31.880 --> 00:02:36.000]  祢中間剪除馬屁 毀壞車輛
[00:02:36.000 --> 00:02:40.400]  也必從祢國中除滅誠意 拆毀
[00:02:40.400 --> 00:02:41.800]  一切的保障
[00:02:41.800 --> 00:02:46.080]  又必除掉祢手中的邪術 祢那裡
