
[00:00:00.000 --> 00:00:03.140]  上個禮拜Jonathan就開始了這個系列
[00:00:03.140 --> 00:00:06.280]  上個禮拜他講我們怎麼等
[00:00:06.280 --> 00:00:09.260]  怎麼由盼望依靠着神去等
[00:00:09.260 --> 00:00:10.260]  因爲
[00:00:10.260 --> 00:00:12.300]  是有結局的
[00:00:12.300 --> 00:00:14.580]  我們在等一些東西來到
[00:00:14.580 --> 00:00:16.700]  上個禮拜我都跟大家講了
[00:00:16.700 --> 00:00:19.640]  就是這禮拜講下究竟等什麼
[00:00:19.640 --> 00:00:22.000]  你學會了怎麼等,但是等什麼呢
[00:00:22.000 --> 00:00:24.980]  好像每個人都在等着一些不同的東西
[00:00:24.980 --> 00:00:27.320]  譬如下個禮拜是要等什麼
[00:00:27.320 --> 00:00:30.260]  可能有人都在等着一些不同的東西
[00:00:30.260 --> 00:00:33.080]  可能有人在等着考完試
[00:00:33.080 --> 00:00:36.020]  有人在等着轉工
[00:00:36.020 --> 00:00:39.020]  有人在等着生小孩
[00:00:39.020 --> 00:00:42.040]  有人在等着結婚
[00:00:42.040 --> 00:00:45.080]  大家在等着不同的東西
[00:00:45.080 --> 00:00:48.040]  人是在等着不同的東西,大家不停地等着不同的東西
[00:00:48.040 --> 00:00:49.180]  我們今天探討下究竟
[00:00:49.180 --> 00:00:53.000]  最終我們其實,原來聖經跟我們講
[00:00:53.000 --> 00:00:56.400]  全世界都在等着同一樣東西,是全世界
[00:00:58.000 --> 00:00:59.200]  人生
[00:00:59.200 --> 00:01:02.620]  每個人都有一個人生,你活着就是
[00:01:02.620 --> 00:01:05.360]  人生的一部分,世界用很多方法
[00:01:05.360 --> 00:01:07.200]  去將它
[00:01:07.200 --> 00:01:10.700]  分割或者去定義
[00:01:10.700 --> 00:01:13.640]  隨便分成6份
[00:01:13.640 --> 00:01:16.640]  你喜歡分成3份,10份,11,12份
[00:01:16.640 --> 00:01:19.640]  無所謂的,你喜歡怎麼分都可以
[00:01:19.640 --> 00:01:22.640]  基本上我就分成嬰兒的時候,小孩,青年
[00:01:22.640 --> 00:01:25.640]  成年,壯年,晚年
[00:01:25.640 --> 00:01:28.940]  我們在等着不同的東西
[00:01:28.940 --> 00:01:32.100]  小時候,嬰兒就等着很簡單的東西
[00:01:32.100 --> 00:01:33.100]  小時候,嬰兒就等着很簡單的東西
[00:01:33.100 --> 00:01:36.640]  喫飽就睡,睡飽就喫
[00:01:36.640 --> 00:01:39.640]  你等着兩樣東西,等着不停地循環
[00:01:39.640 --> 00:01:42.640]  你大一點點
[00:01:42.640 --> 00:01:45.340]  開始上學
[00:01:45.340 --> 00:01:48.600]  可能去paygroup,小孩就等着
[00:01:48.600 --> 00:01:51.960]  另一樣東西,他不只是等着睡覺和喫飯
[00:01:51.960 --> 00:01:54.980]  開始循環,無敵地循環
[00:01:54.980 --> 00:01:58.060]  循環在上學,上學循環,上學循環
[00:01:58.060 --> 00:02:01.080]  上學循環,上學循環,上學循環
[00:02:01.080 --> 00:02:03.220]  考試放假,考試放假,無敵地循環
[00:02:03.220 --> 00:02:06.780]  上學就等着放學
[00:02:06.780 --> 00:02:10.120]  放暑假太久又等着上學,不停循環
[00:02:10.120 --> 00:02:11.400]  再大一點
[00:02:11.400 --> 00:02:14.960]  大家的世界開始改變了
[00:02:14.960 --> 00:02:18.440]  看的東西等的東西都開始不同了
[00:02:18.440 --> 00:02:21.760]  一個男生,一個男性,小時候經常等着什麼呢
[00:02:21.760 --> 00:02:25.300]  就等着什麼時候出新的遊戲機,什麼時候出新的遊戲
[00:02:25.300 --> 00:02:28.220]  你知道嗎,去那些店鋪
[00:02:28.220 --> 00:02:31.760]  那些人說,快出了新遊戲,要不要先下訂
[00:02:31.760 --> 00:02:35.280]  到時買不到,可能等一個月再玩,要不要先下訂
[00:02:35.280 --> 00:02:39.040]  大家都期待着另一樣東西,女生可能在等着其他化妝品
[00:02:39.040 --> 00:02:41.420]  出新的衣服
[00:02:41.420 --> 00:02:45.020]  等着遊戲機,再大一點點
[00:02:45.020 --> 00:02:49.000]  在等着你的白馬王子
[00:02:49.000 --> 00:02:51.700]  你的白雪公主,什麼時候出現
[00:02:51.780 --> 00:02:54.620]  什麼時候出現呢,在等着,有些東西很期待的
[00:02:54.620 --> 00:02:58.120]  有些人在笑,在期待
[00:02:58.120 --> 00:03:00.440]  大家等的不一樣,有些人已經
[00:03:00.440 --> 00:03:04.420]  過了這些時期
[00:03:04.420 --> 00:03:07.720]  大一點,小時候遊戲機
[00:03:07.720 --> 00:03:10.700]  大一點,就等着買車
[00:03:10.700 --> 00:03:13.580]  遲些新款車,2017年左右
[00:03:13.580 --> 00:03:16.940]  有什麼新款呢,存夠錢了沒有呢,買新款的車
[00:03:16.940 --> 00:03:20.320]  女的可能不是買車,可能買手袋
[00:03:20.340 --> 00:03:23.660]  買新的手袋
[00:03:23.660 --> 00:03:27.420]  在不同時期都等不同的東西
[00:03:27.420 --> 00:03:30.020]  越來越大,開始想想
[00:03:30.020 --> 00:03:33.420]  期待着一個新的工作
[00:03:33.420 --> 00:03:36.500]  工作會不會來臨呢,有沒有機會做到那份工作呢
[00:03:36.500 --> 00:03:40.620]  或者在找工作,究竟會是哪一份工作會請我呢
[00:03:40.620 --> 00:03:44.220]  期待着工作,填養一個未來
[00:03:44.220 --> 00:03:47.820]  有工作了,然後想想生兒子
[00:03:49.320 --> 00:03:52.220]  生兒子之後就想想
[00:03:52.220 --> 00:03:55.260]  買樓,何時買樓呢,何時存夠錢買樓呢
[00:03:55.260 --> 00:03:57.780]  什麼時候最好買樓呢,是不是經濟衰落之後買樓呢
[00:03:57.780 --> 00:04:00.760]  還是何時買樓呢
[00:04:00.760 --> 00:04:03.280]  樓買了,兒子也生了,那就想什麼呢
[00:04:03.280 --> 00:04:04.960]  想退休
[00:04:04.960 --> 00:04:08.460]  大家想退休就想什麼呢,環遊世界
[00:04:08.460 --> 00:04:11.400]  我不明白這個connection是怎樣來的
[00:04:11.400 --> 00:04:14.560]  退休就一定是環遊世界,好像沒有其他事情要做
[00:04:14.560 --> 00:04:17.000]  退休了
[00:04:17.800 --> 00:04:19.820]  下一個問題就難回答了
[00:04:19.820 --> 00:04:22.620]  退休之後就等什麼呢
[00:04:22.620 --> 00:04:26.420]  什麼呢,在哪裏說呢,你在說什麼呢
[00:04:26.420 --> 00:04:28.660]  等什麼,退休之後就等什麼呢
[00:04:28.660 --> 00:04:31.960]  是啊是啊,很現實的,大家不敢說
[00:04:31.960 --> 00:04:34.980]  是不是退休之後就等死呢
[00:04:34.980 --> 00:04:37.020]  你可想,我要
[00:04:37.020 --> 00:04:40.020]  香港就可能買一個骨灰庵
[00:04:40.020 --> 00:04:42.780]  或者買一塊地
[00:04:42.780 --> 00:04:44.300]  是不是人生就是
[00:04:44.300 --> 00:04:47.540]  喫飯睡覺喫飯睡覺,等買哪個車哪個遊戲機
[00:04:47.540 --> 00:04:49.940]  退休之後就坐着等死呢
[00:04:49.940 --> 00:04:53.060]  人生是不是就是這樣呢,人生是不是就是
[00:04:53.060 --> 00:04:56.380]  等死,當然等死也挺悲哀的
[00:04:56.380 --> 00:04:58.880]  原來我們不是活着
[00:04:58.880 --> 00:05:01.540]  we are not living, we are dying
[00:05:01.540 --> 00:05:04.160]  就是原來你從出生那一刻就在等着死
[00:05:04.160 --> 00:05:07.180]  其實你沒有活過,你一出生那一刻就在等待死亡的理論
[00:05:07.180 --> 00:05:10.020]  是不是就是這樣呢,就是等死,當然這樣
[00:05:10.020 --> 00:05:13.120]  人生真的沒什麼意義的,不要搞那麼多東西了
[00:05:13.120 --> 00:05:14.620]  等死
[00:05:14.940 --> 00:05:18.560]  今天在這裏跟大家說,其實大家是在等着死的
[00:05:18.560 --> 00:05:22.180]  不要搞那麼多東西了,事事散散,求求其其,過一生就行了
[00:05:22.180 --> 00:05:24.820]  大家最後都是埋在泥土裏面的
[00:05:24.820 --> 00:05:29.660]  聖經不是這樣說的,我們看看羅馬書
[00:05:29.660 --> 00:05:32.480]  八章十六至十八節
[00:05:32.480 --> 00:05:34.460]  我們一起讀,一二三
[00:05:34.460 --> 00:05:39.320]  聖靈與我們的心同正我們是神的兒女
[00:05:39.320 --> 00:05:44.320]  既是兒女便是後知,就是神的後知
[00:05:44.320 --> 00:05:46.760]  和基督同作後知
[00:05:46.760 --> 00:05:50.000]  如果我們和祂一同受苦
[00:05:50.000 --> 00:05:53.100]  也必和祂一同得榮耀
[00:05:53.100 --> 00:05:55.460]  我想現在的苦楚
[00:05:55.460 --> 00:05:59.260]  若比起將來要顯於我們的榮耀
[00:05:59.260 --> 00:06:01.560]  就不足價而了
[00:06:01.560 --> 00:06:05.460]  是不是上個禮拜你講過這個
[00:06:05.460 --> 00:06:10.760]  這個經文是很有趣的,你小心點留意一下
[00:06:10.760 --> 00:06:12.860]  我們上一個系列就是這樣講聖靈
[00:06:12.860 --> 00:06:15.860]  聖靈聖靈聖靈,也提及到這個經文
[00:06:15.860 --> 00:06:20.360]  聖靈與我們的心同正我們是神的兒女
[00:06:20.360 --> 00:06:22.360]  神的兒女,後面又要講
[00:06:22.360 --> 00:06:26.160]  我們神的兒女其實就好像耶穌基督一樣
