
[00:00:00.000 --> 00:00:04.000]  生命很無常
[00:00:04.000 --> 00:00:09.000]  本來明天有個牧師來我家聚集聊天
[00:00:09.000 --> 00:00:17.000]  前個禮拜就過身了
[00:00:17.000 --> 00:00:24.000]  所以珍惜和弟兄姊妹或者某些人相聚的時候
[00:00:28.000 --> 00:00:32.000]  我們都珍惜神給我們的說話
[00:00:32.000 --> 00:00:38.000]  這段聖經應該大家都很熟悉
[00:00:38.000 --> 00:00:44.000]  我想每個電影姊妹都一定會背這句說話
[00:00:44.000 --> 00:00:53.000]  希望你能夠背
[00:00:54.000 --> 00:01:00.000]  這段說話就在羅馬書第十二章一開始第一第二節講
[00:01:00.000 --> 00:01:07.000]  如果大家熟悉聖經就知道
[00:01:07.000 --> 00:01:11.000]  羅馬書第一到第十一章是講什麼的
[00:01:11.000 --> 00:01:21.000]  保羅將人的被神創造
[00:01:21.000 --> 00:01:24.000]  到犯罪墮落
[00:01:24.000 --> 00:01:27.000]  到耶穌基督來拯救
[00:01:27.000 --> 00:01:30.000]  使我們因信清義完成救恩
[00:01:30.000 --> 00:01:34.000]  保羅把神創造人類
[00:01:34.000 --> 00:01:35.000]  然後犯罪
[00:01:35.000 --> 00:01:37.000]  然後得救
[00:01:37.000 --> 00:01:41.000]  因心稱義的整個過程都講一遍
[00:01:47.000 --> 00:01:52.000]  是講神整個很美好的很完整的救恩
[00:01:52.000 --> 00:02:01.000]  其實今天我們明白基督教的神學救恩
[00:02:01.000 --> 00:02:08.000]  是靠保羅的
[00:02:08.000 --> 00:02:12.000]  是祂將耶穌基督的救恩很完整地教導我們
[00:02:17.000 --> 00:02:21.000]  如果你自己去讀福音書你可能搞不出這套東西出來
[00:02:21.000 --> 00:02:29.000]  所以我們讀神學就有保羅神學
[00:02:29.000 --> 00:02:35.000]  我們沒有耶穌神學
[00:02:35.000 --> 00:02:39.000]  因為是保羅去研究耶穌基督究竟為我們做了什麼
[00:02:39.000 --> 00:02:42.000]  所以就有套神學出來
[00:02:47.000 --> 00:02:52.000]  所以羅馬書頭十一章就是保羅神學一個很重要的部分
[00:02:52.000 --> 00:02:59.000]  但由十二章開始
[00:02:59.000 --> 00:03:04.000]  似乎跟神學沒有什麼關係
[00:03:04.000 --> 00:03:08.000]  是很多信徒生活的教訓
[00:03:08.000 --> 00:03:16.000]  其實可以說是基督徒對耶穌基督的救恩的一個回應
[00:03:18.000 --> 00:03:21.000]  如果出聖經的話
[00:03:21.000 --> 00:03:25.000]  大家就明白保羅一開始說所以弟兄們
[00:03:25.000 --> 00:03:33.000]  凡是我們說所以
[00:03:33.000 --> 00:03:38.000]  前面一定是有一些原因
[00:03:38.000 --> 00:03:43.000]  保羅前面的原因全部是包括在十一章裡面
[00:03:45.000 --> 00:03:49.000]  保羅的原因就是全部包括在頭十一章裡面
[00:03:49.000 --> 00:03:54.000]  就是神對我們救贖的恩典太偉大太寶貴了
[00:03:54.000 --> 00:03:59.000]  就是神耶穌基督對我們的救贖太偉大太美麗了
[00:03:59.000 --> 00:04:04.000]  所以我們一定要去回應神這個救恩
[00:04:04.000 --> 00:04:07.000]  所以我們一定要回應這個救恩
[00:04:07.000 --> 00:04:12.000]  保羅在前面十一章多數用一些最熟悉的語法
[00:04:12.000 --> 00:04:16.000]  保羅在前十一章是敘事的表達
