
[00:00:00.000 --> 00:00:03.240]  聖母,您平安!我們一起祈禱!
[00:00:03.240 --> 00:00:10.000]  聖母,我們感謝您,您讓我們能夠在這裡聚集,來敬拜您
[00:00:10.000 --> 00:00:13.320]  祈求聖靈在我們當中,幫助我們
[00:00:13.320 --> 00:00:19.200]  讓我們明白您的話語,並且我們會謹守遵行您的話語
[00:00:19.200 --> 00:00:22.000]  奉耶穌基督的名祈禱,阿們
[00:00:22.000 --> 00:00:29.520]  今天我們繼續與我的黃同行一路的系列
[00:00:29.520 --> 00:00:33.200]  上次我講到的時候,已經提過
[00:00:33.200 --> 00:00:38.200]  盧家醫生很可能藉著這裡的記載
[00:00:38.200 --> 00:00:42.520]  鼓勵第一次收到這本書的提亞非羅大人
[00:00:42.520 --> 00:00:48.000]  要他明白所信的道是真實的
[00:00:48.000 --> 00:00:50.400]  不是虛構的小說
[00:00:50.400 --> 00:00:56.200]  也希望它會成為主耶穌基督的好門道
[00:00:56.200 --> 00:01:00.200]  當然了,對我們來說,都是很重要的
[00:01:00.200 --> 00:01:04.200]  我們也要成為主耶穌的好門道
[00:01:04.200 --> 00:01:11.200]  我們從今天的經文去認識,上主是我們的供應者
[00:01:11.200 --> 00:01:15.200]  故此我們才可以向祂祈禱
[00:01:15.200 --> 00:01:20.200]  而祂會將一切對我們有益的東西給予我們
[00:01:20.200 --> 00:01:27.200]  先由我介紹一下今天盧家醫生一章一至十三節的結構
[00:01:27.200 --> 00:01:30.200]  我將這段經文分成五個小段
[00:01:30.200 --> 00:01:34.200]  第一節是講背景
[00:01:34.200 --> 00:01:37.200]  門徒要求主耶穌教他們禱告
[00:01:37.200 --> 00:01:43.200]  第二個小段是第二至第四節,其實就是主禱文的內容
[00:01:43.200 --> 00:01:46.200]  然後五至八節是鼓勵他們要恆心禱告
[00:01:46.200 --> 00:01:50.200]  九至十節是應許禱告,是會得到應運的
[00:01:50.200 --> 00:01:55.200]  十一至十三節是天父會將一切好的東西,聖靈賜給祂祈求的人
[00:01:55.200 --> 00:01:59.200]  我特別將它排成ABC,然後B派,A派
[00:01:59.200 --> 00:02:04.200]  這個結構在聖經中,其實是可以隨時找到的
[00:02:04.200 --> 00:02:07.200]  學者稱這種結構為「交叉結構」
[00:02:07.200 --> 00:02:12.200]  中間那段通常都是最重要的重點所在
[00:02:12.200 --> 00:02:16.200]  所以其實就是要鼓勵我們恆心禱告
[00:02:16.200 --> 00:02:23.200]  不過我相信我們要認識我們的禱告對象
[00:02:23.200 --> 00:02:25.200]  對象都是很重要的
[00:02:25.200 --> 00:02:32.200]  我們要認識並且知道,深信上帝是會供應一切對我們好的東西給我們
[00:02:32.200 --> 00:02:34.200]  這樣我們才會恆心禱告
[00:02:34.200 --> 00:02:38.200]  如果我們不太相信的話,就不會恆心禱告了
[00:02:38.200 --> 00:02:42.200]  如果我們不相信上帝會給我們一件好東西
[00:02:42.200 --> 00:02:46.200]  我們大概真的不會怎麼恆心禱告
[00:02:46.200 --> 00:02:49.200]  我們要詳細來思想這一段經文
[00:02:49.200 --> 00:02:53.200]  十一至十一節給我們提到一個場景
[00:02:53.200 --> 00:02:55.200]  就是耶穌在一個地方禱告
[00:02:55.200 --> 00:02:58.200]  在什麼地方呢?我們不知道
[00:02:58.200 --> 00:03:00.200]  可能老家都認為不是很重要
