
[00:00:00.000 --> 00:00:03.020]  近來香港的城中熱話
[00:00:03.020 --> 00:00:08.320]  就是宣誓的風波不斷不斷的升溫和演變
[00:00:08.320 --> 00:00:11.700]  都搞了好幾個禮拜
[00:00:11.700 --> 00:00:16.780]  由當初宣誓似乎有些侮辱的成份
[00:00:16.780 --> 00:00:21.060]  接著就令到他們的議席受到危險
[00:00:21.060 --> 00:00:22.600]  接著就可不可以再宣誓
[00:00:22.600 --> 00:00:23.800]  接著引大家釋法
[00:00:23.800 --> 00:00:25.320]  接著到現在
[00:00:25.320 --> 00:00:28.480]  好像搞來搞去都搞不完
[00:00:29.600 --> 00:00:34.240]  我不知道你用一個怎樣的心態去面對這件事情
[00:00:34.240 --> 00:00:36.200]  可能有些人你已經覺得
[00:00:36.200 --> 00:00:38.080]  我聽很多我不想再聽了
[00:00:38.080 --> 00:00:39.840]  電視是說這些我轉台了
[00:00:39.840 --> 00:00:42.440]  現在你的牧師在說我想轉你台了
[00:00:42.440 --> 00:00:46.160]  可能有些是很憤怒
[00:00:46.160 --> 00:00:47.680]  很有自己的立場
[00:00:47.680 --> 00:00:49.280]  很想去表達的
[00:00:49.280 --> 00:00:53.200]  以至於可能你會在網上用不同的平台去表達
[00:00:53.200 --> 00:00:58.000]  甚至乎會上街或者用不同的方法去表達你的聲音
[00:00:59.240 --> 00:01:02.680]  可能你已經是很失望、很沮喪
[00:01:02.680 --> 00:01:04.160]  你覺得很無望
[00:01:04.160 --> 00:01:08.800]  完全不想再去想這件事
[00:01:08.800 --> 00:01:10.880]  覺得真的很灰心
[00:01:10.880 --> 00:01:12.480]  也有一個知識跟我說
[00:01:12.480 --> 00:01:15.920]  他說這段時間都是美國總統大選
[00:01:15.920 --> 00:01:17.840]  很多美國人不喜歡特朗普
[00:01:17.840 --> 00:01:19.840]  他說美國都沒什麼問題
[00:01:19.840 --> 00:01:21.840]  四年之後你就可以換上特朗普了
[00:01:21.840 --> 00:01:23.600]  香港你都不知道搞來搞去會怎樣
[00:01:23.600 --> 00:01:25.520]  只會越搞越差
[00:01:27.040 --> 00:01:32.240]  可能你已經覺得沒什麼意外
[00:01:32.240 --> 00:01:35.960]  由政黨運動、催淚彈到現在的時候
[00:01:35.960 --> 00:01:42.280]  你已經預料到這一批新的立法會議員會有很多的對抗
[00:01:42.280 --> 00:01:45.360]  唯一的意外就是猜不到是宣誓來出的
[00:01:45.360 --> 00:01:48.160]  你預料到一定會有抗爭、會有不同的
[00:01:48.160 --> 00:01:51.400]  只不過你已經覺得沒得搞了
[00:01:51.400 --> 00:01:54.760]  所以可能都會想離開
[00:01:54.760 --> 00:01:56.560]  可以離開香港的
[00:01:56.560 --> 00:01:59.360]  不如想想要不移民
[00:01:59.360 --> 00:02:01.880]  我不知道你用什麼心態去面對
[00:02:01.880 --> 00:02:05.240]  我也不想在這個時候去評論政治
[00:02:05.240 --> 00:02:10.480]  我只是想從中帶出一些值得我們去反思或者留意的事情
[00:02:10.480 --> 00:02:11.880]  我不是一個政治家
[00:02:11.880 --> 00:02:14.120]  我也不是很了解
[00:02:14.120 --> 00:02:15.560]  我也看不到會怎樣發展
[00:02:15.560 --> 00:02:19.440]  雖然一方面我關注香港的發展
[00:02:19.440 --> 00:02:23.440]  但我也關注香港教會的發展
[00:02:23.440 --> 00:02:27.360]  那麼教會會怎樣呢?
[00:02:27.360 --> 00:02:30.040]  很有可能接下來會有一個新的移民潮
[00:02:30.040 --> 00:02:31.720]  就是會有人離開
[00:02:31.720 --> 00:02:34.520]  可能你已經認識了不少的弟兄姊妹
[00:02:34.520 --> 00:02:39.240]  已經選擇離開或者正在搞移民離開香港
[00:02:39.240 --> 00:02:41.440]  那麼教會會怎樣呢?
[00:02:41.440 --> 00:02:46.040]  離開的可能很多都是在教會裡面很熱心服侍的人
[00:02:46.040 --> 00:02:49.440]  或者可以離開的都是有能力才能離開
[00:02:49.440 --> 00:02:50.800]  所以相對上來說
[00:02:50.800 --> 00:02:52.000]  如果那些人離開了
[00:02:52.000 --> 00:02:54.560]  我們教會的奉獻也會少
[00:02:54.560 --> 00:02:55.560]  那麼你有沒有想過
[00:02:55.560 --> 00:02:59.360]  如果我們熱心侍奉的又少了
[00:02:59.360 --> 00:03:01.160]  我們教會的預算又少了
[00:03:01.160 --> 00:03:04.040]  那麼教會會怎樣呢?
[00:03:04.040 --> 00:03:06.880]  有沒有想過香港接下來的人口老化的情況
[00:03:06.880 --> 00:03:09.560]  趨勢越來越緊要
[00:03:09.560 --> 00:03:14.120]  新一代他們的起身點又會低過上一代
[00:03:14.120 --> 00:03:14.720]  換句話說
[00:03:14.720 --> 00:03:16.000]  接下來的年輕人
[00:03:16.000 --> 00:03:18.760]  當他們成為教會中層人士的時候
[00:03:18.760 --> 00:03:20.840]  他一方面要去照顧父母
[00:03:20.840 --> 00:03:23.240]  另一方面薪水又少
[00:03:23.240 --> 00:03:26.600]  又會勞心勞力去處理家裡的情況
[00:03:26.600 --> 00:03:29.920]  未必有很多在教會裡面的投身
[00:03:29.920 --> 00:03:32.840]  那麼我們的人力資源又會減少
[00:03:32.840 --> 00:03:35.200]  那麼又會怎樣呢?
[00:03:35.200 --> 00:03:36.520]  又或者
[00:03:36.520 --> 00:03:38.920]  有沒有看到在可見的將來
[00:03:38.920 --> 00:03:42.640]  可能政府會對教會有越來越多的限制
[00:03:42.640 --> 00:03:43.800]  也不奇怪
[00:03:43.800 --> 00:03:46.880]  這個五十年不變未必能夠捱到五十年
[00:03:46.880 --> 00:03:48.880]  如果在內地的教會
[00:03:48.880 --> 00:03:50.880]  現在越來越多收緊的策略
[00:03:50.880 --> 00:03:52.480]  那麼香港的教會
[00:03:52.480 --> 00:03:54.560]  也只是時間上的問題
[00:03:54.560 --> 00:03:56.480]  如果我們因著
[00:03:56.480 --> 00:03:59.960]  我們教會也不能夠可以好像現在這樣
[00:03:59.960 --> 00:04:03.480]  很開放做到自己想做的事情
[00:04:03.480 --> 00:04:06.480]  那麼我們又會怎樣呢?
[00:04:06.480 --> 00:04:07.760]  你看不看見
[00:04:07.760 --> 00:04:09.720]  香港發生的事
[00:04:09.720 --> 00:04:12.760]  教會也不能夠避免
[00:04:12.760 --> 00:04:14.400]  就是教會也會受影響
