
[00:00:00.000 --> 00:00:02.600]  今天主要我們一同來敬拜主
[00:00:02.600 --> 00:00:05.600]  一同來領受神的訊息
[00:00:05.600 --> 00:00:09.900]  我們一同打開聖經小行傳第九章
[00:00:09.900 --> 00:00:13.420]  我們今天和大家分享的題目是二章
[00:00:13.420 --> 00:00:15.560]  使你不一樣
[00:00:15.560 --> 00:00:21.300]  在第九章開始,上個星期
[00:00:21.300 --> 00:00:24.060]  鄧說梅教師和我們分享到
[00:00:24.060 --> 00:00:26.080]  有一個重要的人物
[00:00:26.080 --> 00:00:28.320]  保羅
[00:00:29.040 --> 00:00:32.960]  他在往大馬錫的路上遇見耶穌
[00:00:32.960 --> 00:00:37.420]  他在一個平上徒阿那利亞的帶領底下
[00:00:37.420 --> 00:00:40.520]  來悔改受洗歸在基督的名額
[00:00:40.520 --> 00:00:43.880]  曾說要使他成為愛邦人的使徒
[00:00:43.880 --> 00:00:48.820]  這一個是福音能夠繼續傳揚
[00:00:48.820 --> 00:00:50.740]  一個很重要很重要的一步
[00:00:50.740 --> 00:00:54.680]  說完這個使徒歸主之後
[00:00:54.680 --> 00:00:57.220]  在小行傳第九章三十一節
[00:00:58.080 --> 00:01:02.240]  路加使徒行傳的作者用一句說話總結了
[00:01:02.240 --> 00:01:04.860]  第二章五重節聖靈降臨
[00:01:04.860 --> 00:01:09.800]  去到第八章福音由耶路撒冷到撒瑪利亞為止的情況
[00:01:09.800 --> 00:01:11.660]  三十一節他說什麼呢
[00:01:11.660 --> 00:01:16.700]  他說那時猶太、加利利、撒瑪利亞各處的教會都得平安
[00:01:16.700 --> 00:01:17.960]  被建立
[00:01:17.960 --> 00:01:22.980]  凡是敬畏主蒙聖靈的安慰人數就增多了
[00:01:22.980 --> 00:01:25.460]  似乎這個圖畫是非常之美麗
[00:01:25.460 --> 00:01:27.980]  似乎很令人滿意
[00:01:29.080 --> 00:01:31.860]  但是神並不是這樣想
[00:01:31.860 --> 00:01:34.840]  神要做一件更大的事
[00:01:34.840 --> 00:01:39.060]  而這件事將會震撼當時的教會
[00:01:39.060 --> 00:01:43.580]  也會對教會在後期的發展舉足輕重
[00:01:43.580 --> 00:01:50.260]  你會問我這件事與今天我們坐在這裡的每一個人又有什麼關係呢
[00:01:50.260 --> 00:01:56.500]  首先我想問一下當中有沒有猶太人所生的猶太人在裡面
[00:01:56.500 --> 00:01:57.980]  請你舉手
[00:01:59.080 --> 00:02:04.360]  我看見有人摸摸頭,我以為想舉一下手
[00:02:04.360 --> 00:02:07.500]  不是吧,不是父母都是猶太人
[00:02:07.500 --> 00:02:09.080]  是吧,大家都不是
[00:02:09.080 --> 00:02:12.280]  潮州的就有很多
[00:02:12.280 --> 00:02:16.620]  如果神沒有做這件事
[00:02:16.620 --> 00:02:19.000]  今天在座的每一個人
[00:02:19.000 --> 00:02:22.160]  除非你願意行摩西的律法
[00:02:22.160 --> 00:02:25.420]  就是說有五百多條的律例你要天天遵守
[00:02:25.420 --> 00:02:26.960]  心怕得罪了神
[00:02:26.960 --> 00:02:29.600]  你吃東西的時候不能吃五花腩
[00:02:29.600 --> 00:02:32.900]  因為豬在裡面是不潔的
[00:02:32.900 --> 00:02:35.940]  吃東西之前要洗手
[00:02:35.940 --> 00:02:38.940]  由手指頭洗到手肘那一處
[00:02:38.940 --> 00:02:42.060]  在街市回來的時候要從頭到腳洗一次
[00:02:42.060 --> 00:02:45.100]  不是說髒了,而是禮儀的潔淨
[00:02:45.100 --> 00:02:46.700]  才可以進食
[00:02:46.700 --> 00:02:51.320]  要守好多的律例才能夠有機會加入教會裡面
[00:02:53.980 --> 00:02:57.000]  神要做這件事就是要幫人
[00:02:57.000 --> 00:02:59.840]  單單的恩信能夠得救
[00:02:59.840 --> 00:03:02.080]  並且能夠加入教會裡面
[00:03:02.080 --> 00:03:03.780]  就好像我們今天那樣
[00:03:03.780 --> 00:03:05.920]  但是你說,我們今天就是這樣
[00:03:05.920 --> 00:03:07.760]  似乎是很容易的事情
[00:03:07.760 --> 00:03:12.080]  但是在當時的猶太人為主的使徒
[00:03:12.080 --> 00:03:13.720]  和教會來說
[00:03:13.720 --> 00:03:15.940]  是絕不簡單的一件事
[00:03:15.940 --> 00:03:19.940]  神要做這件事,祂首先要改變一個人
[00:03:19.940 --> 00:03:23.500]  祂要用意象改變彼得的思維和觀念
[00:03:23.500 --> 00:03:29.840]  然後借助彼得改變當時的教會群體的思想和觀念
[00:03:29.840 --> 00:03:33.900]  有時候我們都信主一段時間
[00:03:33.900 --> 00:03:36.660]  各樣都可以覺得不錯
[00:03:36.660 --> 00:03:40.580]  就好像當時九章三十一節裡面所說
[00:03:40.580 --> 00:03:44.300]  但是我們慢慢會傾向維持現象
[00:03:44.300 --> 00:03:46.580]  靈性方面也都停滯不前
