
[00:00:00.000 --> 00:00:07.160]  大主,當我們知道祢是何等寶貴的時候
[00:00:07.160 --> 00:00:10.640]  我們說,可能我們有生命擁有祢就足夠
[00:00:10.640 --> 00:00:14.040]  我們就可以別無所求
[00:00:14.040 --> 00:00:18.760]  大主,我們知道在生命裏面有很多事情都會發生
[00:00:18.760 --> 00:00:21.320]  很多事情都會纏繞我們
[00:00:21.320 --> 00:00:25.680]  大主,這一刻我求祢幫我們拿走一切纏繞我們的
[00:00:25.680 --> 00:00:29.840]  讓我們單單能夠專心的利用祢自己的金錢
[00:00:29.840 --> 00:00:33.520]  聖靈在這一刻邀請祢在我們每一個人的心裏動功
[00:00:33.520 --> 00:00:36.240]  來充滿我們
[00:00:36.240 --> 00:00:38.240]  因為我們需要祢
[00:00:38.240 --> 00:00:45.560]  唯有真理的靈能夠讓我們明白上帝的話語當中的奧悲
[00:00:45.560 --> 00:00:47.560]  主,我們知道我們都是不配的人
[00:00:47.560 --> 00:00:50.880]  但是多謝祢來引領我們
[00:00:50.880 --> 00:00:52.920]  我們求祢,在我們今天說到當中
[00:00:52.920 --> 00:00:55.680]  我們知道並不是我們哪個人能夠說些什麼
[00:00:55.680 --> 00:00:57.480]  乃是上帝祢自己親自
[00:00:57.480 --> 00:01:00.040]  聖靈在當中向我們每一個人說話
[00:01:00.040 --> 00:01:03.400]  才能夠讓我們明白到上帝自己的心意
[00:01:03.400 --> 00:01:05.480]  願祢在當中帶領我們
[00:01:05.480 --> 00:01:06.560]  我們多謝祢
[00:01:06.560 --> 00:01:08.280]  聽我們同心的禱告
[00:01:08.280 --> 00:01:10.240]  奉主耶穌基督的名
[00:01:10.240 --> 00:01:11.240]  阿門
[00:01:11.240 --> 00:01:13.520]  好,大家請坐
[00:01:13.520 --> 00:01:16.960]  多謝敬拜隊
[00:01:16.960 --> 00:01:20.400]  在這裏我想做一個小小的調查
[00:01:20.400 --> 00:01:22.320]  我們今天說敬拜
[00:01:22.320 --> 00:01:27.200]  我想問大家,如果你覺得自己喜歡敬拜
[00:01:27.200 --> 00:01:31.080]  你投入到敬拜的,你舉手好嗎?
[00:01:31.080 --> 00:01:32.360]  都很多
[00:01:32.360 --> 00:01:34.840]  當然我見到當中都有一些沒有舉手
[00:01:34.840 --> 00:01:35.760]  不過沒有舉手都可以
[00:01:35.760 --> 00:01:38.640]  因為這是你自己真實的感受
[00:01:38.640 --> 00:01:43.600]  因為我自己在教會的敬拜部去服侍
[00:01:43.600 --> 00:01:48.480]  所以我經常聽到一些靈卿姐妹對於敬拜的回應
[00:01:48.480 --> 00:01:52.400]  其實當中跟大家分享一些挺極端的
[00:01:52.400 --> 00:01:53.800]  有些靈卿姐妹跟我說
[00:01:53.800 --> 00:01:58.800]  「莉莉娜,我回到這裏的時候,我很悲歡,不知為何每次敬拜的時候
[00:01:58.800 --> 00:02:02.160]  我就覺得自己好像和神很近似的
[00:02:02.160 --> 00:02:05.000]  可以敬拜,可以親近神
[00:02:05.000 --> 00:02:06.880]  這個敬拜幫助到我
[00:02:06.880 --> 00:02:10.160]  有時候不知為何心裏面都會感動
[00:02:10.160 --> 00:02:14.240]  甚至流眼淚,即是流淚
[00:02:14.240 --> 00:02:17.000]  大家不知道有沒有這樣的經歷
[00:02:17.000 --> 00:02:21.800]  她就說「不知為何會這樣,很想」
[00:02:21.800 --> 00:02:25.360]  其實同福堂我們一向都有一個別號
