
[00:00:00.000 --> 00:00:04.720]  今天是一個充滿混亂的世代
[00:00:04.720 --> 00:00:09.700]  打仗和打仗的風聲是如耶穌基督所預言的
[00:00:09.700 --> 00:00:11.700]  是越來越響亮
[00:00:11.700 --> 00:00:14.160]  所以我們求諸恩代
[00:00:14.160 --> 00:00:16.600]  作為基督徒究竟我們應該做什麼呢?
[00:00:16.600 --> 00:00:19.960]  有什麼能夠解決今天的問題呢?
[00:00:19.960 --> 00:00:22.640]  我想大家都在找答案
[00:00:22.640 --> 00:00:29.080]  在第二次世界大戰爆發的時候
[00:00:29.080 --> 00:00:34.160]  英國有一個很被尊崇的傳道人
[00:00:34.160 --> 00:00:37.120]  牧師大主教William Temple
[00:00:37.120 --> 00:00:38.960]  他說了一番話
[00:00:38.960 --> 00:00:42.000]  我想是很震動當時的世界
[00:00:42.000 --> 00:00:45.040]  他說只有一件事能夠拯救世界
[00:00:45.040 --> 00:00:47.040]  脫離這個政治的混亂
[00:00:47.040 --> 00:00:49.040]  和社會的崩潰
[00:00:49.040 --> 00:00:51.600]  他說這個就是敬拜
[00:00:51.600 --> 00:00:54.440]  我想很多人聽了他這樣說的時候
[00:00:54.440 --> 00:00:58.800]  都不一定能夠認同
[00:00:58.800 --> 00:01:00.000]  以為這是謬論
[00:01:00.000 --> 00:01:02.000]  為什麼你們基督徒聚在一起
[00:01:02.000 --> 00:01:07.920]  就能夠解決這個世界這麼混亂的問題呢?
[00:01:07.920 --> 00:01:12.640]  因為William Temple說到敬拜有什麼作用呢?
[00:01:12.640 --> 00:01:17.960]  他說敬拜是讓神的聖潔活化我們的良心
[00:01:17.960 --> 00:01:20.160]  他說敬拜是讓神的真理
[00:01:20.160 --> 00:01:22.160]  來餵養我們的生命
[00:01:22.160 --> 00:01:23.600]  我們的思想
[00:01:23.600 --> 00:01:31.200]  他說敬拜是讓神的美麗淨化我們的想像力
[00:01:31.200 --> 00:01:35.560]  然後他說敬拜是開放我們的心靈
[00:01:35.560 --> 00:01:39.440]  用神的愛來充滿我們
[00:01:39.440 --> 00:01:43.000]  如果我們能夠招聚更多這個世代的人
[00:01:43.000 --> 00:01:44.200]  未信的人
[00:01:44.200 --> 00:01:47.600]  和我們一起在這個地方敬拜的時候
[00:01:47.600 --> 00:01:51.040]  我們相信如果敬拜能夠達到這個目的的時候
[00:01:51.040 --> 00:01:54.280]  人的生命會改變
[00:01:54.280 --> 00:01:57.640]  我們的文化會改變
[00:01:57.640 --> 00:01:59.920]  整個世代會改變
[00:01:59.920 --> 00:02:04.200]  所以我相信很多人都覺得William Temple說得對
[00:02:04.200 --> 00:02:08.160]  今天是敬拜能夠解決這個社會的問題
[00:02:08.160 --> 00:02:10.440]  但是我們不相信
[00:02:10.440 --> 00:02:15.440]  所以神不能夠在這個地方有祂的作為
[00:02:15.440 --> 00:02:20.360]  其實敬拜就是教會最主要的責任
[00:02:20.360 --> 00:02:24.640]  我們說到教會的生活有四個向度
[00:02:24.640 --> 00:02:26.880]  向上的是敬拜
[00:02:26.880 --> 00:02:31.520]  然後橫向的是我們團契的生活
[00:02:31.520 --> 00:02:34.280]  然後我們領受神的道
[00:02:34.280 --> 00:02:35.440]  真理的教導
[00:02:35.440 --> 00:02:37.240]  這個是內向的
[00:02:37.240 --> 00:02:39.880]  然後我們有向外
[00:02:39.880 --> 00:02:45.520]  外向的就是我們傳福音和社會關懷
[00:02:45.520 --> 00:02:47.720]  在這四個向度裡面
[00:02:47.720 --> 00:02:50.760]  向上我們的敬拜是最重要的
[00:02:50.760 --> 00:02:52.960]  如果我們的敬拜做得好的時候
[00:02:52.960 --> 00:02:57.480]  我們的團契生活會是好的
[00:02:57.480 --> 00:03:01.440]  我們會在這個地方領受到神的道
[00:03:01.440 --> 00:03:03.520]  也都我們離開這個地方的時候
[00:03:03.520 --> 00:03:05.360]  我們能夠關懷社會
[00:03:05.360 --> 00:03:08.400]  我們能夠傳福音
[00:03:08.400 --> 00:03:10.000]  所以求神幫助我們
[00:03:10.000 --> 00:03:12.760]  由每一位弟兄姊妹來到這個地方
[00:03:12.760 --> 00:03:15.280]  我們懂得怎樣敬拜
[00:03:15.280 --> 00:03:17.600]  我想很多時候我們回來
[00:03:17.600 --> 00:03:20.880]  我們是沒有真正的敬拜
[00:03:20.880 --> 00:03:23.160]  如果我們明白這篇詩篇
[00:03:23.160 --> 00:03:25.720]  教導我們怎樣敬拜的時候
[00:03:25.720 --> 00:03:28.680]  甚麼是敬拜的時候
[00:03:28.680 --> 00:03:32.960]  我想我們以後就懂得真正的來到這個地方
[00:03:32.960 --> 00:03:33.880]  敬拜我們的神
