
[00:00:00.000 --> 00:00:04.500]  今日講題叫做「非凡的恩典」
[00:00:04.500 --> 00:00:08.000]  未聽神的話之前,讓我們一起禱告
[00:00:08.000 --> 00:00:18.000]  親愛的聖天父,我們感謝祢
[00:00:18.000 --> 00:00:21.000]  感謝祢讓祢的僕人仍然有生命氣息
[00:00:21.000 --> 00:00:25.000]  在祢自己的聖典當中宣講祢自己的話
[00:00:25.000 --> 00:00:27.000]  求聖靈幫助祢自己的孩子
[00:00:27.000 --> 00:00:30.000]  讓他所說的都清楚明白
[00:00:30.000 --> 00:00:34.000]  又讓每一個孩子心中他聽了的時候都心裡感動
[00:00:34.000 --> 00:00:36.000]  天父我們感謝祢
[00:00:36.000 --> 00:00:39.000]  是因為祢的話成為我們生命的亮光
[00:00:39.000 --> 00:00:41.000]  都成為我們腳前的燈
[00:00:41.000 --> 00:00:44.000]  路上的光照亮我們的生命
[00:00:44.000 --> 00:00:45.000]  天父我們感謝祢
[00:00:45.000 --> 00:00:49.000]  感謝祢讓我們每一天都有閱讀祢話語的時刻
[00:00:49.000 --> 00:00:52.000]  成為我們的標準的準則
[00:00:52.000 --> 00:00:55.000]  讓我們的生命都得到被建立
[00:00:55.000 --> 00:00:58.000]  讓我們屬靈的生命都得到被建立
[00:00:58.000 --> 00:01:00.000]  天父我們感謝祢
[00:01:00.000 --> 00:01:03.000]  我們將以後的時間都仰望求聖靈
[00:01:03.000 --> 00:01:04.000]  願我們每一位同在
[00:01:04.000 --> 00:01:08.000]  感恩禱告,奉耶穌基督得聖的名字祈求
[00:01:08.000 --> 00:01:09.000]  阿門
[00:01:09.000 --> 00:01:16.000]  我們也問一下大家的問題
[00:01:16.000 --> 00:01:19.000]  我們很快就要選舉了
[00:01:19.000 --> 00:01:22.000]  大家知道我們兩年一次就要選舉了
[00:01:22.000 --> 00:01:24.000]  大家不知道有沒有心理準備
[00:01:24.000 --> 00:01:28.000]  你們打算侍奉什麼崗位呢?
[00:01:28.000 --> 00:01:30.000]  今天問這個問題
[00:01:30.000 --> 00:01:31.000]  我想了很久怎麼問呢?
[00:01:31.000 --> 00:01:33.000]  擔心一舉手的時候
[00:01:33.000 --> 00:01:35.000]  很多人就不敢舉
[00:01:35.000 --> 00:01:36.000]  或者有些人
[00:01:36.000 --> 00:01:38.000]  好,不如就這樣舉一舉
[00:01:38.000 --> 00:01:40.000]  誰有侍奉的請舉手
[00:01:40.000 --> 00:01:43.000]  哇,這麼少?不是吧?
[00:01:43.000 --> 00:01:45.000]  好
[00:01:45.000 --> 00:01:49.000]  有侍奉的請跟旁邊的弟兄姊妹說我有侍奉的
[00:01:53.000 --> 00:01:54.000]  這麼少人舉
[00:01:54.000 --> 00:01:56.000]  很難做到我們浸信會
[00:01:56.000 --> 00:01:58.000]  叫眾人皆濟私
[00:01:58.000 --> 00:02:03.000]  有沒有人預備要侍奉?
[00:02:03.000 --> 00:02:08.000]  我剛才想
[00:02:08.000 --> 00:02:09.000]  沒有侍奉的請舉手
[00:02:09.000 --> 00:02:10.000]  我怕很多人
[00:02:10.000 --> 00:02:15.000]  我們今天剛剛讀完舊約
[00:02:15.000 --> 00:02:17.000]  撒姆爾記
[00:02:17.000 --> 00:02:19.000]  故事是這樣的
[00:02:19.000 --> 00:02:20.000]  聖經記載
[00:02:20.000 --> 00:02:21.000]  大衛這個王
[00:02:21.000 --> 00:02:23.000]  有一天
[00:02:23.000 --> 00:02:24.000]  他在宮裡休息
[00:02:24.000 --> 00:02:26.000]  休息的時候
[00:02:26.000 --> 00:02:27.000]  百無聊賴
[00:02:27.000 --> 00:02:29.000]  想著想著路
[00:02:29.000 --> 00:02:32.000]  想著想著神如何保守他
[00:02:32.000 --> 00:02:34.000]  以前很開心
[00:02:34.000 --> 00:02:37.000]  現在他就在皇位裡
[00:02:37.000 --> 00:02:39.000]  又很堅固
[00:02:39.000 --> 00:02:41.000]  好像我們大家在吃東西的時候
[00:02:41.000 --> 00:02:43.000]  想著神的恩典真是豐富
[00:02:43.000 --> 00:02:45.000]  突然間他就看到
[00:02:45.000 --> 00:02:47.000]  沒多遠的地方有個回眸
[00:02:47.000 --> 00:02:49.000]  你知道那時候還是回眸
[00:02:49.000 --> 00:02:52.000]  好像我們今天這個聖殿
[00:02:52.000 --> 00:02:54.000]  看到藥櫃那兩塊法板
[00:02:54.000 --> 00:02:56.000]  放在藥櫃裡
[00:02:56.000 --> 00:02:57.000]  想著想著
[00:02:57.000 --> 00:02:59.000]  不OK的
[00:02:59.000 --> 00:03:01.000]  為什麼那兩塊法板
[00:03:01.000 --> 00:03:03.000]  會放在藥櫃裡
[00:03:03.000 --> 00:03:04.000]  會放在回眸裡
[00:03:04.000 --> 00:03:06.000]  突然間他有個念頭想
[00:03:06.000 --> 00:03:10.000]  不如我為神建一個聖殿
[00:03:10.000 --> 00:03:12.000]  讓他這些東西不用整天
[00:03:12.000 --> 00:03:14.000]  在那裡扯來扯去
[00:03:14.000 --> 00:03:15.000]  好像我們扯來扯去
[00:03:15.000 --> 00:03:16.000]  所有東西都不見了
[00:03:16.000 --> 00:03:18.000]  這個意念就起了
[00:03:19.000 --> 00:03:20.000]  然後他又念了
