
[00:00:00.000 --> 00:00:03.000]  好,弟兄姊妹,我們一起先低頭祈禱吧
[00:00:03.000 --> 00:00:10.200]  天父,我們多謝你今天讓我們一起去讀全道書第四章的時候
[00:00:10.200 --> 00:00:13.400]  主要讓我們思想到人生那種困難
[00:00:13.400 --> 00:00:16.400]  人生那種虛幻,人生那種重擔
[00:00:16.400 --> 00:00:21.400]  也讓我們知道如何在你面前得著力量
[00:00:21.400 --> 00:00:24.200]  願你帶領我們將崇拜交到你的手中
[00:00:24.200 --> 00:00:26.400]  奉耶穌基督的名祈求,下門
[00:00:28.800 --> 00:00:32.800]  好,今天我們讀全道書第四章的時候
[00:00:32.800 --> 00:00:36.800]  全道書第四章,剛才讀過這段經文
[00:00:36.800 --> 00:00:41.800]  你就知道其實都是一個非常沉重的一章
[00:00:41.800 --> 00:00:45.800]  如果你細心去讀那些內容
[00:00:45.800 --> 00:00:50.800]  其實都是很令人感受到那份的氣餒
[00:00:50.800 --> 00:00:56.800]  但是,我相信聖經就是這樣
[00:00:56.800 --> 00:01:02.800]  它要我們明白這個世界的實況是怎樣
[00:01:02.800 --> 00:01:06.800]  它好像沒有做任何的包裝和掩飾
[00:01:06.800 --> 00:01:09.800]  叫你正面的去面對的時候
[00:01:09.800 --> 00:01:14.800]  你更加能夠有一種正確的態度去明白
[00:01:14.800 --> 00:01:17.800]  一開始的時候,其實第一段
[00:01:17.800 --> 00:01:22.800]  它是講到權力那種的崩壞和恐怖
[00:01:22.800 --> 00:01:28.800]  它說我轉念見日光之下有一種所行的一切欺壓
[00:01:28.800 --> 00:01:31.800]  受欺壓的流淚,且無人安慰
[00:01:31.800 --> 00:01:35.800]  欺壓他們的有勢力,也無人安慰他們
[00:01:35.800 --> 00:01:38.800]  因此我讚嘆那早已死的死人
[00:01:38.800 --> 00:01:40.800]  勝過那還活著的活人
[00:01:40.800 --> 00:01:42.800]  並且我以為那未曾生的
[00:01:42.800 --> 00:01:45.800]  就是未見日光之下惡事的
[00:01:45.800 --> 00:01:48.800]  比這兩等人更強
[00:01:48.800 --> 00:01:53.800]  這個意思就是說,這個世界有時候
[00:01:53.800 --> 00:01:57.800]  是那些有權勢的人
[00:01:57.800 --> 00:02:03.800]  在高位那裡欺壓人是很痛苦的
[00:02:03.800 --> 00:02:05.800]  那些被欺壓的人
[00:02:05.800 --> 00:02:08.800]  差不多連想死都不如
[00:02:08.800 --> 00:02:13.800]  第二節它說我讚嘆那早已死的死人
[00:02:13.800 --> 00:02:15.800]  勝過那還活著的活人
[00:02:15.800 --> 00:02:17.800]  並且我以為那未曾生的
[00:02:17.800 --> 00:02:20.800]  就是未見日光之下惡事的
[00:02:20.800 --> 00:02:22.800]  比這兩等人更強
[00:02:22.800 --> 00:02:26.800]  意思就是說,寧願不出生,寧願死了
[00:02:26.800 --> 00:02:30.800]  比那些天天被欺壓的情況更好
[00:02:30.800 --> 00:02:40.800]  你看到那種氣餒和灰心
[00:02:40.800 --> 00:02:42.800]  生命有時候
[00:02:42.800 --> 00:02:46.800]  我們不要將這個世界過度美化
[00:02:46.800 --> 00:02:48.800]  這個世界本身
[00:02:48.800 --> 00:02:51.800]  可能現在我們處於一個容易的環境
[00:02:51.800 --> 00:02:53.800]  舒適的環境
