
[00:00:00.000 --> 00:00:02.240]  參與網上崇拜的弟兄姊妹
[00:00:02.240 --> 00:00:03.240]  大家平安
[00:00:03.240 --> 00:00:08.440]  我相信即使你們不是讀理科出身
[00:00:08.440 --> 00:00:17.000]  但如果你是先將一些水倒進一個水瓶裏
[00:00:17.000 --> 00:00:20.320]  然後再加些油上去
[00:00:20.320 --> 00:00:23.240]  我猜大家都會明白了
[00:00:23.240 --> 00:00:26.600]  油一定是浮在表面的
[00:00:27.440 --> 00:00:32.720]  無論你如何將瓶子搖晃
[00:00:32.720 --> 00:00:38.440]  當你放下時油仍然在表面
[00:00:38.440 --> 00:00:41.320]  所以我們有一句說話
[00:00:41.320 --> 00:00:44.520]  水混油怎樣也混不成
[00:00:44.520 --> 00:00:48.160]  如果你要再問得深入一點
[00:00:48.160 --> 00:00:52.480]  爲何水混油會混不成呢?
[00:00:52.480 --> 00:00:56.080]  可能我們要找一個比較科學的答案
[00:00:56.640 --> 00:01:01.080]  如果你有讀過化學科
[00:01:01.080 --> 00:01:11.400]  其實水和油是由兩種不同的化學元素組成的
[00:01:11.400 --> 00:01:19.360]  而它們的極性(polarity)是剛剛相反的
[00:01:19.360 --> 00:01:23.320]  所以無論你如何搖晃它
[00:01:23.720 --> 00:01:27.760]  始終這兩種元素是混不成的
[00:01:27.760 --> 00:01:33.160]  今天我們已經到希伯來書第三章了
[00:01:33.160 --> 00:01:38.040]  爲何我要講水混油這個例子呢?
[00:01:38.040 --> 00:01:43.240]  因爲這一章聖經作者正要和我們提出
[00:01:43.240 --> 00:01:45.560]  在我們的信仰裏
[00:01:45.560 --> 00:01:52.400]  不信和不信從兩者之間是無法共融的
[00:01:53.960 --> 00:01:56.480]  在現今的社會里
[00:01:56.480 --> 00:02:01.160]  我們一直倡議批判性思維
[00:02:01.160 --> 00:02:07.000]  所以對於權威一般來說
[00:02:07.000 --> 00:02:09.000]  都相當抗拒
[00:02:09.000 --> 00:02:14.480]  甚至覺得這是一個很合理的想法
[00:02:14.480 --> 00:02:18.720]  甚至逐漸變成了真理
[00:02:18.720 --> 00:02:22.000]  抗拒權威的意思
[00:02:22.440 --> 00:02:27.160]  其實就是我不太喜歡別人告訴我怎麼做
[00:02:27.160 --> 00:02:30.320]  甚至如果有些人跟我說
[00:02:30.320 --> 00:02:34.240]  我的想法、我的說法有問題
[00:02:34.240 --> 00:02:36.880]  我都會有些反彈
[00:02:36.880 --> 00:02:42.520]  因爲我是過分相信自己的判斷
[00:02:42.520 --> 00:02:48.360]  但正正因爲我們過分相信自己的判斷是對的
[00:02:48.360 --> 00:02:52.280]  其實這是潛藏了的不信從
[00:02:52.560 --> 00:02:54.080]  和叛逆
[00:02:54.080 --> 00:02:57.760]  當我們回顧以色列人的歷史
[00:02:57.760 --> 00:03:01.680]  其實我們找到的例子真是比比皆是
[00:03:01.680 --> 00:03:06.520]  一個很經典的例子是來自《春埃及記》
[00:03:06.520 --> 00:03:08.800]  大家一定有印象
[00:03:08.800 --> 00:03:12.200]  講到法老是怎樣活躍
[00:03:12.200 --> 00:03:17.640]  結果就爲他的民族帶來了十災
[00:03:18.800 --> 00:03:22.880]  到了以色列人能夠出到埃及
[00:03:22.880 --> 00:03:29.760]  但其實以色列人的表現和法老
[00:03:29.760 --> 00:03:32.920]  我形容爲不遑多讓
[00:03:32.920 --> 00:03:37.720]  所以摩西是要花費很多的力氣
[00:03:37.720 --> 00:03:41.200]  去和這羣以色列人周旋
[00:03:41.200 --> 00:03:43.120]  處理他們的活躍
[00:03:43.120 --> 00:03:48.160]  結果搞到連自己都進不了加拿大
[00:03:49.120 --> 00:03:51.400]  所以有一個聖經學者
[00:03:51.400 --> 00:03:54.640]  一針見血地說
[00:03:54.640 --> 00:03:59.120]  他說「搏弈正是信的殺手」
[00:03:59.120 --> 00:04:01.800]  Rebellion is a faith killer
[00:04:01.800 --> 00:04:07.000]  所以我們真的很需要留心
[00:04:07.000 --> 00:04:10.440]  如何在我們的信仰裏面
[00:04:10.440 --> 00:04:12.720]  持守我們所信的
[00:04:12.720 --> 00:04:18.240]  不要因爲搏弈而掉進一個不信的陷阱裏面
[00:04:19.120 --> 00:04:23.800]  由於今天我想集中和大家分享
[00:04:23.800 --> 00:04:28.600]  如何纔不會掉入一個不信的陷阱當中
[00:04:28.600 --> 00:04:34.280]  所以在希伯來書第三章整章的聖經裏面
[00:04:34.280 --> 00:04:36.760]  我省略了頭六節
[00:04:36.760 --> 00:04:40.800]  會由第七節開始和大家講
[00:04:40.800 --> 00:04:43.680]  一路講到結尾第十九節
[00:04:44.560 --> 00:04:50.240]  我想請大家先聽我讀出第七至第十一節的經文
[00:04:50.240 --> 00:04:53.360]  聖經這樣說
[00:04:53.360 --> 00:04:54.960]  「聖靈有話說
[00:04:54.960 --> 00:04:57.440]  你們今日若聽他的話
[00:04:57.440 --> 00:04:59.440]  就不可硬着心
[00:04:59.440 --> 00:05:02.640]  將在曠野惹他乏勞
[00:05:02.640 --> 00:05:05.000]  思探他的時候一樣
[00:05:05.000 --> 00:05:07.840]  在那裏你們的祖宗
[00:05:07.840 --> 00:05:09.600]  視我、探我
[00:05:09.600 --> 00:05:12.200]  並且觀看我的作爲
[00:05:12.200 --> 00:05:14.080]  有四十年之久」
[00:05:14.840 --> 00:05:18.520]  「所以我厭煩那世代的人說
[00:05:18.520 --> 00:05:21.360]  他們心裏尚尚迷惑
[00:05:21.360 --> 00:05:23.680]  竟不曉得我的作爲
[00:05:23.680 --> 00:05:26.360]  我就在路中起誓說
[00:05:26.360 --> 00:05:29.920]  他們斷不可進入我的安息」
[00:05:29.920 --> 00:05:35.640]  在第七節的句子開始的時候
[00:05:35.640 --> 00:05:39.920]  原文其實是有「所以」這個連接詞的
[00:05:40.720 --> 00:05:45.240]  所以很明顯這一段的經文是與上文有關
[00:05:45.240 --> 00:05:47.280]  上文是在說什麼呢?
[00:05:47.280 --> 00:05:53.640]  第一至第六節其實是以摩西和耶穌作爲例子
[00:05:53.640 --> 00:05:57.920]  告訴我們他們是如何很忠心地去服事
[00:05:57.920 --> 00:06:00.600]  如何去見證神的作爲
[00:06:00.600 --> 00:06:03.760]  到了第六節、下半節
