
[00:00:00.000 --> 00:00:01.640]  今日想和大家的思想討論到
[00:00:01.640 --> 00:00:03.040]  菲律賓書第十講
[00:00:03.040 --> 00:00:05.960]  靠主常常喜樂
[00:00:05.960 --> 00:00:08.640]  菲律賓書雖然很短 有四章的聖經
[00:00:08.640 --> 00:00:11.040]  但有很多寶貴的金句
[00:00:11.040 --> 00:00:14.320]  因為保羅真的很愛他的菲律賓教會
[00:00:14.320 --> 00:00:17.160]  他也是他侍奉裡面一個很精壯
[00:00:17.160 --> 00:00:18.480]  晚年的時期
[00:00:18.480 --> 00:00:20.200]  很多沉澱的說話
[00:00:20.200 --> 00:00:22.960]  和菲律賓書的教會講
[00:00:22.960 --> 00:00:25.800]  成為歷代很多人的祝福
[00:00:25.800 --> 00:00:28.920]  因為經文裡面有幾個很熟悉的金句
[00:00:28.920 --> 00:00:30.960]  講到我們要常常喜樂
[00:00:30.960 --> 00:00:34.040]  要一無掛慮將一切交給神
[00:00:34.040 --> 00:00:37.040]  甚至將出人意外的平安賜給我們
[00:00:37.040 --> 00:00:38.760]  保羅自己經歷很多患難
[00:00:38.760 --> 00:00:41.200]  也見到教會有紛爭有困擾
[00:00:41.200 --> 00:00:42.440]  但他不懼怕
[00:00:42.440 --> 00:00:44.120]  因為他有神的平安
[00:00:44.120 --> 00:00:45.400]  和祂同在
[00:00:45.400 --> 00:00:47.240]  他懂得常常喜樂
[00:00:47.240 --> 00:00:48.640]  我們沒有這個秘訣
[00:00:48.640 --> 00:00:50.760]  只要神有平安和祂同在的時候
[00:00:50.760 --> 00:00:52.360]  也懂得常常喜樂
[00:00:52.360 --> 00:00:54.120]  我們更多的服侍
[00:00:54.120 --> 00:00:55.560]  成為多人的祝福
[00:00:55.560 --> 00:00:56.600]  我看今日經文
[00:00:56.600 --> 00:00:59.200]  菲律賓書第四章一到七 七節
[00:00:59.200 --> 00:01:01.400]  我一起讀完這七個經文
[00:01:01.400 --> 00:01:05.440]  我所親愛所賞念的弟兄們
[00:01:05.440 --> 00:01:07.840]  你們就是我的喜樂
[00:01:07.840 --> 00:01:09.280]  我的冠冕
[00:01:09.280 --> 00:01:11.200]  我親愛的兄弟
[00:01:11.200 --> 00:01:14.480]  你們應當靠主站立得穩
[00:01:14.480 --> 00:01:17.680]  我勸有雅典和秦都基
[00:01:17.680 --> 00:01:20.280]  要在主裡同心
[00:01:20.280 --> 00:01:23.960]  我也求你這真實同父一丫的
[00:01:23.960 --> 00:01:26.480]  幫助這兩個女人
[00:01:26.480 --> 00:01:28.680]  因為她們在福音上
[00:01:28.680 --> 00:01:31.200]  曾與我一同勞苦
[00:01:31.200 --> 00:01:32.760]  還有甲理冕
[00:01:32.760 --> 00:01:35.920]  並其餘和我一同做公的
[00:01:35.920 --> 00:01:39.600]  她們的名字都在生命冊上
[00:01:39.600 --> 00:01:42.600]  你們要靠主常常喜樂
[00:01:42.600 --> 00:01:45.440]  我再說你們要喜樂
[00:01:45.440 --> 00:01:49.200]  當叫眾人知道你們謙讓的心
[00:01:49.200 --> 00:01:51.200]  主已經近了
[00:01:51.200 --> 00:01:53.360]  應當一無掛慮
[00:01:53.360 --> 00:01:58.120]  凡事直著禱告祈求和感謝
[00:01:58.120 --> 00:02:00.840]  將你們所要的告訴神
[00:02:00.840 --> 00:02:03.760]  神所賜出人意外的平安
[00:02:03.760 --> 00:02:05.920]  必在基督耶穌裡
[00:02:05.920 --> 00:02:09.520]  保守你們的心懷意念
