
[00:00:00.000 --> 00:00:02.800]  今日和大家分享是生命的塑造
[00:00:02.800 --> 00:00:05.680]  我們來到主教裏面去經歷
[00:00:05.680 --> 00:00:12.600]  原來神是一直帶著我們去成為一個祂合用的器皿
[00:00:12.600 --> 00:00:14.480]  我們開始的時候我們一起禱告
[00:00:14.480 --> 00:00:24.000]  七天賦我們願名耀尊貴都完全歸來
[00:00:24.000 --> 00:00:26.240]  神是最高的神
[00:00:26.240 --> 00:00:29.920]  祢在在人所不能靠近的光當中
[00:00:29.920 --> 00:00:32.120]  我們每一個人都是從祢而來
[00:00:32.120 --> 00:00:34.040]  祢所創造
[00:00:34.040 --> 00:00:38.480]  亦都是因祢愛止耶穌基督的緣故
[00:00:38.480 --> 00:00:41.120]  得救被稱為兒
[00:00:41.120 --> 00:00:42.120]  神啊我們感謝祢
[00:00:42.120 --> 00:00:43.240]  我們讚美祢
[00:00:43.240 --> 00:00:45.920]  祢讓聖靈住在我們當中
[00:00:45.920 --> 00:00:47.280]  親自教導我們
[00:00:47.280 --> 00:00:48.160]  引導我們
[00:00:48.160 --> 00:00:49.200]  帶領我們
[00:00:49.200 --> 00:00:52.640]  讓我們生命隨著神祢的心意
[00:00:52.640 --> 00:00:54.680]  一路一路能夠發展
[00:00:54.680 --> 00:00:57.400]  也讓我們教會在祢的使用底下
[00:00:57.400 --> 00:00:59.440]  一路拓展開去
[00:00:59.440 --> 00:01:01.360]  讓福音流傳開
[00:01:01.360 --> 00:01:02.800]  神啊我們來到祢面前
[00:01:02.800 --> 00:01:04.960]  我們都是祢寶貴的兒女
[00:01:04.960 --> 00:01:07.960]  神啊我們恭應將我們個人都交在祢手中
[00:01:07.960 --> 00:01:09.720]  求神祢在我們當中
[00:01:09.720 --> 00:01:11.800]  來成就祢的微兒
[00:01:11.800 --> 00:01:12.560]  幫助我們
[00:01:12.560 --> 00:01:13.440]  引導我們
[00:01:13.440 --> 00:01:17.480]  每一個人都在祢面前被祢塗造
[00:01:17.480 --> 00:01:19.840]  塗造我們的心靈更加聖潔
[00:01:19.840 --> 00:01:21.840]  我們的心靈更加愛祢
[00:01:21.840 --> 00:01:24.440]  我們的心靈更加能夠被祢使用
[00:01:24.440 --> 00:01:26.880]  亦都愛我們身邊每一個人
[00:01:26.880 --> 00:01:29.560]  還有求祢帶領我們讓我們經歷祢自己
[00:01:29.560 --> 00:01:34.080]  我們這樣祈禱奉主耶穌基督的聖名
[00:01:34.080 --> 00:01:35.560]  我們看看今日的經文
[00:01:35.560 --> 00:01:39.360]  我們看下一幅
[00:01:39.360 --> 00:01:41.360]  剛才我們已經讀了一次
[00:01:41.360 --> 00:01:45.240]  菲律賓書第四章十一至十三節
[00:01:45.240 --> 00:01:46.520]  在這裡這樣說
[00:01:46.520 --> 00:01:49.680]  「保羅說:我並不是因缺乏說者說
[00:01:49.680 --> 00:01:53.880]  我無論在什麼境況都可以知足
[00:01:53.880 --> 00:01:56.240]  這事我已經學會了」
[00:01:56.240 --> 00:01:58.280]  「我知道怎樣處悲戰
[00:01:58.280 --> 00:02:01.200]  亦知道怎樣處豐富
[00:02:01.200 --> 00:02:03.400]  或飽足或飢餓
[00:02:03.400 --> 00:02:05.960]  或有餘或缺乏
[00:02:05.960 --> 00:02:08.280]  隨是隨在
[00:02:08.280 --> 00:02:10.720]  我都得了被缺
[00:02:10.720 --> 00:02:13.040]  我靠著那加給我力量的
[00:02:13.040 --> 00:02:16.840]  凡事都能做」
[00:02:16.840 --> 00:02:18.760]  保羅是一個很重要的
[00:02:18.760 --> 00:02:23.440]  在教會當中是一位宣教士
[00:02:23.440 --> 00:02:25.520]  是宣教的使徒
[00:02:25.520 --> 00:02:29.080]  他很重要地將福音
[00:02:29.080 --> 00:02:32.800]  傳遍亞細亞一帶的地方
[00:02:32.800 --> 00:02:33.960]  一次的旅程
