
[00:00:00.000 --> 00:00:02.800]  好 通常都會問一問大家
[00:00:02.800 --> 00:00:06.500]  那麼已經去到第幾個主題了 知不知道
[00:00:06.500 --> 00:00:11.200]  第一個主題是什麼
[00:00:11.200 --> 00:00:15.700]  謙卑 代表人物是誰
[00:00:15.700 --> 00:00:18.900]  弱 實
[00:00:18.900 --> 00:00:21.000]  接著我們就講尊重 是不是
[00:00:21.000 --> 00:00:22.500]  代表人物是
[00:00:22.500 --> 00:00:25.700]  大 偉
[00:00:25.700 --> 00:00:28.200]  第三個主題講到彼此
[00:00:28.200 --> 00:00:30.200]  講回女性 是不是
[00:00:30.200 --> 00:00:32.200]  就知道是誰了 是誰
[00:00:32.200 --> 00:00:34.200]  勞德 OK
[00:00:34.200 --> 00:00:38.200]  大家小組討論之後都不是很記得
[00:00:38.200 --> 00:00:40.700]  不要緊 不要緊
[00:00:40.700 --> 00:00:43.700]  都是我的失敗 講得不夠清楚
[00:00:43.700 --> 00:00:45.700]  好 今天進到第四個主題
[00:00:45.700 --> 00:00:47.700]  就講到毀身
[00:00:47.700 --> 00:00:51.700]  很明顯大家讀完就知道是講彈以利
[00:00:51.700 --> 00:00:56.700]  那麼就
[00:00:56.700 --> 00:00:59.200]  這個故事其實一看就明白了 是不是
[00:00:59.200 --> 00:01:01.700]  不用怎麼講都明白什麼叫毀身
[00:01:01.700 --> 00:01:03.700]  那麼我就在想
[00:01:03.700 --> 00:01:07.200]  在近期裡面有什麼叫毀身呢
[00:01:07.200 --> 00:01:10.700]  那麼大家
[00:01:10.700 --> 00:01:12.700]  有看網絡的 是不是
[00:01:12.700 --> 00:01:17.200]  有新聞 是不是
[00:01:17.200 --> 00:01:19.700]  那麼香港人大部分
[00:01:19.700 --> 00:01:23.200]  都不會不看佔中的情況
[00:01:23.200 --> 00:01:25.700]  好 通常都問一問大家
[00:01:26.700 --> 00:01:28.700]  不敢舉手
[00:01:28.700 --> 00:01:31.700]  如果你沒有網絡都不要緊
[00:01:31.700 --> 00:01:35.700]  那麼這邊的國際新聞都有得看的
[00:01:35.700 --> 00:01:37.700]  場面都有幾幕
[00:01:37.700 --> 00:01:40.700]  大概你都猜到情況是怎樣了
[00:01:40.700 --> 00:01:42.700]  那麼我就不是很
[00:01:42.700 --> 00:01:44.700]  關心政治的人來的
[00:01:44.700 --> 00:01:46.700]  但是作為一個焦土
[00:01:46.700 --> 00:01:49.200]  和作為一個香港人不能不知
[00:01:49.200 --> 00:01:52.700]  那麼我的相公就比較日夜都追緊的
[00:01:52.700 --> 00:01:57.700]  現在網上的新聞是差不多即時可以報導的了
[00:01:57.700 --> 00:01:59.700]  那麼我在心裡面
[00:01:59.700 --> 00:02:01.700]  我就想
[00:02:01.700 --> 00:02:04.700]  現在最後其實最難撤退的是哪一批人
[00:02:04.700 --> 00:02:09.700]  是不是那些三子
[00:02:09.700 --> 00:02:13.700]  現在我們最擔心哪一批人不撤退
[00:02:13.700 --> 00:02:15.700]  學生 是不是
[00:02:15.700 --> 00:02:18.700]  上個禮拜我都在北塘裡面祈禱
[00:02:18.700 --> 00:02:20.700]  我心裡面感動的祈禱就是神
[00:02:20.700 --> 00:02:22.700]  因為通常在歷史裡面
[00:02:22.700 --> 00:02:26.700]  一個成年人我們通常都有個冷靜一點的
[00:02:26.700 --> 00:02:28.700]  因為我們有很多後顧之憂
[00:02:28.700 --> 00:02:30.700]  通常能進都能退
[00:02:30.700 --> 00:02:33.700]  但是學生因為他是無後顧之憂
[00:02:33.700 --> 00:02:35.700]  因為你沒有結婚沒有生小孩
[00:02:35.700 --> 00:02:37.700]  沒有家庭沒有洗公屋
[00:02:37.700 --> 00:02:40.700]  通常這個情況和那種
[00:02:40.700 --> 00:02:42.700]  經常給少年人有一種
[00:02:42.700 --> 00:02:46.700]  夏天盛夏那種熱情
[00:02:46.700 --> 00:02:49.700]  我們就很怕他進了之後不懂得退
[00:02:50.700 --> 00:02:51.700]  這個是我們所擔心的
[00:02:51.700 --> 00:02:53.700]  所以今天我們知道最後
[00:02:53.700 --> 00:02:57.700]  現在就是在想最後是怎樣結束這件事
[00:02:57.700 --> 00:03:00.700]  不過無論如何
[00:03:00.700 --> 00:03:02.700]  你看見一些青年人
[00:03:02.700 --> 00:03:04.700]  我們都做過大學生
[00:03:04.700 --> 00:03:06.700]  當年我都是中大學生
[00:03:06.700 --> 00:03:07.700]  都是有學生會
[00:03:07.700 --> 00:03:11.700]  都是有一些不同的搞作
[00:03:11.700 --> 00:03:13.700]  但是我們都發覺到
[00:03:13.700 --> 00:03:15.700]  我們學生的時候
[00:03:15.700 --> 00:03:18.700]  真的有時候可以為一個很好的理想
[00:03:18.700 --> 00:03:20.700]  去衝的
[00:03:20.700 --> 00:03:23.700]  通常我們都跟自己說
[00:03:23.700 --> 00:03:26.700]  我現在是在毀身一個的使命
[00:03:26.700 --> 00:03:28.700]  一種的理想
[00:03:28.700 --> 00:03:31.700]  這個是青年人
[00:03:31.700 --> 00:03:33.700]  如果你有經過學生會時期
[00:03:33.700 --> 00:03:35.700]  或者你學生年代
[00:03:35.700 --> 00:03:37.700]  除了吃喝玩樂之外
[00:03:37.700 --> 00:03:39.700]  還有少少事情做的
[00:03:39.700 --> 00:03:42.700]  那些我們第一次學習什麼叫毀身
[00:03:42.700 --> 00:03:46.700]  當年我當然是在學員傳道會
[00:03:46.700 --> 00:03:48.700]  在中大的時候
[00:03:48.700 --> 00:03:52.700]  毀身去逐家逐個宿舍拍門傳福音
[00:03:52.700 --> 00:03:54.700]  我都想一下
[00:03:54.700 --> 00:03:56.700]  現在我叫我在街上派單張
[00:03:56.700 --> 00:03:57.700]  是不是梁牧師
[00:03:57.700 --> 00:03:58.700]  我們年紀大了
[00:03:58.700 --> 00:04:00.700]  面皮又不知道為什麼
[00:04:00.700 --> 00:04:02.700]  又不是應該厚了的
[00:04:02.700 --> 00:04:03.700]  還薄了的
[00:04:03.700 --> 00:04:04.700]  發覺反而有困難
[00:04:04.700 --> 00:04:08.700]  但是當年大學我們都是逐個宿舍拍
[00:04:08.700 --> 00:04:11.700]  閉門羹是常常吃
[00:04:11.700 --> 00:04:13.700]  但是好像覺得毀身要做
[00:04:13.700 --> 00:04:15.700]  十個肯定有一個開門的
[00:04:15.700 --> 00:04:17.700]  十個人聽我說四個
[00:04:17.700 --> 00:04:19.700]  總有一個會有回應的
[00:04:19.700 --> 00:04:21.700]  那時沒有擔心覺得面皮
[00:04:21.700 --> 00:04:23.700]  或者被人關門
[00:04:23.700 --> 00:04:25.700]  或者派了人不要
[00:04:25.700 --> 00:04:26.700]  那時不知道為什麼
[00:04:26.700 --> 00:04:28.700]  有那種緊張
[00:04:28.700 --> 00:04:32.700]  但是又覺得值得做的
[00:04:32.700 --> 00:04:36.700]  如果你有這種大學的經歷
[00:04:36.700 --> 00:04:38.700]  希望你有各位學生
[00:04:38.700 --> 00:04:40.700]  如果你還沒有
[00:04:40.700 --> 00:04:42.700]  就是差了少少
[00:04:42.700 --> 00:04:44.700]  大學時代應該有這種火花
[00:04:44.700 --> 00:04:45.700]  有這種熱情
[00:04:45.700 --> 00:04:49.700]  我們第一次嘗到什麼叫毀身
[00:04:49.700 --> 00:04:52.700]  有些中年人在上
[00:04:52.700 --> 00:04:54.700]  我又想起最近
[00:04:54.700 --> 00:04:56.700]  如果你沒有看「占中」
[00:04:56.700 --> 00:04:58.700]  起碼都有看
[00:04:58.700 --> 00:04:59.700]  如果你不看「占中」
[00:04:59.700 --> 00:05:01.700]  多數人會看什麼呢
[00:05:01.700 --> 00:05:04.700]  最近最流行的電視劇是什麼
[00:05:04.700 --> 00:05:10.700]  「仕途行者」當然不是「仕途行傳」
[00:05:10.700 --> 00:05:12.700]  我心想那個人改這個名字
[00:05:12.700 --> 00:05:14.700]  或者他對聖經有少少認識
[00:05:14.700 --> 00:05:15.700]  不然都沒有想到
[00:05:15.700 --> 00:05:17.700]  這個名字出來的「仕途行者」
[00:05:17.700 --> 00:05:19.700]  因為音又不順
[00:05:19.700 --> 00:05:22.700]  除了裡面的意思有點相近之外
[00:05:22.700 --> 00:05:23.700]  我沒有看那些八卦新聞
[00:05:23.700 --> 00:05:24.700]  所以我不明白
[00:05:24.700 --> 00:05:25.700]  他為什麼改這個名字
[00:05:25.700 --> 00:05:26.700]  或者最後怎麼樣
[00:05:26.700 --> 00:05:27.700]  我沒有看這些
