
[00:00:00.000 --> 00:00:02.500]  多謝施班剛才唱了一首詩歌
[00:00:02.500 --> 00:00:04.500]  提醒我們站在聖地
[00:00:04.500 --> 00:00:07.000]  神聖的地方去敬拜主
[00:00:07.000 --> 00:00:10.000]  願意今日主在我們當中
[00:00:10.000 --> 00:00:13.000]  無論在甚麼心情甚麼境況
[00:00:13.000 --> 00:00:15.000]  願意我們放開
[00:00:15.000 --> 00:00:16.500]  仰望我們的主
[00:00:16.500 --> 00:00:18.500]  我們今天可以投入去敬拜
[00:00:18.500 --> 00:00:20.500]  我們一起有個禱告
[00:00:20.500 --> 00:00:22.500]  繼續將廿時的人交給主
[00:00:22.500 --> 00:00:24.500]  天父我們感謝你
[00:00:24.500 --> 00:00:27.500]  我們算得了甚麼
[00:00:27.500 --> 00:00:32.000]  但你是呼召我們成為你自己的子民
[00:00:32.000 --> 00:00:34.000]  你讓我們能夠經歷到
[00:00:34.000 --> 00:00:38.500]  你大能的手在我們身上的工作
[00:00:38.500 --> 00:00:41.500]  主我們每日的生活
[00:00:41.500 --> 00:00:43.000]  是在細微的地方
[00:00:43.000 --> 00:00:45.000]  有些我們知道有些不知道
[00:00:45.000 --> 00:00:49.000]  但你一路牽引一路帶領一路保護我們
[00:00:49.000 --> 00:00:51.000]  我們願上感謝
[00:00:51.000 --> 00:00:52.500]  今天在早上這段時間
[00:00:52.500 --> 00:00:54.500]  當我們一起去敬拜的時候
[00:00:54.500 --> 00:00:55.500]  我們拋開一切
[00:00:55.500 --> 00:00:57.500]  願意我們的心
[00:00:57.500 --> 00:00:58.500]  我們的靈
[00:00:58.500 --> 00:01:00.500]  都是專一的去敬拜你
[00:01:00.500 --> 00:01:02.500]  求聖靈幫助我們
[00:01:02.500 --> 00:01:05.500]  幫助我們能夠去明白
[00:01:05.500 --> 00:01:08.500]  去被主你自己去感動
[00:01:08.500 --> 00:01:10.500]  去觸摸我們的心
[00:01:10.500 --> 00:01:11.500]  我們需要被提醒的
[00:01:11.500 --> 00:01:13.500]  求主你提醒我們
[00:01:13.500 --> 00:01:15.000]  我們需要被安慰的
[00:01:15.000 --> 00:01:17.000]  求聖靈你都去安慰我們
[00:01:17.000 --> 00:01:18.500]  我們是需要
[00:01:18.500 --> 00:01:20.500]  在我們生活裏面
[00:01:20.500 --> 00:01:25.000]  主你要我們學習甚麼功課
[00:01:25.000 --> 00:01:27.500]  或者在我們現在人生的不同階段裏面
[00:01:27.500 --> 00:01:30.500]  我們要怎樣去遵從你的話語
[00:01:30.500 --> 00:01:32.500]  求你提醒
[00:01:32.500 --> 00:01:34.500]  願意在這段時間
[00:01:34.500 --> 00:01:36.500]  當我們打開你的話語的時候
[00:01:36.500 --> 00:01:38.500]  我們的心都願意打開
[00:01:38.500 --> 00:01:41.500]  求主你的聖靈就可以工作
[00:01:41.500 --> 00:01:43.000]  求你聽我們的禱告
[00:01:43.000 --> 00:01:44.500]  奉主耶穌的命求
[00:01:44.500 --> 00:01:45.500]  阿們
[00:01:55.500 --> 00:01:57.500]  第五章和第六章
[00:01:57.500 --> 00:01:59.500]  這段經文
[00:01:59.500 --> 00:02:03.500]  在大家聖經的第九十頁
[00:02:03.500 --> 00:02:09.500]  今天是十月的第一日
[00:02:09.500 --> 00:02:13.500]  已經進入今年的第四季
[00:02:13.500 --> 00:02:17.500]  今年在這個第四季裏面
[00:02:17.500 --> 00:02:19.500]  主日崇拜的主題
[00:02:19.500 --> 00:02:22.500]  將會選讀
[00:02:22.500 --> 00:02:25.500]  主要是來自《出埃及記》
[00:02:25.500 --> 00:02:27.500]  大的題目就是
[00:02:27.500 --> 00:02:31.500]  蒙召出來納若與神同行
[00:02:31.500 --> 00:02:33.500]  我們只可以做選讀
[00:02:33.500 --> 00:02:36.500]  因為即將在這幾個月裏面
[00:02:36.500 --> 00:02:42.500]  大概有九篇都講關於《出埃及記》
[00:02:42.500 --> 00:02:48.500]  《出埃及記》有多少張書?
[00:02:48.500 --> 00:02:51.500]  不是太難記
[00:02:51.500 --> 00:02:55.500]  以色列人抗疫多少年?
[00:02:55.500 --> 00:02:57.500]  四十張書
[00:02:57.500 --> 00:02:59.500]  不是太難記
[00:02:59.500 --> 00:03:03.500]  四十張書裏面其實內容很多很豐富
[00:03:03.500 --> 00:03:05.500]  所以我們只可以選讀
[00:03:05.500 --> 00:03:10.500]  今天作為一個開始
[00:03:10.500 --> 00:03:12.500]  有很多東西我們會漏了
[00:03:12.500 --> 00:03:14.500]  但我想只是集中一兩點
