
[00:00:00.000 --> 00:00:03.560]  我想問下大家一個問題
[00:00:03.560 --> 00:00:05.760]  是關於投資的
[00:00:05.760 --> 00:00:07.840]  假如你有100元
[00:00:07.840 --> 00:00:09.280]  在明年今日
[00:00:09.280 --> 00:00:13.680]  牧師就給你150元
[00:00:13.680 --> 00:00:17.840]  那你願不願意投資在牧師身上呢
[00:00:17.840 --> 00:00:20.120]  你當是真的
[00:00:20.120 --> 00:00:22.120]  我這個假設性問題
[00:00:22.120 --> 00:00:25.280]  如果你今日給100元
[00:00:25.280 --> 00:00:28.520]  一年之後你收回150元
[00:00:28.520 --> 00:00:30.520]  那你願不願意投資呢
[00:00:30.520 --> 00:00:32.520]  你真的當是真的投資
[00:00:32.520 --> 00:00:34.920]  願意的話舉手看看
[00:00:34.920 --> 00:00:37.800]  都不是全部
[00:00:37.800 --> 00:00:39.320]  不過大部份
[00:00:39.320 --> 00:00:40.320]  嘩
[00:00:40.320 --> 00:00:41.720]  那不就很划算
[00:00:41.720 --> 00:00:43.720]  那不就很划算
[00:00:43.720 --> 00:00:47.640]  話說有一個歷史上的人物
[00:00:47.640 --> 00:00:49.000]  他真是很厲害
[00:00:49.000 --> 00:00:52.520]  因為他能夠做到這件事
[00:00:52.520 --> 00:00:57.240]  很保證每一個人將他所投資的錢
[00:00:57.240 --> 00:00:58.840]  去增值
[00:00:58.840 --> 00:01:03.320]  所以他在這個世界上非常聞名
[00:01:03.320 --> 00:01:06.800]  他是一個最厲害的基金經理
[00:01:06.800 --> 00:01:08.320]  他管理的基金
[00:01:08.320 --> 00:01:14.080]  回報率是非常高的
[00:01:14.080 --> 00:01:16.640]  但是不知道為什麼
[00:01:16.640 --> 00:01:19.040]  在2008年的時候
[00:01:19.040 --> 00:01:20.440]  突然間
[00:01:20.440 --> 00:01:23.440]  他這個基金差不多崩潰了
[00:01:23.440 --> 00:01:26.600]  他這個基金要瀕臨破產
[00:01:26.600 --> 00:01:28.320]  那你知不知道為什麼
[00:01:28.320 --> 00:01:31.320]  2008年發生什麼事
[00:01:31.320 --> 00:01:33.160]  金融風暴
[00:01:33.160 --> 00:01:35.320]  原來他是一個
[00:01:35.320 --> 00:01:38.760]  叫做龐氏騙局的這件事
[00:01:38.760 --> 00:01:39.920]  又叫做什麼呢
[00:01:39.920 --> 00:01:42.520]  層壓式騙局
[00:01:42.520 --> 00:01:46.560]  就是說我答應了你
[00:01:46.560 --> 00:01:49.360]  明年給你150元
[00:01:49.360 --> 00:01:53.520]  其實我接著就繼續收別人的錢
[00:01:53.520 --> 00:01:56.240]  我將收到的錢又給你
[00:01:56.240 --> 00:01:58.160]  那你就有很高的回報
[00:01:58.160 --> 00:02:01.400]  但是我一定要繼續收別人的錢
[00:02:01.400 --> 00:02:03.760]  我才有錢給你高的回報
[00:02:03.760 --> 00:02:06.120]  如果不是我沒辦法維持
[00:02:06.120 --> 00:02:09.120]  所以這個就叫做騙局
[00:02:09.120 --> 00:02:10.640]  但是2008年的時候
[00:02:10.640 --> 00:02:12.120]  因為金融海嘯
[00:02:12.120 --> 00:02:15.600]  新的投資者投入的資金不夠的時候
[00:02:15.600 --> 00:02:21.160]  就難以給回之前所投資的人
[00:02:21.160 --> 00:02:22.960]  這個泡沫就爆破
[00:02:22.960 --> 00:02:28.480]  而後來來的人就全部蒙受損失
[00:02:28.480 --> 00:02:33.480]  原來這個叫做馬多夫
[00:02:33.480 --> 00:02:35.080]  這個人真是很厲害的
[00:02:35.080 --> 00:02:36.080]  因為這個人
