
[00:00:00.000 --> 00:00:07.900]  今天很高興和大家一起在這裡分享神的話語
[00:00:07.900 --> 00:00:14.700]  在香港崇拜講道不會很長
[00:00:14.700 --> 00:00:18.700]  通常是三十分鐘到四十分鐘
[00:00:18.700 --> 00:00:23.300]  因為我們知道聽眾的注意力很弱
[00:00:23.300 --> 00:00:26.700]  講道時間長了他們就不專心
[00:00:26.700 --> 00:00:29.900]  對神的話語都失去反應
[00:00:30.200 --> 00:00:32.400]  但是我們今天所讀的經文
[00:00:32.400 --> 00:00:34.600]  尼西米記第八章
[00:00:34.600 --> 00:00:37.000]  記載了一段歷史
[00:00:37.000 --> 00:00:41.200]  猶太人聽道聽了六個小時
[00:00:41.200 --> 00:00:43.500]  站在那裡聽六個小時
[00:00:43.500 --> 00:00:47.200]  不僅是散了
[00:00:47.200 --> 00:00:49.100]  不僅是不專心
[00:00:49.100 --> 00:00:50.600]  而且聽得很入神
[00:00:50.600 --> 00:00:53.400]  對神的話語都有很好的反應
[00:00:53.400 --> 00:00:55.200]  究竟為什麼呢?
[00:00:55.200 --> 00:00:58.200]  我們今天去思想這一段經文
[00:00:59.000 --> 00:01:01.700]  我們上次提過
[00:01:01.700 --> 00:01:08.000]  猶太人秘魯
[00:01:08.000 --> 00:01:15.600]  在公元前538年
[00:01:15.600 --> 00:01:19.600]  所羅巴伯第一次帶領五萬人回國
[00:01:19.600 --> 00:01:23.000]  回到耶路撒冷重建聖殿
[00:01:23.000 --> 00:01:25.800]  聖殿蓋了二十年
[00:01:25.800 --> 00:01:28.200]  其實幾年就已經蓋完
[00:01:28.200 --> 00:01:30.200]  不過有十幾年是浪費的
[00:01:30.200 --> 00:01:33.000]  但是蓋完聖殿之後
[00:01:33.000 --> 00:01:36.600]  有七十二年的時間沒有做任何事情
[00:01:36.600 --> 00:01:39.800]  直到尼西米回來
[00:01:39.800 --> 00:01:42.400]  在公元前444年
[00:01:42.400 --> 00:01:45.000]  他一回來
[00:01:45.000 --> 00:01:47.500]  就用了兩個月的時間
[00:01:47.500 --> 00:01:50.200]  五十二天就蓋完聖牆
[00:01:50.200 --> 00:01:54.400]  但是從蓋完聖殿到
[00:01:54.800 --> 00:01:58.400]  尼西米回來的七十二年就浪費光陰
[00:01:58.400 --> 00:01:59.800]  蹉跎歲月
[00:01:59.800 --> 00:02:03.800]  為什麼不早些蓋完呢?
[00:02:03.800 --> 00:02:07.600]  這個其實給我們基督徒也有反思
[00:02:07.600 --> 00:02:09.400]  究竟你的生命裡面
[00:02:09.400 --> 00:02:11.600]  本來可以很容易成長的
[00:02:11.600 --> 00:02:14.200]  是不是很多年都沒有成長
[00:02:14.200 --> 00:02:16.800]  一直混過去
[00:02:16.800 --> 00:02:18.600]  對神的話語
[00:02:18.600 --> 00:02:22.800]  對自己的生命各方面都原地踏步呢?
[00:02:23.200 --> 00:02:26.800]  猶太人在那七十二年就是原地踏步
[00:02:26.800 --> 00:02:28.200]  而且不單止這樣
[00:02:28.200 --> 00:02:29.400]  還退後
[00:02:29.400 --> 00:02:31.200]  尼西米記載到
[00:02:31.200 --> 00:02:34.200]  他們自己蓋房子
[00:02:34.200 --> 00:02:35.800]  但是不蓋聖牆
[00:02:35.800 --> 00:02:38.600]  他們甚至道德淪亡
[00:02:38.600 --> 00:02:44.600]  將自己的同胞賣給外邦人做奴隸
[00:02:44.600 --> 00:02:46.600]  因為那些同胞太窮
[00:02:46.600 --> 00:02:50.200]  又跟外族通婚
[00:02:50.200 --> 00:02:52.600]  或者你看尼西米想到
[00:02:52.600 --> 00:02:55.400]  為什麼上帝不喜歡外族通婚呢?
[00:02:55.400 --> 00:02:57.600]  上帝是不是種族歧視呢?
[00:02:57.600 --> 00:03:00.000]  其實上帝就不是種族歧視
[00:03:00.000 --> 00:03:01.800]  耶穌基督的祖先
[00:03:01.800 --> 00:03:05.800]  波亞斯娶了那個都是外邦人路德的女孩
[00:03:05.800 --> 00:03:11.000]  為什麼這裡尼西米責備猶太人和外族通婚呢?
[00:03:11.000 --> 00:03:17.200]  就是因為猶太人跟隨了外邦人那種風俗習慣
[00:03:17.200 --> 00:03:19.800]  敬拜他們的神
[00:03:19.800 --> 00:03:22.200]  跟隨他們的文化
[00:03:22.200 --> 00:03:27.000]  以致漸漸失去了神選民的特質
[00:03:27.000 --> 00:03:29.400]  神揀選他們分別為性
[00:03:29.400 --> 00:03:31.200]  他們就亂七八糟
[00:03:31.200 --> 00:03:34.200]  跟外邦人混合了
[00:03:34.200 --> 00:03:37.400]  其實這件事已經發生過
