
[00:00:00.000 --> 00:00:01.480]  在政道之遷的時候
[00:00:01.480 --> 00:00:03.480]  我為大家再一次的同心討告
[00:00:03.480 --> 00:00:08.240]  夠我們的天賦
[00:00:08.240 --> 00:00:12.380]  我們要在你面前那裡去黑恩
[00:00:12.380 --> 00:00:16.280]  你真是那個施行憐憫
[00:00:16.280 --> 00:00:18.280]  施行拯救各位的主
[00:00:18.280 --> 00:00:22.680]  你沒有按著我們的本相
[00:00:22.680 --> 00:00:27.480]  因為我們所干犯你的事
[00:00:28.480 --> 00:00:31.480]  而去看不起我們
[00:00:31.480 --> 00:00:34.480]  或者拒絕我們
[00:00:34.480 --> 00:00:39.480]  你反而用愛去招罪我們
[00:00:39.480 --> 00:00:42.480]  主要求你的大能
[00:00:42.480 --> 00:00:45.480]  今天再一次在我們生命當中裡彰顯
[00:00:45.480 --> 00:00:49.480]  要無論是聽的和講的
[00:00:49.480 --> 00:00:53.480]  都是被你自己的話語所更新改變
[00:00:53.480 --> 00:00:54.480]  我們今天禱告
[00:00:54.480 --> 00:00:56.480]  奉教救主耶穌基督的聖名
[00:00:56.480 --> 00:00:58.480]  阿門
[00:00:58.480 --> 00:01:02.480]  在大約公元100年的時候
[00:01:02.480 --> 00:01:06.480]  在羅馬城那裡有一個活動是很流行的
[00:01:06.480 --> 00:01:10.480]  就是有一些的格鬥士
[00:01:10.480 --> 00:01:12.480]  在一些的運動的場館
[00:01:12.480 --> 00:01:15.480]  或者競技場當中裡面去比武
[00:01:15.480 --> 00:01:20.480]  當時羅馬城的人民就很喜歡看這種活動的
[00:01:20.480 --> 00:01:23.480]  但是這種這樣的活動是非常殘暴的
[00:01:23.480 --> 00:01:28.480]  一般這些的格鬥士是會打到血流披面
[00:01:28.480 --> 00:01:30.480]  甚至乎雙重倒地
[00:01:30.480 --> 00:01:36.480]  才會得到那些的觀眾的歡呼和喝彩
[00:01:36.480 --> 00:01:39.480]  才會得到他們的滿足
[00:01:39.480 --> 00:01:46.480]  這種的活動在羅馬城那裡流行了幾近二三百年的時間
[00:01:46.480 --> 00:01:49.480]  但是歷史學家告訴我們很奇怪的
[00:01:49.480 --> 00:01:52.480]  大約去到公元400年的時候
[00:01:52.480 --> 00:01:57.480]  這種的活動彷彿一下子之間就消失了
[00:01:57.480 --> 00:02:01.480]  好像再得不到羅馬人的歡心
