
[00:00:00.000 --> 00:00:03.040]  今天我們說的是靈 靜
[00:00:03.040 --> 00:00:05.440]  不是靜音的靈靜
[00:00:05.440 --> 00:00:08.720]  是靈裏面的安靜
[00:00:08.720 --> 00:00:10.720]  靈裏面
[00:00:10.720 --> 00:00:12.720]  這個靈是神給我們的靈
[00:00:12.720 --> 00:00:16.960]  我們怎樣在靈裏面有真正的安靜呢
[00:00:16.960 --> 00:00:20.080]  所以我們看以賽亞書三十章十五至十八節
[00:00:20.080 --> 00:00:22.080]  剛才主席和我們一起讀出的
[00:00:22.080 --> 00:00:25.760]  在這段經文裏面特別講到甚麼背景呢
[00:00:25.760 --> 00:00:29.440]  當時猶大王熙世家
[00:00:29.440 --> 00:00:32.160]  原本是和亞述聯盟的
[00:00:32.160 --> 00:00:34.880]  但後來他背叛了亞述
[00:00:34.880 --> 00:00:40.560]  亞述大軍來到他們境內鎮壓他們
[00:00:40.560 --> 00:00:45.760]  所以當時猶大人和熙世家王
[00:00:45.760 --> 00:00:52.080]  去找埃及人求救
[00:00:52.080 --> 00:00:56.320]  但因為這樣他就受到先知以賽亞的責備
[00:00:56.320 --> 00:00:57.760]  為甚麼
[00:00:57.760 --> 00:01:02.000]  因為這是出於他們自己人的意思
[00:01:02.000 --> 00:01:04.000]  這不是神的計劃當中
[00:01:04.000 --> 00:01:06.880]  結盟亦不是出於神的心意
[00:01:06.880 --> 00:01:08.400]  所以聖經裏面說
[00:01:08.400 --> 00:01:12.800]  這班猶大人和這個王是罪上加罪
[00:01:12.800 --> 00:01:16.480]  其實我們看回聖經以賽亞書的時候
[00:01:16.480 --> 00:01:18.160]  和看回神的歷史
[00:01:18.160 --> 00:01:21.760]  神是容許亞述人入侵猶大
[00:01:21.760 --> 00:01:23.040]  為甚麼
[00:01:23.040 --> 00:01:26.160]  就是因為猶大那時候犯罪
[00:01:26.160 --> 00:01:27.200]  得罪神
[00:01:27.200 --> 00:01:31.840]  神要藉助一些外邦來管教這班猶大人
[00:01:31.840 --> 00:01:33.840]  叫他們面對自己的罪
[00:01:33.840 --> 00:01:35.520]  知道自己的罪
[00:01:35.520 --> 00:01:38.080]  但這班猶大人沒有悔改
[00:01:38.080 --> 00:01:41.360]  反而他們要求另外一個外邦
[00:01:41.360 --> 00:01:43.600]  埃及來幫助他們
[00:01:43.600 --> 00:01:45.360]  所以聖經裏面形容到
[00:01:45.360 --> 00:01:47.040]  這成為他們的羞辱
[00:01:47.040 --> 00:01:49.040]  令他們慚愧
[00:01:49.040 --> 00:01:52.160]  在以賽亞書30章1至17節
[00:01:52.160 --> 00:01:56.000]  其實整大段有很多的預言
[00:01:56.000 --> 00:01:58.560]  都是預言猶大
[00:01:58.560 --> 00:02:01.040]  他將要面對甚麼苦難
[00:02:01.040 --> 00:02:03.040]  將要滅亡
[00:02:03.040 --> 00:02:05.600]  就是因為他們自私
[00:02:05.600 --> 00:02:08.080]  甚至他們在這裏
[00:02:08.080 --> 00:02:10.960]  他們不依靠神
[00:02:10.960 --> 00:02:12.960]  他們不聽神的話
[00:02:12.960 --> 00:02:17.440]  在以賽亞書15章這一節的經文
[00:02:17.440 --> 00:02:19.920]  其實是一篇很漂亮的經文
[00:02:19.920 --> 00:02:21.920]  我們一起再讀一次
[00:02:26.000 --> 00:02:30.320]  此說:你們得救在乎歸回安息
[00:02:30.320 --> 00:02:33.920]  你們得力在乎平靜安穩
[00:02:33.920 --> 00:02:36.240]  你們竟自不肯
[00:02:36.240 --> 00:02:41.040]  前面頭半節是一篇很漂亮的表達
[00:02:41.040 --> 00:02:42.800]  但後面那幾個字就是
[00:02:42.800 --> 00:02:44.800]  你們竟自不肯
[00:02:44.800 --> 00:02:46.800]  開始說他們
[00:02:46.800 --> 00:02:49.200]  所以你見到由15節尾
[00:02:49.200 --> 00:02:51.200]  16 17節
[00:02:51.200 --> 00:02:53.200]  其實這裏是說一個預言
[00:02:53.200 --> 00:02:55.680]  他們將要被毀滅的訊息
[00:02:55.680 --> 00:02:57.680]  是一個審判的訊息
