
[00:00:00.000 --> 00:00:02.540]  請大家一齊低頭祈禱
[00:00:02.540 --> 00:00:04.540]  慈悲的天父
[00:00:04.540 --> 00:00:07.720]  我們今天看這個課題
[00:00:07.720 --> 00:00:10.500]  閱讀你自己主耶穌的復活
[00:00:10.500 --> 00:00:12.500]  我們更加想到
[00:00:12.500 --> 00:00:14.500]  在我們今天的香港
[00:00:14.500 --> 00:00:16.500]  今天的世界非常之重要
[00:00:16.500 --> 00:00:18.500]  求主你幫助我們
[00:00:18.500 --> 00:00:20.500]  遇到一些爭拗
[00:00:20.500 --> 00:00:22.500]  有些人說亞門
[00:00:22.500 --> 00:00:25.840]  新型冠狀病毒疾病
[00:00:25.840 --> 00:00:27.840]  有一個新的名字
[00:00:27.840 --> 00:00:29.840]  我們確定了
[00:00:29.840 --> 00:00:33.420]  實際帶給我們很大的恐慌
[00:00:33.420 --> 00:00:35.420]  在這個時間很不容易過
[00:00:35.420 --> 00:00:37.420]  我想
[00:00:37.420 --> 00:00:39.420]  我們看到只是單是中國的
[00:00:39.420 --> 00:00:41.420]  一些確診的數字
[00:00:41.420 --> 00:00:43.420]  是很快的增加
[00:00:43.420 --> 00:00:45.420]  現在去到
[00:00:45.420 --> 00:00:47.420]  已經是六萬多的數目
[00:00:47.420 --> 00:00:49.420]  我
[00:00:49.420 --> 00:00:51.420]  記得
[00:00:51.420 --> 00:00:53.420]  上個禮拜差不多
[00:00:53.420 --> 00:00:55.420]  有
[00:00:55.420 --> 00:00:57.420]  一萬的增加這麼多
[00:00:57.420 --> 00:00:59.420]  那個升級
[00:00:59.420 --> 00:01:01.420]  都很快
[00:01:01.420 --> 00:01:03.420]  我們又看到很多防疫的
[00:01:03.420 --> 00:01:05.420]  一些物資
[00:01:05.420 --> 00:01:07.420]  也都很短缺
[00:01:07.420 --> 00:01:09.420]  口罩等等這些
[00:01:09.420 --> 00:01:11.420]  全球都好像
[00:01:11.420 --> 00:01:13.420]  要購買一些口罩
[00:01:13.420 --> 00:01:15.420]  都不夠貨源
[00:01:15.420 --> 00:01:17.420]  我們也都看到很多的
[00:01:17.420 --> 00:01:19.420]  工作
[00:01:19.420 --> 00:01:21.420]  行業
[00:01:21.420 --> 00:01:23.420]  很多都在蕭條的當中
[00:01:23.420 --> 00:01:25.420]  實在很令人憂慮
[00:01:25.420 --> 00:01:27.420]  昨天的報紙
[00:01:27.420 --> 00:01:29.420]  就更加講一些
[00:01:29.420 --> 00:01:31.420]  精神科的醫生
[00:01:31.420 --> 00:01:33.420]  很多的求助個案
[00:01:33.420 --> 00:01:35.420]  就講到香港現在的人
[00:01:35.420 --> 00:01:37.420]  那個無力感比當年SARS
[00:01:37.420 --> 00:01:39.420]  還更加大
[00:01:39.420 --> 00:01:41.420]  我們好像
[00:01:41.420 --> 00:01:43.420]  很多事都做不到
[00:01:43.420 --> 00:01:45.420]  當然我們
[00:01:45.420 --> 00:01:47.420]  所有的
[00:01:47.420 --> 00:01:49.420]  每個人無論政府
[00:01:49.420 --> 00:01:51.420]  無論所有的市民
[00:01:51.420 --> 00:01:53.420]  我們一同
[00:01:53.420 --> 00:01:55.420]  要盡我們最好的辦法
[00:01:55.420 --> 00:01:57.420]  抵抗這個疫症
[00:01:57.420 --> 00:01:59.420]  我想真的很不容易
[00:01:59.420 --> 00:02:01.420]  我最近看了一套電影
[00:02:01.420 --> 00:02:03.420]  叫做93日
[00:02:03.420 --> 00:02:05.420]  93日是一個
[00:02:05.420 --> 00:02:07.420]  記序
[00:02:07.420 --> 00:02:09.420]  2014年在尼日利亞
[00:02:09.420 --> 00:02:11.420]  這個地方
[00:02:11.420 --> 00:02:13.420]  當時有
[00:02:13.420 --> 00:02:15.420]  這個
[00:02:15.420 --> 00:02:17.420]  伊波拉的病毒
[00:02:17.420 --> 00:02:19.420]  進來
[00:02:19.420 --> 00:02:21.420]  然後他們怎樣去抵抗這個疫症
[00:02:21.420 --> 00:02:23.420]  93日意思就是說
[00:02:23.420 --> 00:02:25.420]  93日這個疫症
[00:02:25.420 --> 00:02:27.420]  能夠控制得到
[00:02:27.420 --> 00:02:29.420]  劇情就講到
[00:02:29.420 --> 00:02:31.420]  在《珍言真事》的改編
[00:02:31.420 --> 00:02:33.420]  就講到一個
[00:02:33.420 --> 00:02:35.420]  在利比亞的一個
[00:02:35.420 --> 00:02:37.420]  英國的外交官
