
[00:00:00.000 --> 00:00:05.080]  我們今天來到試堂轉的第十七章
[00:00:05.080 --> 00:00:08.160]  上星期是第十六章
[00:00:08.160 --> 00:00:11.040]  記不記得第十六章是去哪個地方
[00:00:11.040 --> 00:00:12.280]  有沒有人這麼聰明
[00:00:12.280 --> 00:00:14.280]  可以記得一個星期之前說什麼
[00:00:14.280 --> 00:00:19.920]  二哥念路西特
[00:00:19.920 --> 00:00:22.600]  哇!這個William記住了上個月的那個
[00:00:22.600 --> 00:00:23.840]  厲害!更久一點
[00:00:23.840 --> 00:00:28.960]  哇!他們的記性原來比我們好多了
[00:00:30.480 --> 00:00:34.640]  通常那些短暫記憶那些
[00:00:34.640 --> 00:00:36.360]  近的那些記不起來
[00:00:36.360 --> 00:00:37.760]  舊的那些才記得
[00:00:37.760 --> 00:00:43.640]  馬記也是沒錯
[00:00:43.640 --> 00:00:45.640]  上個星期我們看見
[00:00:45.640 --> 00:00:46.840]  就是保羅行程
[00:00:46.840 --> 00:00:50.080]  宣教行程的第二個旅程
[00:00:50.080 --> 00:00:51.760]  他們就回到
[00:00:51.760 --> 00:00:53.160]  的確是的
[00:00:53.160 --> 00:00:55.280]  跟William開玩笑的
[00:00:55.280 --> 00:00:57.800]  他們回到二哥念路西特
[00:00:57.800 --> 00:01:00.440]  不過我們上次不是主要講那個
[00:01:00.440 --> 00:01:02.440]  他們回去兼顧他們的教會
[00:01:02.440 --> 00:01:06.400]  這是他們第一次宣教行程去的地方
[00:01:06.400 --> 00:01:08.200]  不過最主要上一次
[00:01:08.200 --> 00:01:09.160]  第十六章
[00:01:09.160 --> 00:01:12.840]  就是說他們去到一個歐洲的地方
[00:01:12.840 --> 00:01:15.000]  可以說是踏入一個新的境界
[00:01:15.000 --> 00:01:18.680]  因為有一個馬其頓人的異象
[00:01:18.680 --> 00:01:21.160]  來呼籲他們去到馬其頓
[00:01:21.160 --> 00:01:25.200]  馬其頓是一個省
[00:01:25.200 --> 00:01:28.680]  很著名的有兩個城市
[00:01:28.680 --> 00:01:29.920]  兩三個城市
[00:01:29.920 --> 00:01:31.280]  最大的有兩個
[00:01:31.280 --> 00:01:33.960]  第一個就是上一次我們講的
[00:01:33.960 --> 00:01:38.760]  就是羅馬的第一個駐防城
[00:01:38.760 --> 00:01:45.320]  就是在當時馬其頓的東邊
[00:01:45.320 --> 00:01:46.480]  第一個駐防城
[00:01:46.480 --> 00:01:50.120]  那個城我們應該記得的叫做什麼
[00:01:50.120 --> 00:01:52.320]  菲勒比
[00:01:52.320 --> 00:01:54.000]  上一次我們就講到菲勒比
[00:01:54.000 --> 00:01:57.960]  菲勒比有三個人物
[00:01:57.960 --> 00:01:59.520]  上次我們看過的
[00:01:59.520 --> 00:02:05.080]  就是體會到神的德性能力彰顯
[00:02:05.080 --> 00:02:06.120]  如果大家記得
[00:02:06.120 --> 00:02:09.160]  第一個我們看到就是神的道彰顯
[00:02:09.160 --> 00:02:10.080]  他的能力彰顯
[00:02:10.080 --> 00:02:12.920]  令到這個渴慕真道的女底牙
[00:02:12.920 --> 00:02:16.480]  成為歐洲教會第一個信主的人
[00:02:16.480 --> 00:02:20.160]  也是設立菲勒比教會的創辦人
[00:02:20.160 --> 00:02:23.160]  接著有一個被無鬼所負的侍女
[00:02:23.160 --> 00:02:27.200]  這個我們看到彰顯神那個聖靈的大能
[00:02:27.200 --> 00:02:29.320]  就是藉著主耶穌基督的名
[00:02:29.320 --> 00:02:32.400]  來叫侍女得到釋放
[00:02:32.400 --> 00:02:35.760]  接著很出名的就是菲勒比的禁卒
[00:02:35.760 --> 00:02:38.080]  大家應該不會忘記它
[00:02:38.080 --> 00:02:40.440]  就是他們能夠全家得救
[00:02:40.440 --> 00:02:42.320]  因著信靠耶穌
[00:02:42.320 --> 00:02:47.200]  這個是因為保羅和西拉生命的見證影響他們
[00:02:47.200 --> 00:02:48.560]  所以我們看到實在是
[00:02:48.560 --> 00:02:54.240]  在學校保羅他們的旅程當中所經歷到的
[00:02:54.240 --> 00:02:56.880]  就是神的能力的德性
[00:02:56.880 --> 00:02:58.560]  今天我們來看看
[00:02:58.560 --> 00:03:00.520]  這個也是我們所學習的
[00:03:00.520 --> 00:03:04.040]  就是自從保羅在宣教行程給我們看見
[00:03:04.040 --> 00:03:08.280]  他就隨傳隨走隨傳
[00:03:08.280 --> 00:03:10.120]  去到不同的城市
[00:03:10.120 --> 00:03:13.240]  都是來宣傳救恩
[00:03:13.240 --> 00:03:15.200]  來證明真道
[00:03:15.200 --> 00:03:19.520]  來見證這位又真又活的上帝
[00:03:19.520 --> 00:03:22.080]  這個今天我們看到
[00:03:22.080 --> 00:03:25.000]  他來到馬其頓
[00:03:25.000 --> 00:03:27.480]  接著就來到另一個省
[00:03:27.480 --> 00:03:31.560]  就是在他們南邊的亞西亞省
[00:03:31.560 --> 00:03:34.640]  這個馬其頓除了菲勒比之外
[00:03:34.640 --> 00:03:38.200]  還有一個很大的城就是帖撒羅尼加
[00:03:38.200 --> 00:03:39.960]  所以這個帖撒羅尼加
[00:03:39.960 --> 00:03:43.800]  就是保羅這次經歷第一次去的地方
[00:03:43.800 --> 00:03:46.520]  接著他就經過一個小一點的城
[00:03:46.520 --> 00:03:48.360]  然後就來到雅典
[00:03:48.360 --> 00:03:51.920]  就是這個亞西亞省的一個省
[00:03:51.920 --> 00:03:54.120]  我們在這幾個省裡面
[00:03:54.120 --> 00:03:55.280]  今天我們看到
