
[00:00:00.000 --> 00:00:04.520]  我們再一次將這首詩篇讀給大家聽
[00:00:04.520 --> 00:00:07.200]  是用荷盒本修訂版
[00:00:07.200 --> 00:00:11.200]  說吧 以色列
[00:00:11.200 --> 00:00:13.840]  若不是耶和華幫助我們
[00:00:13.840 --> 00:00:16.840]  若不是耶和華幫助我們
[00:00:16.840 --> 00:00:19.640]  當人起來攻擊我們
[00:00:19.640 --> 00:00:23.200]  那時 人向我們發怒
[00:00:23.200 --> 00:00:25.760]  就把我們活活吞了
[00:00:25.760 --> 00:00:29.480]  那時 波濤必慢過我們
[00:00:30.200 --> 00:00:32.200]  河水必淹沒我們
[00:00:32.200 --> 00:00:37.320]  那時 狂澳的水必淹沒我們
[00:00:37.320 --> 00:00:40.800]  耶和華是應當稱頌的
[00:00:40.800 --> 00:00:43.920]  他們有把我們交給他們
[00:00:43.920 --> 00:00:46.440]  作牙齒的獵物
[00:00:46.440 --> 00:00:48.600]  我們好像雀鳥
[00:00:48.600 --> 00:00:52.160]  從捕鳥人的網羅裡逃脫
[00:00:52.160 --> 00:00:54.160]  網羅破裂
[00:00:54.160 --> 00:00:56.520]  我們就逃脫了
[00:00:57.360 --> 00:01:02.200]  我們得幫助,是因做天地之耶和華的名
[00:01:02.200 --> 00:01:05.000]  今天我用這首詩篇
[00:01:05.000 --> 00:01:06.360]  上行之詩
[00:01:06.360 --> 00:01:11.840]  跟大家再一次去看神給我們的幫助
[00:01:11.840 --> 00:01:14.360]  題目是「耶和華幫助我們」
[00:01:14.360 --> 00:01:17.040]  更加口譯化地說
[00:01:17.040 --> 00:01:19.280]  神站在我們那邊
[00:01:19.280 --> 00:01:21.560]  神站在我們那邊
[00:01:21.560 --> 00:01:23.200]  Stand by me
[00:01:24.680 --> 00:01:28.480]  實際上在人生裡經歷
[00:01:28.480 --> 00:01:29.520]  從小時候開始
[00:01:29.520 --> 00:01:30.720]  你都會發覺到
[00:01:30.720 --> 00:01:33.360]  最重要是有人站在你那邊
[00:01:33.360 --> 00:01:35.200]  有沒有這樣的感受呢?
[00:01:35.200 --> 00:01:37.560]  小時候讀書的時候
[00:01:37.560 --> 00:01:41.240]  會打球
[00:01:41.240 --> 00:01:44.080]  打球的時候最重要是別人支持你
[00:01:44.080 --> 00:01:48.400]  我們猜拳就選這些球員
[00:01:48.400 --> 00:01:49.440]  兩隊
[00:01:49.440 --> 00:01:54.440]  當然猜拳最好是我們能夠有最好的同學
[00:01:54.440 --> 00:01:56.280]  最厲害的就是站在你那邊
[00:01:56.280 --> 00:01:57.240]  站在你的隊伍裡
[00:01:57.240 --> 00:01:59.160]  有時候爭執的時候
