
[00:00:00.000 --> 00:00:02.000]  我哋一同祈禱
[00:00:02.000 --> 00:00:05.000]  多謝天父,我哋感謝讚美你自己嘅恩典
[00:00:05.000 --> 00:00:08.000]  俾我哋有呢個機會一同嚟到思想
[00:00:08.000 --> 00:00:11.000]  你嘅教導,向我哋求聖明
[00:00:11.000 --> 00:00:14.000]  喺我哋當中幫助我哋明白你嘅話語
[00:00:14.000 --> 00:00:17.000]  奉耶穌基督的名祈禱,阿們
[00:00:17.000 --> 00:00:22.000]  最近呢,我收到有啲人傳咗一段文字俾我
[00:00:22.000 --> 00:00:29.000]  嗰個訊息內容就話有一位老師問學生
[00:00:30.000 --> 00:00:32.000]  二加二等於幾多?
[00:00:32.000 --> 00:00:35.000]  學生話二加二等於二十二
[00:00:35.000 --> 00:00:39.000]  老師就話唔係,唔合格
[00:00:39.000 --> 00:00:42.000]  但學生就好不滿
[00:00:42.000 --> 00:00:46.000]  連同家長一路投訴到去個校長嗰度
[00:00:46.000 --> 00:00:49.000]  校長就叫個老師道歉
[00:00:49.000 --> 00:00:52.000]  老師就唔肯,結果就炒友
[00:00:52.000 --> 00:00:55.000]  不過呢件事就唔係真嘅
[00:00:56.000 --> 00:01:00.000]  但係我相信寫呢個故仔嘅人大概係想反映
[00:01:00.000 --> 00:01:03.000]  近日喺香港浸會大學
[00:01:03.000 --> 00:01:07.000]  係發生咗一件學生考普通話試
[00:01:07.000 --> 00:01:10.000]  而只有三成學生合格
[00:01:10.000 --> 00:01:16.000]  合格嘅學生就唔使修讀普通話
[00:01:16.000 --> 00:01:19.000]  結果有啲唔合格嘅學生呢
[00:01:19.000 --> 00:01:24.000]  佢哋就發動佔領大學嘅語言中心
[00:01:25.000 --> 00:01:27.000]  其中一位學生領袖呢
[00:01:27.000 --> 00:01:31.000]  仲用粗口嚟鬧嗰啲校方代表
[00:01:31.000 --> 00:01:35.000]  當然啦,香港傳媒就好開心咁去報導呢件事
[00:01:35.000 --> 00:01:41.000]  但呢件事呢,其實係反映出校方對學生嘅期望
[00:01:41.000 --> 00:01:44.000]  校方其實有個規定
[00:01:44.000 --> 00:01:48.000]  如果學生普通話係唔合格嘅話呢
[00:01:48.000 --> 00:01:53.000]  係唔會獲得畢業證書
[00:01:54.000 --> 00:01:57.000]  學生就唔係唔明白校方嘅期望
[00:01:57.000 --> 00:02:00.000]  只係佢哋唔能夠接受
[00:02:00.000 --> 00:02:04.000]  實際上呢件事係同期望係好有關係
[00:02:04.000 --> 00:02:08.000]  老師對學生有期望
[00:02:08.000 --> 00:02:11.000]  學生對老師同學校亦都有期望
[00:02:11.000 --> 00:02:15.000]  當期望同現實有落差嘅時候呢
[00:02:15.000 --> 00:02:18.000]  就一定會有人失望
[00:02:18.000 --> 00:02:21.000]  咁我哋身為基督徒
[00:02:22.000 --> 00:02:26.000]  你知唔知道主耶穌對我哋有咩期望呢
[00:02:26.000 --> 00:02:31.000]  我哋有冇努力去滿足主耶穌對我哋嘅期望呢
[00:02:31.000 --> 00:02:35.000]  如果我哋長期都唔滿足主耶穌對我哋嘅期望
[00:02:35.000 --> 00:02:37.000]  有咩後果呢
[00:02:37.000 --> 00:02:40.000]  我哋一齊思想今日嘅經文
[00:02:40.000 --> 00:02:46.000]  路加福音第八章記載咗一段比較長嘅主耶穌嘅教導
[00:02:47.000 --> 00:02:52.000]  並且我留意到路加醫生係好注意有關女性
[00:02:52.000 --> 00:02:54.000]  有關姐妹所做嘅事
[00:02:54.000 --> 00:02:57.000]  如果我哋比較四本福音書
