
[00:00:00.000 --> 00:00:04.600]  多謝耶路達頓師班為我們獻唱一首美妙的詩歌
[00:00:04.600 --> 00:00:06.760]  剛才當我們唱的時候
[00:00:06.760 --> 00:00:08.000]  我就在想
[00:00:08.000 --> 00:00:13.920]  如果當時瑪利亞抱著耶穌這位嬰孩的時候
[00:00:13.920 --> 00:00:15.720]  她聽到別人跟她說
[00:00:15.720 --> 00:00:19.960]  「你知不知道這個嬰孩將來會走在水面上?」
[00:00:19.960 --> 00:00:25.080]  「你知不知道這個嬰孩將來會拯救我們的兒子和女兒?」
[00:00:25.080 --> 00:00:29.520]  不知道瑪利亞當時會是怎樣想的呢?
[00:00:29.520 --> 00:00:32.880]  但我剛才就在想
[00:00:32.880 --> 00:00:39.520]  瑪利亞她可能經歷上帝的信心
[00:00:39.520 --> 00:00:42.520]  以至於她能夠在平凡之中
[00:00:42.520 --> 00:00:45.080]  看見上帝怎樣與她同在
[00:00:45.080 --> 00:00:48.920]  同樣她看到手中的這位嬰孩
[00:00:48.920 --> 00:00:50.520]  上帝的兒子
[00:00:50.520 --> 00:00:53.880]  他將會怎樣去拯救世人
[00:00:53.880 --> 00:00:56.000]  所以這個信心
[00:00:56.000 --> 00:01:00.520]  盼望我們都能夠在當中體會和學習
[00:01:00.520 --> 00:01:03.640]  以至於我們能夠在平凡當中
[00:01:03.640 --> 00:01:07.400]  去看到上帝怎樣與人同在的記號
[00:01:07.400 --> 00:01:12.200]  所以盼望今天來到藉著這一篇宣講
[00:01:12.200 --> 00:01:13.760]  能夠讓我們一同
[00:01:13.760 --> 00:01:16.120]  看到我們怎樣在危難當中
[00:01:16.120 --> 00:01:17.920]  看到上帝的記號
[00:01:17.920 --> 00:01:20.520]  我們一起祈禱
[00:01:22.920 --> 00:01:26.400]  親愛的主,我們感謝讚美祢
[00:01:26.400 --> 00:01:29.040]  因為祢說耶穌基督
[00:01:29.040 --> 00:01:33.720]  就是那位而瑪萊尼與人同在的那位主
[00:01:33.720 --> 00:01:35.560]  以至於主,我們知道
[00:01:35.560 --> 00:01:39.400]  祢就是這樣實實在在與我們同在
[00:01:39.400 --> 00:01:41.440]  所以主,盼望一時間
[00:01:41.440 --> 00:01:44.360]  無論是聽的還是說的
[00:01:44.360 --> 00:01:48.360]  與我們都讓聖靈在我們生命裏面去運行
[00:01:48.360 --> 00:01:49.960]  以至於上帝祢的話語
[00:01:49.960 --> 00:01:52.640]  都對我們生命帶來提醒
[00:01:52.640 --> 00:01:54.640]  我們這樣禱告奉靠主耶穌基督
[00:01:54.640 --> 00:01:58.160]  得聖靈致祈求,阿門
[00:01:58.160 --> 00:02:02.120]  今天將臨期已經進入到第四個主日
[00:02:02.120 --> 00:02:09.200]  剛才王執事為我們點起了平安之燭
[00:02:09.200 --> 00:02:11.360]  當我們說起平安的時候
[00:02:11.360 --> 00:02:13.240]  不知道你會想起些甚麼呢
[00:02:13.240 --> 00:02:14.800]  特別當我們去想
[00:02:14.800 --> 00:02:17.080]  平安的祝福與有些甚麼的時候
[00:02:17.080 --> 00:02:18.720]  我們自然就會想起
[00:02:18.720 --> 00:02:21.760]  出入平安、上落平安
[00:02:21.760 --> 00:02:25.360]  通常都是關於身體層面的平安
[00:02:25.360 --> 00:02:27.920]  另外很多人都會許願的時候說
[00:02:27.920 --> 00:02:30.600]  祝世界和平
[00:02:30.600 --> 00:02:33.800]  意思就是不要有戰爭和災難
[00:02:33.800 --> 00:02:35.240]  所以我們在觀念裏面
[00:02:35.240 --> 00:02:40.640]  都很自然將平安連繫在無災無難的那裏
[00:02:40.640 --> 00:02:44.400]  當我們讀到約翰福音十四章二十七節
[00:02:44.400 --> 00:02:46.280]  耶穌基督這樣說
[00:02:46.280 --> 00:02:48.360]  我留下平安給你們
[00:02:48.360 --> 00:02:50.640]  我把我的平安賜給你們
[00:02:50.640 --> 00:02:54.960]  我所賜給你們的不像世人所賜的平安
[00:02:54.960 --> 00:02:55.920]  咦?
[00:02:55.920 --> 00:02:57.680]  我們所希望的平安
[00:02:57.680 --> 00:03:00.240]  與上帝所要給我們的平安
[00:03:00.240 --> 00:03:02.120]  有沒有不同呢?
[00:03:02.120 --> 00:03:05.080]  當我們繼續看約翰福音經文的時候
[00:03:05.080 --> 00:03:06.560]  他繼續說
[00:03:06.560 --> 00:03:10.640]  你們心裏不要憂愁也不要膽怯
[00:03:10.640 --> 00:03:13.320]  心裏不要憂愁也不要膽怯
[00:03:13.320 --> 00:03:18.000]  即是說我們都會遇到憂愁和膽怯
[00:03:18.000 --> 00:03:20.680]  不過耶穌基督所賜下的平安
[00:03:20.680 --> 00:03:22.800]  是會讓我們跨過的
[00:03:22.800 --> 00:03:26.160]  到底是甚麼一回事呢?
[00:03:26.160 --> 00:03:29.920]  今天的經文就說到猶大王阿哈斯
[00:03:29.920 --> 00:03:32.560]  他正處於危難當中
[00:03:32.560 --> 00:03:36.200]  上帝就派以塞亞先知向他說話
[00:03:36.200 --> 00:03:39.320]  阿哈斯能不能從中得到平安呢?
[00:03:39.320 --> 00:03:45.000]  我們看看經文對我們帶來甚麼提醒
[00:03:45.000 --> 00:03:48.600]  馬太福音一章二十三節引用過
