
[00:00:00.000 --> 00:00:02.000]  我請大家和我在一起同心
[00:00:02.000 --> 00:00:04.000]  我們仰望、祈禱
[00:00:04.000 --> 00:00:11.000]  親愛的主,我們感謝祢
[00:00:11.000 --> 00:00:13.000]  賜下祢寶貴的聖靈
[00:00:13.000 --> 00:00:15.000]  在我們生命中
[00:00:15.000 --> 00:00:18.000]  許下祢賜下的聖靈
[00:00:18.000 --> 00:00:20.000]  每一天與我們同在
[00:00:20.000 --> 00:00:23.000]  主,我們今天在祢面前
[00:00:23.000 --> 00:00:25.000]  我們感受、明白
[00:00:25.000 --> 00:00:27.000]  祢自己的恩惠
[00:00:27.000 --> 00:00:32.000]  也從心底獻上對祢的敬拜和讚美
[00:00:32.000 --> 00:00:35.000]  主,祢是信實不改變的上帝
[00:00:35.000 --> 00:00:38.000]  祢的應許確實
[00:00:38.000 --> 00:00:41.000]  因此我們縱使面對困難
[00:00:41.000 --> 00:00:43.000]  經歷軟弱
[00:00:43.000 --> 00:00:45.000]  但我們仍然可以放膽
[00:00:45.000 --> 00:00:47.000]  因為祢與我們同在
[00:00:47.000 --> 00:00:49.000]  因為祢應許
[00:00:49.000 --> 00:00:51.000]  祢要保守我們
[00:00:51.000 --> 00:00:53.000]  祢要加給我們力量
[00:00:53.000 --> 00:00:56.000]  主,祢兼顧我們的信心
[00:00:56.000 --> 00:00:59.000]  特別主,祢賜下祢自己的真理
[00:00:59.000 --> 00:01:01.000]  因為祢的真理
[00:01:01.000 --> 00:01:03.000]  叫人得到真正的自由
[00:01:03.000 --> 00:01:05.000]  在聖靈裡面
[00:01:05.000 --> 00:01:07.000]  領受生命的力量
[00:01:07.000 --> 00:01:09.000]  主,求祢再一次
[00:01:09.000 --> 00:01:11.000]  在這個時刻
[00:01:11.000 --> 00:01:13.000]  當我們敬拜祢的時候
[00:01:13.000 --> 00:01:15.000]  賜下祢真理的靈
[00:01:15.000 --> 00:01:18.000]  讓我們生命領受祢的恩惠
[00:01:18.000 --> 00:01:20.000]  我們仰望、祈禱
[00:01:20.000 --> 00:01:22.000]  奉耶穌基督成名求
[00:01:22.000 --> 00:01:27.000]  大家也會留意到我們這段時間
[00:01:27.000 --> 00:01:30.000]  一直思考關於教會的真理
[00:01:30.000 --> 00:01:32.000]  我們有一個貴題
[00:01:32.000 --> 00:01:35.000]  叫做教會忠主所託
[00:01:35.000 --> 00:01:38.000]  忠於主耶穌對我們的託付
[00:01:38.000 --> 00:01:40.000]  今天我想和大家想一想
[00:01:40.000 --> 00:01:42.000]  就是託付的問題
[00:01:42.000 --> 00:01:44.000]  當然我們要承受
[00:01:44.000 --> 00:01:47.000]  承擔神給我們的託付的時候
[00:01:47.000 --> 00:01:48.000]  你必須知道
[00:01:48.000 --> 00:01:50.000]  什麼是主的託付
[00:01:50.000 --> 00:01:53.000]  主對我們的心意是什麼
[00:01:53.000 --> 00:01:55.000]  我們在聖經裡面
[00:01:55.000 --> 00:01:57.000]  一直讀提摩太前後書的時候
[00:01:57.000 --> 00:02:00.000]  你一定會記得聖經提前第二章十五節
[00:02:00.000 --> 00:02:03.000]  一節很重要的經文這樣說
[00:02:03.000 --> 00:02:04.000]  聖經就說
[00:02:04.000 --> 00:02:08.000]  這家是永生神的教會
[00:02:08.000 --> 00:02:11.000]  是真理的儲石和根基
[00:02:11.000 --> 00:02:14.000]  教會是神的家
[00:02:14.000 --> 00:02:16.000]  也是永生神
[00:02:16.000 --> 00:02:19.000]  是屬於上帝的教會
[00:02:19.000 --> 00:02:22.000]  而在教會裡面有一個很重要的使命
[00:02:22.000 --> 00:02:23.000]  聖經所說
[00:02:23.000 --> 00:02:27.000]  是真理的儲石和根基
[00:02:27.000 --> 00:02:28.000]  儲石是說
[00:02:28.000 --> 00:02:34.000]  是讓教會將真理高高的舉起來
[00:02:34.000 --> 00:02:36.000]  去宣揚真理
[00:02:36.000 --> 00:02:39.000]  去見證真理
[00:02:39.000 --> 00:02:42.000]  同時教會是真理的根基
[00:02:42.000 --> 00:02:44.000]  意味著在教會裡面
[00:02:44.000 --> 00:02:47.000]  是一個實踐真理的地方
[00:02:47.000 --> 00:02:49.000]  活出真理的地方
[00:02:49.000 --> 00:02:52.000]  也是見證真理的地方
[00:02:52.000 --> 00:02:54.000]  在這個過程當中
[00:02:54.000 --> 00:02:57.000]  教會成為了真理的基石
[00:02:57.000 --> 00:03:01.000]  成為了真理的根基
[00:03:01.000 --> 00:03:05.000]  讓真理可以傳揚出去
[00:03:05.000 --> 00:03:06.000]  當你發覺
[00:03:06.000 --> 00:03:10.000]  當你講述教會的一種屬性的時候
[00:03:10.000 --> 00:03:13.000]  或者一種教會有的使命的時候
[00:03:13.000 --> 00:03:18.000]  同時將教會那個存在的目的講出來
[00:03:18.000 --> 00:03:19.000]  你和我
[00:03:19.000 --> 00:03:21.000]  在教會裡面
[00:03:21.000 --> 00:03:22.000]  我們是其中一份子
