
[00:00:00.000 --> 00:00:03.160]  我們做牧師逢星期六晚有一個習慣
[00:00:03.160 --> 00:00:06.600]  我們做牧師的每個星期六晚有一個習慣
[00:00:06.600 --> 00:00:08.080]  就是看看天氣報告
[00:00:08.080 --> 00:00:09.680]  就是看看天氣報告
[00:00:09.680 --> 00:00:11.680]  看看星期天天氣的狀況
[00:00:11.680 --> 00:00:13.920]  看看禮拜天的天氣狀況
[00:00:13.920 --> 00:00:15.800]  昨天大家有沒有看天氣報告
[00:00:15.800 --> 00:00:17.320]  昨天大家有沒有看天氣報告
[00:00:17.320 --> 00:00:19.320]  知不知道今天天氣的情況是怎樣
[00:00:19.320 --> 00:00:20.720]  知不知道今天的天氣情況怎樣
[00:00:20.720 --> 00:00:23.320]  如果按香港天文台的預測
[00:00:23.320 --> 00:00:25.320]  如果按天文台的預測
[00:00:25.320 --> 00:00:27.640]  今天是會間中有雜雨
[00:00:27.640 --> 00:00:31.960]  今天會有雨
[00:00:31.960 --> 00:00:35.520]  間中有雷暴
[00:00:35.520 --> 00:00:39.080]  這個是天文台給我們的資料
[00:00:39.080 --> 00:00:40.920]  這是天文台給我們的資料
[00:00:40.920 --> 00:00:43.160]  其實未來充滿很多的變數
[00:00:43.160 --> 00:00:44.760]  其實未來充滿很多的變數
[00:00:44.760 --> 00:00:46.280]  甚至是未知之數
[00:00:46.280 --> 00:00:47.760]  甚至是未知之數
[00:00:47.760 --> 00:00:51.400]  所以自古以來人為了想知道將來
[00:00:51.400 --> 00:00:53.520]  就去求神問卜
[00:00:53.520 --> 00:00:56.320]  所以自古以來人為了知道將來
[00:00:56.320 --> 00:00:57.760]  就去求神問卜
[00:00:57.760 --> 00:00:59.600]  希望可以催吉避凶
[00:00:59.600 --> 00:01:01.720]  希望可以催吉避凶
[00:01:01.720 --> 00:01:05.640]  而今天的世界處於一場很快速的轉變
[00:01:05.640 --> 00:01:08.480]  今天的世界處於一場很快速的轉變
[00:01:08.480 --> 00:01:11.800]  以前我們在科幻片看到的情節
[00:01:11.800 --> 00:01:14.560]  可能在我們有生之年已經陸續出現了
[00:01:14.560 --> 00:01:16.720]  以前我們在科幻片看到的一些情節
[00:01:16.720 --> 00:01:18.960]  可能在我們有生之年都可以看得見了
[00:01:18.960 --> 00:01:21.000]  現在說的是大數據
