
[00:00:00.000 --> 00:00:05.440]  以賽亞書第54章第一節跟第二節
[00:00:05.440 --> 00:00:07.660]  我們一統來唸 只有兩節的聖經來
[00:00:07.660 --> 00:00:10.440]  你這不懷孕不生養 要歌唱
[00:00:10.440 --> 00:00:15.060]  你這未曾經過慘難 要發聲歌唱 揚聲歡呼
[00:00:15.060 --> 00:00:18.040]  因爲沒有丈夫的 比有丈夫的兒女更多
[00:00:18.040 --> 00:00:19.900]  這是耶和華說的第二節
[00:00:19.900 --> 00:00:24.560]  要擴張你丈母之地 張大你居所的曼子
[00:00:24.560 --> 00:00:29.560]  不要限制 要放長你的繩子 兼顧你的爵子
[00:00:29.560 --> 00:00:31.660]  我們就讀到這裏
[00:00:31.660 --> 00:00:33.140]  今年教會的主題是
[00:00:33.140 --> 00:00:36.740]  傳承恩高 共創新局
[00:00:36.740 --> 00:00:38.740]  爲什麼要定義這個主題呢
[00:00:38.740 --> 00:00:41.840]  不但是因爲我們要慶祝教會二十週年
[00:00:41.840 --> 00:00:45.200]  更因爲我們期待今年神要在我們中間
[00:00:45.200 --> 00:00:47.840]  做偉大奇妙的工作
[00:00:47.840 --> 00:00:48.960]  我們深深地相信
[00:00:48.960 --> 00:00:53.140]  神已經在我們中間賜下開路的恩高
[00:00:53.140 --> 00:00:59.560]  神是能夠成就一切在人所以爲不可能的事情
[00:00:59.560 --> 00:01:02.560]  你知道這禮拜當我一個人安靜下來
[00:01:02.560 --> 00:01:06.560]  在神面前思想教會前面的道路的時候
[00:01:06.560 --> 00:01:10.000]  怎麼樣才能夠共創新局呢
[00:01:10.000 --> 00:01:12.600]  神就讓我看見這段經文
[00:01:12.600 --> 00:01:13.660]  第二個你要知道
[00:01:13.660 --> 00:01:17.360]  每一次當神要我們做一件事情的時候
[00:01:17.360 --> 00:01:20.940]  一開始從人的角度來看
[00:01:20.940 --> 00:01:23.400]  都是不可能的事情
[00:01:23.400 --> 00:01:26.600]  就正像這裏經文第一節所說的
[00:01:26.600 --> 00:01:29.760]  第一節說你這不懷孕不生養的要歌唱
[00:01:29.760 --> 00:01:33.460]  未曾經過慘難要發聲歌唱揚聲歡呼
[00:01:33.460 --> 00:01:36.560]  因爲沒有丈夫的比有丈夫的兒女更多
[00:01:36.560 --> 00:01:38.200]  這怎麼可能呢
[00:01:38.200 --> 00:01:41.960]  從人的角度來講根本是不可能的事情
[00:01:41.960 --> 00:01:45.260]  但神卻在這裏向我們宣告說
[00:01:45.260 --> 00:01:50.000]  在人不能 在神沒有難成的事情
[00:01:50.000 --> 00:01:53.400]  那麼接下來到第二節神就啓示了
[00:01:53.400 --> 00:01:57.300]  怎麼樣能夠經歷神新的工作的四個原則
[00:01:57.300 --> 00:02:01.040]  我就叫做共創新局的四個原則
[00:02:01.040 --> 00:02:04.040]  第一個原則就要擴張丈母之地
[00:02:04.040 --> 00:02:07.640]  跟你媽說要擴張丈母之地
[00:02:07.640 --> 00:02:11.460]  第二節今天無論你現在的處境是如何
[00:02:11.460 --> 00:02:15.260]  無論你現在在怎麼樣的領域當中
[00:02:15.260 --> 00:02:19.100]  無論神已經給你多少他的恩典
[00:02:19.100 --> 00:02:24.200]  神的心意還是要在神所給你的領域裏面
[00:02:24.200 --> 00:02:27.360]  神要你不斷地擴張的
[00:02:27.360 --> 00:02:30.160]  所以第二節這裏說要擴張你丈母之地
[00:02:30.160 --> 00:02:33.000]  張大你居所的慢子然後他說什麼呢
[00:02:33.000 --> 00:02:37.160]  要不要什麼限職
[00:02:37.160 --> 00:02:42.000]  換句話說我們人常常會因爲我們過去自己的理性
[00:02:42.000 --> 00:02:48.000]  跟我們的經驗會攔阻我們去經歷一些新的事情
[00:02:48.000 --> 00:02:50.960]  昨天Simon Bailey特別提到
[00:02:50.960 --> 00:02:54.960]  講到Uber公司在過去這幾年裏面
[00:02:54.960 --> 00:02:59.960]  徹底地顛覆了整個計程車行業的事情
[00:02:59.960 --> 00:03:03.100]  其實這件事情我其實在兩年多年前就經歷過
[00:03:03.100 --> 00:03:08.100]  我還記得在剛好去紐約看我女兒的時候
[00:03:08.100 --> 00:03:11.060]  我們就去看一個Lincoln Center
[00:03:11.060 --> 00:03:13.160]  看一個大的performance
[00:03:13.160 --> 00:03:17.860]  散場的時候要一散場人山人海
[00:03:17.860 --> 00:03:20.300]  那我們看見有些人有自己的車
[00:03:20.300 --> 00:03:22.300]  在那邊自己私車轎車在那邊接來接去
[00:03:22.300 --> 00:03:24.100]  可是我們看哪裏去找到計程車
