
[00:00:00.000 --> 00:00:02.620]  各位弟兄姐妹們
[00:00:02.620 --> 00:00:07.480]  朋友們 早安
[00:00:07.480 --> 00:00:13.800]  今天我們要跟各位來分享信息
[00:00:13.800 --> 00:00:17.000]  今天我的題目是說
[00:00:17.000 --> 00:00:20.520]  我們要來領受神蹟
[00:00:20.520 --> 00:00:21.760]  是的
[00:00:21.760 --> 00:00:23.960]  這其實是一個
[00:00:23.960 --> 00:00:32.560]  畢世大子子的一個神蹟
[00:00:32.560 --> 00:00:33.880]  先跟各位解釋一下
[00:00:33.880 --> 00:00:36.480]  到底什麼叫畢世大
[00:00:36.480 --> 00:00:38.840]  Baseda
[00:00:38.840 --> 00:00:44.960]  它的意思是恩典憐憫之家
[00:00:44.960 --> 00:00:48.480]  按照猶太人的傳統
[00:00:48.480 --> 00:00:54.960]  他們說在耶路撒冷的東北角
[00:00:54.960 --> 00:00:57.080]  有一個池子
[00:00:57.080 --> 00:01:01.000]  這個池子有五個籃子
[00:01:01.000 --> 00:01:03.680]  畢世大池子有五個籃子
[00:01:03.680 --> 00:01:06.240]  現在剩下廢墟
[00:01:06.240 --> 00:01:10.040]  這個五個籃子排成像一個日子形
[00:01:10.040 --> 00:01:15.720]  所以實際上是有兩個池子
[00:01:15.720 --> 00:01:19.460]  佔地好幾萬平方英尺
[00:01:19.460 --> 00:01:25.320]  可能是讓人家來朝聖的人
[00:01:25.320 --> 00:01:28.160]  可以在這邊有一些洗浴
[00:01:28.160 --> 00:01:31.800]  行潔淨之禮等等的
[00:01:31.800 --> 00:01:35.120]  那人的傳說是這個樣子
[00:01:35.120 --> 00:01:40.760]  當天使下來攪動水的時候
[00:01:40.760 --> 00:01:41.840]  不管你生什麼病
[00:01:41.840 --> 00:01:44.760]  你只要下到裏面去
[00:01:44.760 --> 00:01:46.880]  第一個下去就那個人
[00:01:46.880 --> 00:01:52.240]  什麼病都可以得救的
[00:01:52.240 --> 00:01:55.440]  所以你就知道在那個池子
[00:01:55.440 --> 00:01:58.360]  排滿了許多的病人
[00:01:58.360 --> 00:02:02.320]  他們都希望要能夠得到醫治
[00:02:02.320 --> 00:02:05.200]  因爲在我們的生命裏面
[00:02:05.200 --> 00:02:08.280]  我們有許多的病痛
[00:02:08.280 --> 00:02:11.200]  我們人有許多的病痛
[00:02:11.200 --> 00:02:16.280]  剛纔我們姐妹說這個癌症、心臟病
[00:02:16.280 --> 00:02:19.080]  甚至於有意外受傷
