
[00:00:00.000 --> 00:00:02.940]  上一個月是聖樂月
[00:00:02.940 --> 00:00:07.120]  方牧師在十月七號和八號
[00:00:07.120 --> 00:00:11.800]  跟我們講到更深刻的敬拜
[00:00:11.800 --> 00:00:16.960]  接著在十月十四號的禮拜六晚上
[00:00:16.960 --> 00:00:23.360]  我跟大家分享崇拜當中的盼望
[00:00:23.360 --> 00:00:28.120]  一方面我想跟方牧師同心合意
[00:00:28.120 --> 00:00:35.040]  跟大家去思想敬拜和崇拜的重要意思
[00:00:35.040 --> 00:00:40.440]  另一方面我也想跟大家多些思想盼望
[00:00:40.440 --> 00:00:44.200]  信心、盼望、愛心
[00:00:44.200 --> 00:00:47.200]  是信仰的美德
[00:00:47.200 --> 00:00:49.400]  信仰的德性
[00:00:49.400 --> 00:00:52.080]  神學的德性
[00:00:52.080 --> 00:00:56.440]  大家記不記得我們親愛的陳世英執事
[00:00:56.440 --> 00:01:01.920]  他也常常很喜歡講信、望、愛
[00:01:01.920 --> 00:01:06.440]  在過往日子當中我們比較多講信心
[00:01:06.440 --> 00:01:10.560]  多講愛心,比較少講盼望
[00:01:10.560 --> 00:01:13.280]  所以上一次在十月十四日
[00:01:13.280 --> 00:01:15.240]  一方面我想講崇拜
[00:01:15.240 --> 00:01:18.360]  另一方面我想講盼望
[00:01:18.360 --> 00:01:22.240]  誰知在十月十五號,大家記不記得
[00:01:22.240 --> 00:01:24.480]  掛了八號風球
[00:01:24.480 --> 00:01:30.520]  所以沒機會跟大家分享有關崇拜當中盼望的訊息
[00:01:30.520 --> 00:01:33.920]  我想跟大家分享的是什麼意思呢?
[00:01:33.920 --> 00:01:38.560]  我想分享的是真實的崇拜
[00:01:38.560 --> 00:01:42.840]  真實的崇拜是叫人能夠有盼望
[00:01:42.840 --> 00:01:47.080]  我們來到城鎮家的禮拜是真的
[00:01:47.080 --> 00:01:49.840]  不是一個虛擬的世界
[00:01:49.840 --> 00:01:54.760]  不是一個暫時興奮、誇大的世界
[00:01:54.760 --> 00:01:56.880]  是一個虛擬的現實
[00:01:56.880 --> 00:01:59.520]  意思是今天來到敬拜
[00:01:59.520 --> 00:02:00.760]  興奮一下
