
[00:00:00.000 --> 00:00:01.660]  我看你們的樣子
[00:00:01.660 --> 00:00:04.280]  很多人都沒有什麼表情
[00:00:04.280 --> 00:00:06.280]  可能都不是很感動
[00:00:06.280 --> 00:00:08.280]  說真的
[00:00:08.280 --> 00:00:10.280]  我預備這篇講道
[00:00:10.280 --> 00:00:12.280]  我都預備了幾天
[00:00:12.280 --> 00:00:14.280]  很難預備
[00:00:14.280 --> 00:00:15.880]  因為我一路看的時候
[00:00:15.880 --> 00:00:17.880]  我都覺得自己有些不是很感動
[00:00:17.880 --> 00:00:19.880]  怎麼跟你說感動
[00:00:19.880 --> 00:00:21.880]  所以我就一路這樣
[00:00:21.880 --> 00:00:23.880]  每一天不停地看
[00:00:23.880 --> 00:00:25.880]  不停地看
[00:00:25.880 --> 00:00:27.880]  直到我感受到有感動為止
[00:00:27.880 --> 00:00:29.880]  很奇妙
[00:00:29.880 --> 00:00:31.880]  我前幾天
[00:00:31.880 --> 00:00:33.880]  試著一路走路
[00:00:33.880 --> 00:00:35.880]  我自己安靜
[00:00:35.880 --> 00:00:37.880]  自己走了一個多小時的路
[00:00:37.880 --> 00:00:39.880]  一路走
[00:00:39.880 --> 00:00:41.880]  我一路默想這段經文
[00:00:41.880 --> 00:00:43.880]  心中有很多的感動
[00:00:43.880 --> 00:00:45.880]  經文裡面
[00:00:45.880 --> 00:00:47.880]  講到很多
[00:00:47.880 --> 00:00:49.880]  是我們清楚知道的東西
[00:00:49.880 --> 00:00:51.880]  我們知道神愛我們
[00:00:51.880 --> 00:00:53.880]  耶穌基督救贖我們
[00:00:53.880 --> 00:00:55.880]  在十字架上犧牲自己
[00:00:55.880 --> 00:00:57.880]  我們知道神給我們做兒女的名份
[00:00:57.880 --> 00:00:59.880]  不是容易的
[00:00:59.880 --> 00:01:03.880]  但是有時候聽著聽著
[00:01:03.880 --> 00:01:05.880]  如果你信了主一年
[00:01:05.880 --> 00:01:07.880]  你可能會聽了52次
[00:01:07.880 --> 00:01:09.880]  因為你52個星期回來
[00:01:09.880 --> 00:01:11.880]  可能每個星期都是說這些
[00:01:11.880 --> 00:01:13.880]  你信了十年
[00:01:13.880 --> 00:01:15.880]  聽了520次
[00:01:15.880 --> 00:01:17.880]  如果你信了很多年
[00:01:17.880 --> 00:01:19.880]  會聽了幾千次
[00:01:19.880 --> 00:01:21.880]  有時候好像我們
[00:01:21.880 --> 00:01:23.880]  看來看去聽來聽去都是這些東西
[00:01:23.880 --> 00:01:25.880]  好像沒什麼新鮮感
[00:01:25.880 --> 00:01:29.880]  這首歌認不認識
[00:01:29.880 --> 00:01:31.880]  認不認識
[00:01:31.880 --> 00:01:33.880]  耶穌愛我
[00:01:33.880 --> 00:01:35.880]  我知道
[00:01:35.880 --> 00:01:37.880]  人有聖經告訴我
[00:01:37.880 --> 00:01:39.880]  這個認識
[00:01:39.880 --> 00:01:41.880]  小朋友也認識
[00:01:41.880 --> 00:01:43.880]  你問問那些小朋友他們也會背
[00:01:43.880 --> 00:01:45.880]  唱英文版給你們聽
[00:01:45.880 --> 00:01:47.880]  Jesus love me that I know
[00:01:47.880 --> 00:01:49.880]  for the bible tell me so
[00:01:49.880 --> 00:01:51.880]  我們每個人都知道
[00:01:51.880 --> 00:01:53.880]  耶穌就是這樣愛我們的
[00:01:53.880 --> 00:01:55.880]  無論我們是小朋友還是大人
[00:01:55.880 --> 00:01:57.880]  耶穌都是這樣愛我們
[00:01:57.880 --> 00:01:59.880]  但我們頭腦上我們是知道
[00:01:59.880 --> 00:02:01.880]  但是有時候
[00:02:01.880 --> 00:02:03.880]  你會不會感受到神的愛
[00:02:03.880 --> 00:02:05.880]  好像比較抽象和遠一點
[00:02:05.880 --> 00:02:09.880]  我們不是不知道神愛我們
[00:02:09.880 --> 00:02:11.880]  我們知道神愛我們
[00:02:11.880 --> 00:02:13.880]  但總是好像生活上
[00:02:13.880 --> 00:02:15.880]  不是很大的感受
[00:02:15.880 --> 00:02:17.880]  甚至有些麻木
[00:02:17.880 --> 00:02:19.880]  也未必會有這麼大的共鳴
[00:02:19.880 --> 00:02:21.880]  有時候坐在這裡聽的時候
[00:02:21.880 --> 00:02:23.880]  那個站著說出來
[00:02:23.880 --> 00:02:25.880]  分享見證的人都哭了
[00:02:25.880 --> 00:02:27.880]  可能你覺得
[00:02:27.880 --> 00:02:29.880]  見到他哭
[00:02:29.880 --> 00:02:31.880]  但他心裡好像沒什麼共鳴沒什麼感動
[00:02:31.880 --> 00:02:33.880]  是不是
[00:02:33.880 --> 00:02:37.880]  在你現在和神的關係上
[00:02:37.880 --> 00:02:41.880]  神有沒有在感動你呢
[00:02:41.880 --> 00:02:43.880]  我邀請你
[00:02:43.880 --> 00:02:45.880]  靜下來
[00:02:45.880 --> 00:02:47.880]  預備一下你自己
[00:02:47.880 --> 00:02:49.880]  我很相信
[00:02:49.880 --> 00:02:51.880]  神是要使用這段經文
[00:02:51.880 --> 00:02:53.880]  大大的感動你
[00:02:53.880 --> 00:02:55.880]  我們低頭禱告
[00:02:55.880 --> 00:03:01.880]  你想不想被神的說話去感動呢
[00:03:01.880 --> 00:03:03.880]  你試試和神說
[00:03:03.880 --> 00:03:05.880]  神啊
[00:03:05.880 --> 00:03:07.880]  求你用你的話來感動我
[00:03:07.880 --> 00:03:11.880]  就現在
[00:03:17.880 --> 00:03:19.880]  親愛的聖靈
[00:03:19.880 --> 00:03:23.880]  我們求你
[00:03:23.880 --> 00:03:27.880]  親自藉著天父的說話
[00:03:27.880 --> 00:03:31.880]  親自向我們說話
[00:03:31.880 --> 00:03:35.880]  打入我們的心裡面
[00:03:35.880 --> 00:03:39.880]  祝福我們這段時間
[00:03:39.880 --> 00:03:43.880]  禱告奉耶穌
[00:03:43.880 --> 00:03:45.880]  祝福我們這段時間
[00:03:45.880 --> 00:03:47.880]  祝福我們這段時間
[00:03:47.880 --> 00:03:49.880]  祝福我們這段時間
[00:03:49.880 --> 00:03:51.880]  祝福我們這段時間
[00:03:51.880 --> 00:03:53.880]  祝福我們這段時間
[00:03:53.880 --> 00:03:55.880]  祝福我們這段時間
[00:03:55.880 --> 00:03:57.880]  祝福我們這段時間
[00:03:57.880 --> 00:03:59.880]  祝福我們這段時間
[00:03:59.880 --> 00:04:01.880]  祝福我們這段時間
[00:04:01.880 --> 00:04:03.880]  祝福我們這段時間
[00:04:03.880 --> 00:04:05.880]  祝福我們這段時間
[00:04:05.880 --> 00:04:07.880]  祝福我們這段時間
[00:04:07.880 --> 00:04:09.880]  祝福我們這段時間
[00:04:09.880 --> 00:04:11.880]  祝福我們這段時間
[00:04:11.880 --> 00:04:13.880]  祝福我們這段時間
[00:04:13.880 --> 00:04:15.880]  第四節我們一起讀
[00:04:15.880 --> 00:04:17.880]  一二三
[00:04:17.880 --> 00:04:21.880]  願頌贊歸於我們主耶穌基督的父神
[00:04:21.880 --> 00:04:23.880]  祂在基督裡曾賜給我們
[00:04:23.880 --> 00:04:25.880]  天上各樣屬靈的福氣
[00:04:25.880 --> 00:04:29.880]  就如神從創立世界而至
[00:04:29.880 --> 00:04:31.880]  在基督裡揀選了我們
[00:04:31.880 --> 00:04:35.880]  使我們在祂面前成為聖傑
[00:04:35.880 --> 00:04:37.880]  無有瑕疵
[00:04:37.880 --> 00:04:41.880]  神揀選了我
[00:04:41.880 --> 00:04:43.880]  揀選了你
[00:04:43.880 --> 00:04:45.880]  從這個世界裡
[00:04:45.880 --> 00:04:47.880]  揀選了你
[00:04:47.880 --> 00:04:49.880]  是從這個世界裡
[00:04:49.880 --> 00:04:51.880]  很多人
[00:04:51.880 --> 00:04:53.880]  從很多世界裡的價值觀
[00:04:53.880 --> 00:04:55.880]  將你揀選了出來
[00:04:55.880 --> 00:04:57.880]  分別屬於他
