
[00:00:00.000 --> 00:00:03.000]  今日是很難得的一天
[00:00:03.000 --> 00:00:08.000]  是主日敬拜主的日子
[00:00:08.000 --> 00:00:11.000]  亦是年初三
[00:00:11.000 --> 00:00:13.000]  所以在這時候
[00:00:13.000 --> 00:00:16.000]  未講神的話語之先
[00:00:16.000 --> 00:00:21.000]  在此祝大家新年快樂
[00:00:21.000 --> 00:00:24.000]  靈情步步高升
[00:00:24.000 --> 00:00:28.000]  主愛力救常生
[00:00:28.000 --> 00:00:30.000]  願以神在新的一年
[00:00:30.000 --> 00:00:33.000]  更多的福分臨到我們中間
[00:00:33.000 --> 00:00:36.000]  而我們又願意更多的去
[00:00:36.000 --> 00:00:38.000]  尊崇我們的主
[00:00:38.000 --> 00:00:42.000]  我們的神
[00:00:42.000 --> 00:00:45.000]  記得早前我都有提過
[00:00:45.000 --> 00:00:47.000]  從今年開始
[00:00:47.000 --> 00:00:50.000]  在未來的三年
[00:00:50.000 --> 00:00:52.000]  很盼望我們教會弟兄姊妹
[00:00:52.000 --> 00:00:55.000]  能夠同心的去
[00:00:55.000 --> 00:00:58.000]  推動教會的工作
[00:00:58.000 --> 00:01:00.000]  我們都是很盼望能夠
[00:01:00.000 --> 00:01:03.000]  靠著主大家聯絡
[00:01:03.000 --> 00:01:05.000]  大家相助
[00:01:05.000 --> 00:01:08.000]  然後一起去實踐
[00:01:08.000 --> 00:01:11.000]  整傳的使命
[00:01:11.000 --> 00:01:13.000]  甚麼叫整傳的使命呢?
[00:01:13.000 --> 00:01:16.000]  整傳的使命就是我們願意
[00:01:16.000 --> 00:01:19.000]  在大使命上來努力
[00:01:19.000 --> 00:01:21.000]  即是傳福音
[00:01:21.000 --> 00:01:25.000]  又願意我們在大誡命上來努力
[00:01:25.000 --> 00:01:29.000]  即是我們本著神給我們的愛
[00:01:29.000 --> 00:01:31.000]  我們去服侍周圍的人
[00:01:31.000 --> 00:01:34.000]  包括那些未信主的人
[00:01:34.000 --> 00:01:37.000]  讓我們都能夠將神的恩
[00:01:37.000 --> 00:01:40.000]  神的愛帶出去
[00:01:40.000 --> 00:01:42.000]  無常的
[00:01:42.000 --> 00:01:44.000]  無條件的去祝福他們
[00:01:44.000 --> 00:01:47.000]  我相信當我們能夠朝著整傳使命
[00:01:47.000 --> 00:01:49.000]  來努力的話
[00:01:49.000 --> 00:01:51.000]  神是喜歡的
[00:01:51.000 --> 00:01:53.000]  因為這是在聖經裏
