
[00:00:00.000 --> 00:00:04.300]  各位網友平安,我們開始研讀加拿大書意見書
[00:00:04.300 --> 00:00:08.200]  加拿大書講一個很重要的真理
[00:00:08.200 --> 00:00:12.200]  就是因著信,我們可以得以稱義
[00:00:12.200 --> 00:00:14.600]  這是我們信仰的基礎
[00:00:14.600 --> 00:00:17.600]  是一個很重要真理的基石
[00:00:17.600 --> 00:00:19.900]  所以加拿大書意見書
[00:00:19.900 --> 00:00:24.900]  就叫做基督徒得自由的大憲章
[00:00:24.900 --> 00:00:27.700]  保羅他親自告訴我們
[00:00:27.700 --> 00:00:32.000]  因著信,我們可以被神稱我們為義
[00:00:32.000 --> 00:00:33.700]  就是我們宣告無罪
[00:00:33.700 --> 00:00:36.500]  因此這個是我們的憲章
[00:00:36.500 --> 00:00:39.000]  我們得自由的憲章
[00:00:39.000 --> 00:00:41.200]  一個的確據來的
[00:00:41.200 --> 00:00:43.600]  憲章是不可以改變的
[00:00:43.600 --> 00:00:45.700]  當你簽了一份的合約
[00:00:45.700 --> 00:00:48.700]  那份合約就開始生效了
[00:00:48.700 --> 00:00:50.000]  我們感謝神
[00:00:50.000 --> 00:00:52.900]  保羅就用六章聖經
[00:00:52.900 --> 00:00:59.000]  跟我們解釋這個他認識因信稱義的道理
[00:00:59.000 --> 00:01:02.800]  通常保羅在他的書信裏面
[00:01:02.800 --> 00:01:05.800]  就分前段和後段
[00:01:05.800 --> 00:01:08.600]  加拿大書一共有六章
[00:01:08.600 --> 00:01:11.600]  前段就是第一到第三章
[00:01:11.600 --> 00:01:14.400]  是比較教義性的
[00:01:14.400 --> 00:01:18.500]  而下一段就是第四到第六章
[00:01:18.500 --> 00:01:23.900]  通常我們就說保羅講一些實際行動
[00:01:23.900 --> 00:01:26.300]  對信徒一些的圈面
[00:01:26.300 --> 00:01:30.800]  讓我們怎樣去應用這個真理
[00:01:30.800 --> 00:01:33.800]  所以我就預備用兩次的時間
[00:01:33.800 --> 00:01:38.800]  就跟大家看完六章的加拿大書
[00:01:38.800 --> 00:01:42.800]  加拿大書如果用標題來分
[00:01:42.800 --> 00:01:50.800]  就可以說第一、第二章是保羅辯護這個恩典的福音
[00:01:50.800 --> 00:01:53.600]  他幫福音作辯護
[00:01:53.600 --> 00:01:56.600]  然後第三和第四章
[00:01:56.600 --> 00:02:00.800]  就是他解釋這個恩典的福音
[00:02:00.800 --> 00:02:05.800]  然後最後兩章就是應用第五、第六章
[00:02:05.800 --> 00:02:09.500]  應用恩典的福音
[00:02:09.500 --> 00:02:17.200]  保羅一開頭就說他這封信是寫給加拿大的各教會
[00:02:17.200 --> 00:02:21.600]  因為加拿大可以當為一個地區
[00:02:21.600 --> 00:02:25.000]  好像一個區域、一個省
[00:02:25.000 --> 00:02:28.300]  所以保羅好像不是寫給單一的教會
[00:02:28.300 --> 00:02:31.100]  就是這個地區的所有教會
[00:02:31.100 --> 00:02:33.100]  他們一起寫
[00:02:33.100 --> 00:02:37.300]  因此在很多學者的討論裏面
