
[00:00:00.000 --> 00:00:04.100]  今天我要最後錄的一個加油站
[00:00:04.100 --> 00:00:07.100]  是跟我上個禮拜六講的這個
[00:00:07.100 --> 00:00:09.700]  復活的信息有關係
[00:00:09.700 --> 00:00:12.100]  上個禮拜六我講的一堂是
[00:00:12.100 --> 00:00:15.500]  用從啓示錄的角度來看
[00:00:15.500 --> 00:00:17.100]  這個復活的基督
[00:00:17.100 --> 00:00:21.000]  祂差遣我們在這個世界的使命
[00:00:21.000 --> 00:00:24.900]  其中我們講到這個
[00:00:24.900 --> 00:00:26.600]  啓示錄第五章裏面
[00:00:26.600 --> 00:00:31.200]  上帝有一個七個印的包着一個祂的旨意
[00:00:31.200 --> 00:00:32.400]  那一個書卷
[00:00:32.400 --> 00:00:35.300]  結果看到被殺的羔羊
[00:00:35.300 --> 00:00:37.600]  這個大衛的獅子
[00:00:37.600 --> 00:00:38.600]  猶大的獅子
[00:00:38.600 --> 00:00:39.700]  大衛的後裔
[00:00:39.700 --> 00:00:43.500]  他怎麼樣出來去開這個七個印
[00:00:43.500 --> 00:00:47.600]  然後當你繼續看下去第六章的時候
[00:00:47.600 --> 00:00:53.800]  你就看到上帝通過耶穌一個一個印把它打開
[00:00:53.800 --> 00:00:55.600]  打開到第五個印的時候
[00:00:55.600 --> 00:00:57.900]  就特別跟當時的基督徒
[00:00:57.900 --> 00:01:03.000]  尤其爲主受苦的基督徒連上一個關係
[00:01:03.000 --> 00:01:03.800]  我當時就說
[00:01:03.800 --> 00:01:04.700]  我說你知道嗎
[00:01:04.700 --> 00:01:06.300]  第五個印
[00:01:06.300 --> 00:01:10.900]  它是上帝最寶貝的一個事情
[00:01:10.900 --> 00:01:12.400]  也是我可以這樣說
[00:01:12.400 --> 00:01:14.200]  是整個起書裏面
[00:01:14.200 --> 00:01:17.400]  中心裏面的一箇中心
[00:01:17.400 --> 00:01:18.400]  我們很多時候
[00:01:18.400 --> 00:01:20.200]  我們想到基督人生
[00:01:20.200 --> 00:01:21.200]  今天我們去教會
[00:01:21.200 --> 00:01:22.200]  很多時候就覺得
[00:01:22.200 --> 00:01:24.900]  新耶穌有很多的好處等等
[00:01:24.900 --> 00:01:28.100]  但是你看看上帝怎麼樣去看
[00:01:28.100 --> 00:01:31.800]  當時起書出席教會的基督徒
[00:01:31.800 --> 00:01:34.100]  如果你去看前面幾節是講到
[00:01:34.100 --> 00:01:35.500]  他打開那個印的時候
[00:01:35.500 --> 00:01:42.100]  他看到一些爲上帝失去了生命的靈魂
[00:01:42.100 --> 00:01:45.400]  他在上帝的壇前去祈求
[00:01:45.400 --> 00:01:46.300]  祈求什麼呢
[00:01:46.300 --> 00:01:48.300]  How long 還有多久
[00:01:48.300 --> 00:01:50.900]  你纔回來幫我們申冤
[00:01:50.900 --> 00:01:51.800]  我們的血
[00:01:51.800 --> 00:01:54.000]  我們的這個生命
[00:01:54.000 --> 00:01:55.400]  我們的死亡
[00:01:55.400 --> 00:01:56.800]  我們在呼喊
[00:01:56.800 --> 00:01:58.300]  你要爲我們申冤
[00:01:58.300 --> 00:02:03.300]  這是上帝給那些爲他殉道的人的一個回應
[00:02:03.300 --> 00:02:05.300]  他說第六章第十一節
[00:02:05.300 --> 00:02:06.000]  他說
[00:02:06.000 --> 00:02:11.900]  於是有白袍賜給他們個人
[00:02:11.900 --> 00:02:14.400]  又有話吩咐他們
[00:02:14.400 --> 00:02:19.500]  還要休息七十片刻
[00:02:19.500 --> 00:02:22.600]  等到與他們同坐僕人的
[00:02:22.600 --> 00:02:24.400]  和他們的弟兄
[00:02:24.400 --> 00:02:29.900]  像他們一樣被殺的人的樹木湊足的時候
[00:02:29.900 --> 00:02:32.200]  你可以想象當時候那個情況嗎
[00:02:32.200 --> 00:02:35.100]  那個被殺的這個基督徒在呼喊
[00:02:35.100 --> 00:02:36.400]  他們的靈魂在呼喊
[00:02:36.400 --> 00:02:38.500]  How long 還有多久
[00:02:38.500 --> 00:02:40.600]  還有多久你幫我申冤
[00:02:40.600 --> 00:02:44.000]  那答案是還需要一些時間
[00:02:44.000 --> 00:02:46.600]  還要片刻
[00:02:46.600 --> 00:02:47.600]  等到什麼時候
[00:02:47.600 --> 00:02:51.900]  等到其他還有一些上帝的僕人
[00:02:51.900 --> 00:02:53.300]  你們的弟兄
[00:02:53.300 --> 00:02:56.900]  他們會像你們一樣被殺
[00:02:56.900 --> 00:03:01.000]  等到被殺的基督徒的樹木湊足了
[00:03:01.000 --> 00:03:03.300]  然後我就會來幫你們申冤
[00:03:03.300 --> 00:03:05.900]  你可以想象這個事情
[00:03:05.900 --> 00:03:08.900]  你要明白這個整個啓示錄是講到
[00:03:08.900 --> 00:03:10.800]  上帝掌管着宇宙
[00:03:10.800 --> 00:03:12.800]  所以這個不是說還要等一下
