
[00:00:00.000 --> 00:00:02.020]  禮堂的弟兄姊妹平安
[00:00:02.020 --> 00:00:04.100]  還有不知道在哪裡
[00:00:04.100 --> 00:00:07.700]  可能也在家裡 或者是不知道在哪個地方
[00:00:07.700 --> 00:00:12.480]  在網上看直播的弟兄姊妹 也祝你們平安
[00:00:12.480 --> 00:00:17.400]  我們能夠平平安安 健健康康的聚在一起
[00:00:17.400 --> 00:00:20.820]  來敬拜神 真的是無比的恩典
[00:00:20.820 --> 00:00:25.100]  今天是3月1號 踏入了3月份
[00:00:25.100 --> 00:00:28.540]  是我們一年一度的拆船月
[00:00:29.740 --> 00:00:34.540]  所以換句話說 3月我們會有5個禮拜
[00:00:34.540 --> 00:00:37.080]  那這5個禮拜裡面 我們都會
[00:00:37.080 --> 00:00:40.940]  主要集中在拆船這個議題上
[00:00:40.940 --> 00:00:43.860]  來有一些屬靈上的學習
[00:00:43.860 --> 00:00:47.940]  3月最後一個禮拜是我們的拆船年會
[00:00:47.940 --> 00:00:50.580]  說起這個拆船月
[00:00:50.580 --> 00:00:53.540]  很早之前少芳已經在問我
[00:00:53.540 --> 00:00:56.140]  那到底我們今年拆船月
[00:00:56.140 --> 00:00:58.980]  到底有什麼領受呢
[00:00:59.740 --> 00:01:02.340]  我們禱告了一段時間
[00:01:02.340 --> 00:01:04.460]  也一邊來等候
[00:01:04.460 --> 00:01:08.060]  那最後神給我這幾個字
[00:01:08.060 --> 00:01:11.620]  最後我們也用了重燃對主的激情
[00:01:11.620 --> 00:01:15.100]  作為我們今年拆船月的主題
[00:01:15.100 --> 00:01:16.980]  所以今天是第一講
[00:01:16.980 --> 00:01:21.100]  我也就用這個題目來分享神的話
[00:01:21.100 --> 00:01:29.140]  美國牧師兼民權運動領袖
[00:01:29.140 --> 00:01:32.860]  他也是1964年諾貝爾和平獎的得主
[00:01:32.860 --> 00:01:35.820]  馬丁路德金 Martin Luther King
[00:01:35.820 --> 00:01:38.420]  他曾經說了這樣一句話
[00:01:38.420 --> 00:01:40.740]  他說如果一個人沒有一件
[00:01:40.740 --> 00:01:43.380]  為之生為之死的事
[00:01:43.380 --> 00:01:46.260]  那麼他就不應該活
[00:01:46.260 --> 00:01:47.860]  那這句話我想他的意思是
[00:01:47.860 --> 00:01:50.060]  如果你活著
[00:01:50.060 --> 00:01:52.940]  沒有一件事讓你覺得
[00:01:52.940 --> 00:01:55.860]  用你的生命去拼搏
[00:01:55.860 --> 00:01:57.540]  或者是有一件事
[00:01:57.540 --> 00:02:00.820]  你願意甚至為它來死的
[00:02:00.820 --> 00:02:03.540]  那可能你的人生就
[00:02:03.540 --> 00:02:05.660]  好像一潭死水一樣
[00:02:05.660 --> 00:02:07.860]  你就不應該活
[00:02:07.860 --> 00:02:09.980]  那香港同樣有一位藝人
[00:02:09.980 --> 00:02:12.100]  他曾經也這樣說
[00:02:12.100 --> 00:02:14.100]  他說做人如果沒有夢想
[00:02:14.100 --> 00:02:18.380]  那跟閒餘有什麼分別呢
[00:02:18.380 --> 00:02:19.860]  不知道大家同不同意
[00:02:19.860 --> 00:02:22.780]  剛才那兩位說的話
[00:02:22.780 --> 00:02:27.340]  那聖經在啟示錄的第三章
[00:02:27.340 --> 00:02:31.020]  使徒約翰寫給老體家教會的信中
[00:02:31.020 --> 00:02:34.660]  他論到神對老體家教會的審判
[00:02:34.660 --> 00:02:36.860]  裡面這樣說
[00:02:36.860 --> 00:02:38.380]  我知道你的行為
[00:02:38.380 --> 00:02:40.420]  你不冷也不熱
[00:02:40.420 --> 00:02:43.420]  我巴不得你或冷或熱
[00:02:43.420 --> 00:02:45.300]  因為你好像溫水
[00:02:45.300 --> 00:02:46.740]  不熱也不冷
[00:02:46.740 --> 00:02:50.740]  所以我要把你從我口中吐出去
[00:02:50.740 --> 00:02:54.300]  這是很嚴厲的一個審判
[00:02:54.300 --> 00:02:59.900]  那我相信這段經文還有剛才兩位說的那些話
[00:02:59.900 --> 00:03:03.260]  不謀而合的想帶出一點
[00:03:03.260 --> 00:03:05.860]  就是一個人如果他活著
[00:03:05.860 --> 00:03:08.300]  沒有激情沒有熱情
[00:03:08.300 --> 00:03:11.220]  就失去了心中的那團火的話
[00:03:11.220 --> 00:03:14.980]  他的人生就沒有什麼意義
[00:03:14.980 --> 00:03:19.660]  今天你和我有沒有激情呢
[00:03:19.660 --> 00:03:23.220]  會不會有的人說我已經活了半輩子了
[00:03:23.220 --> 00:03:26.300]  或者是大半輩子了
[00:03:26.300 --> 00:03:29.300]  什麼激情的火早已經被撲滅了
[00:03:29.300 --> 00:03:32.660]  現在是什麼狀況
[00:03:32.660 --> 00:03:35.660]  反正死火了
[00:03:35.660 --> 00:03:38.340]  那年輕一點的可能你還有工作
[00:03:38.340 --> 00:03:41.180]  那你對工作有沒有熱情呢
[00:03:41.180 --> 00:03:44.420]  你對生活有沒有激情呢
[00:03:44.420 --> 00:03:48.620]  你對你的信仰有沒有火呢
[00:03:48.620 --> 00:03:55.300]  還是我們的人生現在已經只剩下吃喝拉撒呢
[00:03:55.300 --> 00:03:59.420]  那今天的這段經文我們可以從故事中的人物
[00:03:59.420 --> 00:04:05.500]  看到激情對人原來帶來很大的影響
[00:04:05.500 --> 00:04:11.420]  剛才那個故事也是耶穌和撒瑪利亞婦人的故事
[00:04:11.420 --> 00:04:13.620]  通常我們一提到這個故事
[00:04:13.620 --> 00:04:18.140]  大家的焦點都會放在耶穌和撒瑪利亞婦人
