
[00:00:00.000 --> 00:00:01.720]  新年快樂
[00:00:01.720 --> 00:00:04.160]  祝大家八福臨門
[00:00:04.160 --> 00:00:07.160]  八福臨門大家明白了
[00:00:07.160 --> 00:00:08.880]  我們今天說八福
[00:00:08.880 --> 00:00:11.760]  不過我們還沒進入八福臨門之前
[00:00:11.760 --> 00:00:15.080]  剛才讀了經,不需要模仿了
[00:00:15.080 --> 00:00:16.720]  先說說五福臨門
[00:00:16.720 --> 00:00:20.640]  這張照片大家有沒有似曾相識的感覺
[00:00:20.640 --> 00:00:23.360]  誰今天見過這張照片
[00:00:23.360 --> 00:00:24.520]  這個圖,是的
[00:00:24.520 --> 00:00:27.520]  知道你應該從那邊走過來
[00:00:27.520 --> 00:00:30.320]  我們在榮輝大廈有兩櫈
[00:00:30.320 --> 00:00:32.600]  我早幾天在那裡下車
[00:00:32.600 --> 00:00:34.240]  看到就拍了一張照片
[00:00:34.240 --> 00:00:35.360]  寫著什麼呢
[00:00:35.360 --> 00:00:40.640]  就是「五福臨門紅運開,萬事順心如意來」
[00:00:40.640 --> 00:00:41.960]  應該大家都很喜歡
[00:00:41.960 --> 00:00:44.080]  我們中國人喜歡五福臨門
[00:00:44.080 --> 00:00:45.800]  五福臨門是什麼意思呢
[00:00:45.800 --> 00:00:48.840]  我也是網上看的
[00:00:48.840 --> 00:00:52.440]  我們中國有本書叫《尚書紅帆》
[00:00:52.440 --> 00:00:53.640]  是這麼解釋的
[00:00:53.640 --> 00:00:57.120]  一曰秀,二曰富,三曰康寧
[00:00:57.640 --> 00:01:01.560]  四曰尤浩德,五曰孝宗明
[00:01:01.560 --> 00:01:02.280]  是什麼意思呢
[00:01:02.280 --> 00:01:05.560]  就是說第一個福就是長壽
[00:01:05.560 --> 00:01:06.760]  這個大家都明白
[00:01:06.760 --> 00:01:07.760]  第二個福是富貴
[00:01:07.760 --> 00:01:08.720]  不需要解釋
[00:01:08.720 --> 00:01:10.560]  應該大家都經常恭喜發財
[00:01:10.560 --> 00:01:11.400]  我們新年
[00:01:11.400 --> 00:01:13.560]  第三個福就多一點
[00:01:13.560 --> 00:01:15.040]  就是康寧
[00:01:15.040 --> 00:01:19.040]  康寧意思就是心靈、康寧、身體健康
[00:01:19.040 --> 00:01:20.400]  我們都很明白
[00:01:20.400 --> 00:01:21.840]  除了身體健康之外
[00:01:21.840 --> 00:01:23.880]  心境也很重要
[00:01:23.880 --> 00:01:26.880]  這個也很接近我們基督教的思想
[00:01:27.600 --> 00:01:28.760]  第四個就是浩德
[00:01:28.760 --> 00:01:32.080]  浩德意思是新聖人善
[00:01:32.080 --> 00:01:35.120]  而且歡厚寧靜
[00:01:35.120 --> 00:01:36.240]  比較多一點
[00:01:36.240 --> 00:01:38.400]  我發覺是那個品德那裡
[00:01:38.400 --> 00:01:41.040]  其實這個就像我們在八福要說的話
[00:01:41.040 --> 00:01:42.600]  所以這個也有點像
[00:01:42.600 --> 00:01:43.880]  善終
[00:01:43.880 --> 00:01:45.840]  就是說能夠預知自己的死期
[00:01:45.840 --> 00:01:46.600]  這也很重要的
[00:01:46.600 --> 00:01:48.320]  就是焉知死
[00:01:48.320 --> 00:01:49.680]  我們知道怎麼生
[00:01:49.680 --> 00:01:50.920]  這個也是很好的
[00:01:50.920 --> 00:01:53.280]  不過我會發覺其實
[00:01:53.280 --> 00:01:56.000]  我們耶穌基督的八福
[00:01:56.000 --> 00:01:58.520]  和五福臨門是很不同的
[00:01:58.520 --> 00:02:01.840]  如果大家有剛才聽到我們的領會
[00:02:01.840 --> 00:02:04.480]  Paul讀出八福的經文
[00:02:04.480 --> 00:02:05.400]  第一句是什麼
[00:02:05.400 --> 00:02:07.680]  心靈貧窮
[00:02:07.680 --> 00:02:09.080]  又要愛動
[00:02:09.080 --> 00:02:11.600]  我們新年說不要哭哭啼啼
[00:02:11.600 --> 00:02:12.200]  又要笑
[00:02:12.200 --> 00:02:14.000]  不准哭的
[00:02:14.000 --> 00:02:16.000]  為什麼耶穌的八福
[00:02:16.000 --> 00:02:18.440]  和我們中國人的思想是很不同的呢
[00:02:18.440 --> 00:02:20.840]  等一下我總結的時候會看到
[00:02:20.840 --> 00:02:22.560]  是很相反的
[00:02:22.560 --> 00:02:27.400]  趁這個機會重溫我們對上一次講道
[00:02:27.400 --> 00:02:29.120]  講八福的兩個福
[00:02:29.120 --> 00:02:31.640]  一個是講開心的人有福了
[00:02:31.640 --> 00:02:32.320]  想帶出什麼呢
[00:02:32.320 --> 00:02:34.800]  就是當我們要進入天國
[00:02:34.800 --> 00:02:37.720]  我們要去認識耶穌
[00:02:37.720 --> 00:02:41.520]  所講的天國的入門是什麼
[00:02:41.520 --> 00:02:43.880]  就要由我是貧窮開始
[00:02:43.880 --> 00:02:45.640]  我們要承認我們卑微
[00:02:45.640 --> 00:02:46.680]  我們要承認我們軟弱
[00:02:46.680 --> 00:02:48.560]  我們是不足夠的
[00:02:48.560 --> 00:02:49.760]  我們要悔改
[00:02:49.760 --> 00:02:52.240]  我們靠自己的能力是進不了天國的
[00:02:52.240 --> 00:02:56.520]  我們唯有承認我們完全無能為力
[00:02:56.520 --> 00:02:58.680]  我們要悔改才能進入天國
[00:02:58.680 --> 00:03:00.000]  這個很明白大家
[00:03:00.000 --> 00:03:00.920]  我們因信稱義
[00:03:00.920 --> 00:03:01.760]  我們信什麼
[00:03:01.760 --> 00:03:05.040]  我們信我們是一群無力無用的人
[00:03:05.040 --> 00:03:07.320]  我們信我們是一群有罪的人
[00:03:07.320 --> 00:03:08.680]  我們要靠基督
[00:03:08.680 --> 00:03:10.640]  靠耶穌才能進入天國
[00:03:10.640 --> 00:03:12.080]  第二個哀動的人有福了
[00:03:12.080 --> 00:03:14.560]  因為他們必得安慰
[00:03:14.560 --> 00:03:17.280]  我們要成為一個天國人
[00:03:17.280 --> 00:03:23.520]  要好像天父一樣同憫同悲的心
[00:03:23.520 --> 00:03:25.240]  有上帝的憐憫心
[00:03:25.240 --> 00:03:27.760]  對人的生命我們有一份哀動的心
[00:03:27.760 --> 00:03:29.400]  我們才能夠進入天國
[00:03:29.400 --> 00:03:32.960]  這個就是頭兩福提醒給我們的
[00:03:32.960 --> 00:03:34.160]  而我們更加感恩的是
[00:03:34.160 --> 00:03:35.600]  耶穌在這裡復活
[00:03:35.600 --> 00:03:38.120]  帶來了得勝的生命
[00:03:38.120 --> 00:03:39.480]  勝過死亡
[00:03:39.480 --> 00:03:41.800]  哀動的人必然得到上帝的安慰
[00:03:41.800 --> 00:03:43.600]  就在耶穌在這裡復活的裡面
[00:03:43.600 --> 00:03:46.840]  這個是上一次跟大家宣講的信息
[00:03:46.840 --> 00:03:48.120]  在這裡我想提多一點
[00:03:48.120 --> 00:03:49.640]  為什麼我會定八福呢
[00:03:49.640 --> 00:03:50.720]  一個題目就是
[00:03:50.720 --> 00:03:53.680]  尋找耶穌的地圖呢
[00:03:53.680 --> 00:03:55.920]  如果你上次1月1日有回崇拜
[00:03:55.920 --> 00:03:58.160]  有聽講道
[00:03:58.160 --> 00:03:59.920]  我播放了一段影片
[00:03:59.920 --> 00:04:01.760]  那段影片其實你網上YouTube都能找到
[00:04:01.760 --> 00:04:03.960]  你看「Chosen」
