
[00:00:00.000 --> 00:00:04.120]  其中的一個長輩,就來到另外一個長輩家的門口
[00:00:04.120 --> 00:00:06.680]  來來回回走了十幾趟
[00:00:06.680 --> 00:00:08.400]  為什麼你知道嗎?
[00:00:08.400 --> 00:00:11.280]  一個人去一個別人家裡面說
[00:00:11.280 --> 00:00:14.520]  對不起啊,我錯了,你原諒我
[00:00:14.520 --> 00:00:16.160]  我們兩個就和睦吧
[00:00:16.160 --> 00:00:17.880]  不容易對吧?
[00:00:17.880 --> 00:00:21.760]  你知道走了十幾趟之後,結果鼓起勇氣
[00:00:21.760 --> 00:00:24.080]  來敲響那個人的家門的時候
[00:00:24.080 --> 00:00:27.280]  那個人門一開,他說你過來幹什麼?
[00:00:28.280 --> 00:00:30.660]  他說你是不是過來,還是跟我吵架
[00:00:30.660 --> 00:00:33.940]  那個老姐妹說,不,我過來的時候
[00:00:33.940 --> 00:00:35.400]  想請你原諒
[00:00:35.400 --> 00:00:39.440]  他說上帝提醒我,我在一禱告的時候,上帝就說
[00:00:39.440 --> 00:00:42.160]  你要先和你的對頭和好
[00:00:42.160 --> 00:00:43.840]  再來到我的面前獻祭
[00:00:43.840 --> 00:00:46.420]  你知道那個老姐妹怎麼說?
[00:00:46.420 --> 00:00:48.940]  我知道你會來我家跟我道歉的
[00:00:48.940 --> 00:00:51.680]  我知道你一定會來我家跟我和睦的
[00:00:51.680 --> 00:00:54.860]  各位你知道,這個故事
[00:00:54.860 --> 00:00:56.780]  是真實的
[00:00:57.340 --> 00:01:00.700]  它在這個故事裡面,讓我們發現有兩點
[00:01:00.700 --> 00:01:04.440]  第一點,你主動去
[00:01:04.440 --> 00:01:08.020]  向別人和睦,這是很困難的事情
[00:01:08.020 --> 00:01:12.520]  如果那個長輩,不是上帝再三的提醒他
[00:01:12.520 --> 00:01:15.240]  我相信,他又不會去
[00:01:15.240 --> 00:01:19.580]  並且上帝這樣提醒他,他來到了那個家門口
[00:01:19.580 --> 00:01:21.620]  他來來回回,來來回回
[00:01:21.620 --> 00:01:25.420]  好像缺少勇氣,敲響他的家門
[00:01:26.620 --> 00:01:28.680]  第二個問題,我們發現
[00:01:28.680 --> 00:01:32.360]  你去跟別人和睦不容易
[00:01:32.360 --> 00:01:35.020]  別人去跟你和睦
[00:01:35.020 --> 00:01:36.920]  這太容易的事情
[00:01:36.920 --> 00:01:40.560]  你就會感覺到說,你應該跟我和睦
[00:01:40.560 --> 00:01:42.720]  我跟你和睦不和睦呢?
[00:01:42.720 --> 00:01:44.320]  這另外一回事情
[00:01:44.320 --> 00:01:46.780]  為什麼會這樣呢?
[00:01:46.780 --> 00:01:52.860]  為什麼人與人之間,特別弟兄姊妹之間的那種和睦
[00:01:52.860 --> 00:01:55.460]  變成這樣困難的一件事情呢?
[00:01:56.800 --> 00:01:58.360]  其實在座的各位
[00:01:58.360 --> 00:02:00.880]  因為
[00:02:00.880 --> 00:02:04.480]  人類墮落了之後
[00:02:04.480 --> 00:02:08.280]  人的那種自我的本性
[00:02:08.280 --> 00:02:12.560]  那種罪的本性,都在每個人的心裡面
[00:02:12.560 --> 00:02:18.080]  只不過有些人,外表偽裝得比較好一些
[00:02:18.080 --> 00:02:22.780]  只不過有些人,比較直羅羅一些
