
[00:00:00.000 --> 00:00:09.280]  上星期我們看圖畫就知道我們在講耶穌所講的一個很重要的故事
[00:00:09.280 --> 00:00:12.480]  比喻是講甚麼話?上星期講甚麼?記得嗎?
[00:00:12.480 --> 00:00:15.680]  好三萬零二人
[00:00:15.680 --> 00:00:21.120]  這個呢?你猜猜
[00:00:21.120 --> 00:00:26.000]  很熟悉的故事
[00:00:26.000 --> 00:00:31.760]  就是記載在路加福音最後一段
[00:00:31.760 --> 00:00:36.560]  我們記得我們在路加福音前那兩次的信息
[00:00:36.560 --> 00:00:40.080]  第一個信息是關乎第十章,就是第十章的信息
[00:00:40.080 --> 00:00:41.840]  路加第十章
[00:00:41.840 --> 00:00:46.160]  就是講到耶穌差遣七十二個門徒,記得嗎?
[00:00:46.160 --> 00:00:49.440]  還記得嗎?記不記得?
[00:00:49.440 --> 00:00:59.200]  那個記載主要是講到耶穌差遣我們出去成為福音的使者
[00:00:59.200 --> 00:01:03.680]  傳福音的人是有福的,我們講了兩堂
[00:01:03.680 --> 00:01:07.440]  所以我們特別有體會到耶穌基督
[00:01:07.440 --> 00:01:18.880]  很鼓勵我們為莊稼的,求莊稼的差遣工人與我們同心一同為福音努力
[00:01:18.880 --> 00:01:25.040]  第十章的第二個部分就是上個禮拜我們講的好撒瑪利亞人
[00:01:25.040 --> 00:01:28.880]  好撒瑪利亞人就是講到愛心的行動
[00:01:28.880 --> 00:01:35.040]  在這個世界當中我們用愛心來彰顯神的憐憫
[00:01:35.040 --> 00:01:39.360]  活出神的心意和佳靈
[00:01:39.360 --> 00:01:49.600]  第十章最後這段就是講到德尚好的福份
[00:01:49.600 --> 00:01:56.640]  剛才有個弟兄姊妹已經講出來了,就是講到誰的故事?
[00:01:56.640 --> 00:01:59.840]  馬大和瑪利亞
[00:01:59.840 --> 00:02:06.240]  所以我看見這兩個姊妹馬大和瑪利亞都是耶穌所愛的
[00:02:06.240 --> 00:02:10.800]  事實上他們的家裏面還有一個弟弟,那個是誰?
[00:02:10.800 --> 00:02:13.920]  亞瑟路,都是耶穌所愛的
[00:02:13.920 --> 00:02:17.120]  所以整個家庭都是耶穌好看重的一個家庭
[00:02:17.120 --> 00:02:20.320]  因為他們經常都接待耶穌,支持耶穌的侍宮
[00:02:20.320 --> 00:02:23.760]  還有最重要的是他能夠去看察主的心
[00:02:23.760 --> 00:02:30.560]  也跟他們同經歷極大的困難,甚至拉撒路他死而又生
[00:02:30.560 --> 00:02:36.720]  所以我們看到在路加封裡面,這段的記載有
[00:02:36.720 --> 00:02:44.640]  聖經學者認為不是按他的次序記載,不是按他當時發生的次序
[00:02:44.640 --> 00:02:49.760]  換句話說,前一段傳福音、差遣、人去收莊稼
[00:02:49.760 --> 00:02:56.160]  好撒瑪利亞人,以及這段都是路加刻意編排的
[00:02:56.160 --> 00:03:02.560]  不是按著事件的次序發生,而是路加刻意編排的
[00:03:02.560 --> 00:03:05.120]  原因是當時這個伯大利
[00:03:05.120 --> 00:03:12.800]  我們知道馬大、馬利亞、拉撒路住在伯大利,是很近耶路撒冷的
[00:03:12.800 --> 00:03:21.760]  但是當時發生這件事的時候,耶穌是不在近耶路撒冷的
[00:03:21.760 --> 00:03:25.600]  他仍然在伯大利去耶路撒冷,很長的路程
[00:03:25.600 --> 00:03:30.080]  所以換句話說,他應該不是當時在伯大利的
[00:03:30.080 --> 00:03:34.560]  所以路加後來把他加入了,這很有意思,為什麼呢?
[00:03:34.560 --> 00:03:38.160]  因為原來似乎路加的心意就是
[00:03:38.160 --> 00:03:43.520]  好撒瑪利亞人是講到我們要有好的行為,記得嗎?
[00:03:43.520 --> 00:03:51.200]  那個律法師問耶穌,他說我應該要做什麼才能夠承受永生呢?
[00:03:51.200 --> 00:03:57.600]  所以我們上一次要加以解釋,耶穌不是說用行為來賺得永生
[00:03:57.600 --> 00:04:04.240]  後來的書信、雅各書也有好的平衡,以致我們明白了那個神學、那個真理
[00:04:04.240 --> 00:04:10.960]  耶穌絕對不是說靠行為清義,絕對不對的
[00:04:10.960 --> 00:04:13.600]  但是為什麼路加要加這段呢?
[00:04:13.600 --> 00:04:22.320]  就是告訴我們,原來我們能夠活出神的誡命、活出神的愛心
[00:04:22.320 --> 00:04:29.200]  並不是由我們而來的,並不是靠我們的行為、靠我們的努力來活出來的
[00:04:29.200 --> 00:04:34.800]  是靠著神的愛和在神那裡支取力量活出來的
[00:04:34.800 --> 00:04:37.760]  所以換句話說,這段經文只有幾節
[00:04:37.760 --> 00:04:41.520]  它放在第十章的最後,是一個很重要的補充
[00:04:41.520 --> 00:04:47.920]  來幫助我們明白到,原來我們需要時常親近主
[00:04:47.920 --> 00:04:52.240]  因為如果離開了主,我們的侍奉就會亂了
[00:04:52.240 --> 00:04:58.800]  我們的侍奉、我們的傳福音、所謂愛心的行動就會有雜質
[00:04:58.800 --> 00:05:04.800]  不會由神的源頭出來的
[00:05:04.800 --> 00:05:11.600]  所以我們在這裡看見,似乎這段經文有很重要的意義
