
[00:00:00.000 --> 00:00:03.500]  世界變了的時候,大家有什麼感覺?
[00:00:03.500 --> 00:00:07.300]  世界變的時候,我們要留意什麼呢?
[00:00:07.300 --> 00:00:09.500]  知不知道我們教會都變了?
[00:00:09.500 --> 00:00:13.700]  你看到這個禮拜和上個禮拜有什麼不一樣?
[00:00:13.700 --> 00:00:16.000]  這個禮拜這裡是新的
[00:00:16.000 --> 00:00:17.600]  看到嗎?
[00:00:17.600 --> 00:00:19.800]  你不留意是看不到的
[00:00:19.800 --> 00:00:25.800]  你一定要留意才看得到
[00:00:25.800 --> 00:00:28.800]  這個位置為什麼要這樣弄呢?
[00:00:30.000 --> 00:00:34.500]  因為破了,隔壁牆滲水
[00:00:34.500 --> 00:00:38.000]  滲水後我們新裝修,幾個月後就換了
[00:00:38.000 --> 00:00:41.500]  所以這個是遮住的
[00:00:41.500 --> 00:00:43.500]  遮醜的
[00:00:43.500 --> 00:00:46.500]  當然是剷了一些灰,這樣就好看了
[00:00:46.500 --> 00:00:49.500]  世界變,如果你不留意
[00:00:49.500 --> 00:00:52.000]  在很多不同的環境裡面
[00:00:52.000 --> 00:00:54.000]  變了,我們都不知道
[00:00:54.000 --> 00:00:57.000]  在生活裡面,我們經歷了什麼呢?
[00:00:57.500 --> 00:01:01.000]  在生活裡面,這個世界是怎樣變化的呢?
[00:01:01.000 --> 00:01:04.500]  有沒有人現在沒有手機的?
[00:01:04.500 --> 00:01:06.500]  有沒有人沒有手機的?
[00:01:06.500 --> 00:01:10.500]  有的,陳先生你好厲害
[00:01:10.500 --> 00:01:17.500]  這些是有兩類人沒有手機的
[00:01:17.500 --> 00:01:19.500]  一是大老闆
[00:01:19.500 --> 00:01:24.000]  好像李嘉誠那種,他沒有手機
[00:01:24.000 --> 00:01:26.000]  有人幫他聽電話
[00:01:27.000 --> 00:01:30.500]  有一類人就是,他很想自由自在
[00:01:30.500 --> 00:01:33.500]  不想被人騷擾,就沒有電話
[00:01:33.500 --> 00:01:35.500]  這個科技世界變成怎樣呢?
[00:01:35.500 --> 00:01:39.500]  快速轉變到,其實在影響我們的生活
[00:01:39.500 --> 00:01:41.500]  影響我們生活的時候
[00:01:41.500 --> 00:01:44.500]  有一些人是關心這個社會的轉變
[00:01:44.500 --> 00:01:46.500]  關心人的時候就會說
[00:01:46.500 --> 00:01:50.500]  這個世界的改變,令我們有這個擔憂
[00:01:50.500 --> 00:01:55.500]  有一年了,我忘記了多少年了
[00:01:55.500 --> 00:01:57.500]  當電話響的時候
[00:01:57.500 --> 00:02:00.500]  余光宗這位詩人就描述
[00:02:00.500 --> 00:02:04.500]  電話一響,就是追魂鈴
[00:02:04.500 --> 00:02:08.500]  追魂鈴,追魂call
[00:02:08.500 --> 00:02:10.500]  追著你的靈魂去叫你的
[00:02:10.500 --> 00:02:13.500]  因為在那一刻一響
[00:02:13.500 --> 00:02:16.500]  你所有的東西都要停下來
[00:02:16.500 --> 00:02:19.500]  所以我們的長者要記得
[00:02:19.500 --> 00:02:21.500]  客廳的電話一響
[00:02:21.500 --> 00:02:23.500]  放鬆
[00:02:24.000 --> 00:02:26.000]  你在廁所不要急著出來
[00:02:26.000 --> 00:02:29.000]  洗完澡,去完廁所才慢慢出來
[00:02:29.000 --> 00:02:31.000]  因為曾經有些例子
[00:02:31.000 --> 00:02:33.000]  很急著要出來聽電話
[00:02:33.000 --> 00:02:36.000]  就跌斷了,那個腳骨、腰骨
[00:02:36.000 --> 00:02:38.000]  很危險
[00:02:38.000 --> 00:02:46.000]  馮小剛有一套電影叫《手機》
[00:02:46.000 --> 00:02:48.500]  這套《手機》厲害了,就很出名
[00:02:48.500 --> 00:02:50.500]  就讓我們知道
[00:02:50.500 --> 00:02:53.000]  原來這部手機怎樣影響
[00:02:53.000 --> 00:02:57.000]  人際之間,男與女夫妻之間的關係和感情
[00:02:57.000 --> 00:03:01.000]  最近時代雜誌
[00:03:01.000 --> 00:03:04.000]  對有關調查手機
[00:03:04.000 --> 00:03:06.000]  怎樣去主宰我們的生活
[00:03:06.000 --> 00:03:08.000]  七成的受訪人
[00:03:08.000 --> 00:03:09.000]  七成
[00:03:09.000 --> 00:03:13.000]  手機成為我們的枕邊人
[00:03:13.000 --> 00:03:16.000]  你起床第一件事不是看一看太太
[00:03:16.000 --> 00:03:18.000]  是看一看手機
[00:03:18.000 --> 00:03:22.000]  你臨睡的時候不是跟太太說
[00:03:22.000 --> 00:03:23.000]  晚安,吃一口
[00:03:23.000 --> 00:03:25.000]  而是看一看手機
[00:03:25.000 --> 00:03:30.000]  手機有七成人成為他的枕邊人
[00:03:30.000 --> 00:03:33.000]  原來檢查手機
