
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹早晨,元神的恩典常與你們同在。
[00:00:05.000 --> 00:00:13.000]  之前幾次的講道,我們都讀《詩歌智慧》文學,
[00:00:13.000 --> 00:00:19.000]  今天我們開始看《舊約》的另外一個部分《先知書》。
[00:00:19.000 --> 00:00:24.000]  由於《聖經》被釘裝成為一本書,
[00:00:24.000 --> 00:00:29.000]  我們以為《聖經》真的是一本書。
[00:00:29.000 --> 00:00:38.000]  其實《聖經》並不是一本書,而是六十六卷獨立書卷的一個結集。
[00:00:38.000 --> 00:00:46.500]  這個結集裏面包含了不同經卷的獨特的視覺。
[00:00:46.500 --> 00:00:53.000]  有些經卷是從神人之約的角度來看問題的,
[00:00:53.000 --> 00:01:03.000]  有些經卷是從大衛王朝的延續來看事情的,
[00:01:03.000 --> 00:01:09.000]  有些經卷是講祭司的神學,講禮儀,講秩序。
[00:01:09.000 --> 00:01:12.000]  祭司也是講規矩的。
[00:01:12.000 --> 00:01:20.000]  有些經卷是講先知的神學,講悔改,講願象。
[00:01:20.000 --> 00:01:24.000]  先知有些時候說只守規矩是不夠的,
[00:01:24.000 --> 00:01:27.000]  所以它是不同的角度。
[00:01:27.000 --> 00:01:32.000]  智慧文學講的是神創造的秩序,
[00:01:32.000 --> 00:01:36.000]  這是人人都可以參透的智慧。
[00:01:36.000 --> 00:01:41.000]  而先知文學講的是神在歷史裏面的作為,
[00:01:41.000 --> 00:01:47.000]  這個只有信仰的心靈才能領悟。
[00:01:47.000 --> 00:01:51.000]  有些經卷是信不信耶穌都應該看得懂的,
[00:01:51.000 --> 00:01:57.000]  有些經卷是你不信神,你是無法明白為何祂會這樣講的。
[00:01:57.000 --> 00:02:00.000]  頂子妹有時很困惑,
[00:02:00.000 --> 00:02:11.000]  為何一本書有這麼不協調的不同的向道呢?
[00:02:11.000 --> 00:02:20.000]  這是因為聖經不是一本書,而是眾多作品的一個結集。
[00:02:20.000 --> 00:02:28.000]  中國的四副傳書是中國傳統經典典籍的一個結集。
[00:02:28.000 --> 00:02:31.000]  它分開四個部份來分類,
[00:02:31.000 --> 00:02:36.000]  就是經、史、子、集,集合的集。
[00:02:36.000 --> 00:02:42.000]  舊約的經卷也大大蓋蓋可以做這樣的分類。
[00:02:42.000 --> 00:02:45.000]  經,就是摩西五經;
[00:02:45.000 --> 00:02:52.000]  史,就是由約書雅記到以斯帖記的一系列的書卷;
[00:02:52.000 --> 00:02:56.000]  子,就是先知朱子;
[00:02:56.000 --> 00:03:03.000]  集,就是從約伯記到雅哥的一系列的詩歌智慧文學。
[00:03:03.000 --> 00:03:07.000]  上幾個月我們已經看了詩歌智慧文學,
[00:03:07.000 --> 00:03:14.000]  你會覺得很有趣,飽含哲理,令人心曠神怡。
[00:03:14.000 --> 00:03:19.000]  今天開始我們進入子系列,
[00:03:19.000 --> 00:03:22.000]  我們會聽到不同的先知,
[00:03:22.000 --> 00:03:30.000]  對罪惡的譴責,對歷史的反思,對前景的想像。
[00:03:30.000 --> 00:03:33.000]  你們會開始討厭我了,
[00:03:33.000 --> 00:03:39.000]  因為沒有人喜歡其他人揭露自己的罪。
[00:03:39.000 --> 00:03:45.000]  而先知文學連耶利米埃哥共有十七卷,
[00:03:45.000 --> 00:03:50.000]  我大大蓋蓋要用一年半時間才能說完,
[00:03:50.000 --> 00:03:55.000]  故此你們討厭我的日子將會很長。
[00:03:55.000 --> 00:03:59.000]  今天我們開始看先知書的第一卷,
[00:03:59.000 --> 00:04:01.000]  我們看二塞亞書,
[00:04:01.000 --> 00:04:06.000]  我們講到的經文就是六章第一節至第十三節,
[00:04:06.000 --> 00:04:10.000]  我們先看六章一至第四節,
[00:04:10.000 --> 00:04:14.000]  經文已經印在我們的程序表較後的部分,
[00:04:14.000 --> 00:04:18.000]  大家可以打開。
[00:04:18.000 --> 00:04:20.000]  二塞亞書六章第一節:
[00:04:20.000 --> 00:04:24.000]  當烏西亞王崩的那年,
[00:04:24.000 --> 00:04:31.000]  我見主坐在高高的寶座上,他的衣裳垂下,遮滿聖殿。
[00:04:31.000 --> 00:04:35.000]  其上有撒拉弗士納,各有六個翅膀,
[00:04:35.000 --> 00:04:41.000]  用兩個翅膀遮臉,兩個翅膀遮腳,兩個翅膀飛翔。
[00:04:41.000 --> 00:04:47.000]  彼此夫喊說:勝在!勝在!勝在!
[00:04:47.000 --> 00:04:51.000]  萬鈞之夜和華,他的榮光充滿全地。
[00:04:51.000 --> 00:04:59.000]  因夫喊謝的聲音,門攬的根基震動,電充滿了煙雲。
[00:04:59.000 --> 00:05:03.000]  這些都是臣臨在的一些景象。
[00:05:03.000 --> 00:05:09.000]  烏西亞王在位大概有五十年,
[00:05:09.000 --> 00:05:15.000]  是猶大王國在位最長的其中一位君主。
[00:05:15.000 --> 00:05:23.000]  在那個時候,國際有新興的勢力興起,那個就是亞述。
[00:05:23.000 --> 00:05:31.000]  由於亞述內亂的時候,他們沒有辦法東征西討,
[00:05:31.000 --> 00:05:39.000]  故此烏西亞王的那個年代,得以享受一個較為長時間的安定。
[00:05:39.000 --> 00:05:49.000]  在烏西亞王在位的時候,是一個和平、安穩的盛世。
[00:05:49.000 --> 00:05:55.000]  猶大王國除了所羅門王之後,最強大的盛世就是烏西亞王。
[00:05:55.000 --> 00:06:04.000]  烏西亞王死的時候,新興的勢力亞述就挑戰傳統的勢力埃及。
[00:06:04.000 --> 00:06:11.000]  兩個不同的大帝國開始爭奪武林盟主,
[00:06:11.000 --> 00:06:17.000]  而猶大國就夾在亞述和埃及的中間。
[00:06:17.000 --> 00:06:23.000]  聖經來到這裡,就開始一個國際的形勢了。
[00:06:23.000 --> 00:06:28.000]  我們看過去的經卷,就很少有這樣的國際性的描述。
[00:06:28.000 --> 00:06:39.000]  來到以塞亞書,就發覺是帝國之間的爭雄,而弱小的猶大國就夾在兩個強大的帝國的中間。
