
[00:00:00.000 --> 00:00:02.800]  如果你想一下 今天有一個很重要的人來到
[00:00:02.800 --> 00:00:04.800]  你的掌聲會不會好像剛纔那樣呢
[00:00:04.800 --> 00:00:07.400]  我不知道 不過你應該很厲害
[00:00:07.400 --> 00:00:11.800]  昔日 在我們下一張powerpoint裏面
[00:00:11.800 --> 00:00:16.600]  這個月裏面 中國有個要來習近平 大家認識吧
[00:00:16.600 --> 00:00:19.000]  他就去訪問
[00:00:19.000 --> 00:00:23.000]  這個應該是哪個地方 看不看得到
[00:00:23.000 --> 00:00:24.400]  猜一下
[00:00:24.400 --> 00:00:26.400]  他旁邊那個是什麼
[00:00:26.400 --> 00:00:29.400]  這個是泰國總理 我們再去泰國給大家知道
[00:00:29.400 --> 00:00:32.400]  當他去到很多地方 這個是泰國
[00:00:32.400 --> 00:00:34.000]  他們會夾道歡迎
[00:00:34.000 --> 00:00:36.400]  但是這個歡迎
[00:00:36.400 --> 00:00:38.800]  有一個字 在羅馬時候會用
[00:00:38.800 --> 00:00:41.000]  叫Perlosia 這個希臘文
[00:00:41.000 --> 00:00:44.600]  你想一下 大家有沒有看過《賓虛》這部電影
[00:00:44.600 --> 00:00:45.800]  賓虛哦
[00:00:45.800 --> 00:00:47.800]  你沒看過不要緊
[00:00:47.800 --> 00:00:50.800]  不過你聽過 什麼叫賓虛這樣的場面
[00:00:50.800 --> 00:00:52.400]  哇 很偉大的
[00:00:52.400 --> 00:00:54.400]  很多人真的去歡迎
[00:00:54.400 --> 00:00:56.200]  因爲在羅馬的時候
[00:00:56.200 --> 00:00:58.800]  羅馬的帝國是很大
[00:00:58.800 --> 00:01:01.600]  南征北戰都很厲害
[00:01:01.600 --> 00:01:04.600]  所以每逢羅馬王
[00:01:04.600 --> 00:01:06.600]  或者他重要的神靈
[00:01:06.600 --> 00:01:09.000]  去出征的時候
[00:01:09.000 --> 00:01:10.400]  那些人就夾道歡迎
[00:01:10.400 --> 00:01:13.000]  就好像賓虛一樣 哇 拍掌
[00:01:13.000 --> 00:01:14.000]  就是我們剛纔說的
[00:01:14.000 --> 00:01:16.000]  應該是我們剛纔的掌聲多少
[00:01:16.000 --> 00:01:17.400]  千倍萬倍
[00:01:17.400 --> 00:01:19.600]  在那裏歡呼 哇
[00:01:19.600 --> 00:01:21.600]  凱撒來了 凱撒來了
[00:01:21.600 --> 00:01:22.400]  就是這樣
