
[00:00:00.000 --> 00:00:04.880]  丁子妹在《馬拉基書》第一章第二節有記載
[00:00:04.880 --> 00:00:14.040]  「我曾愛你們,你們卻說,你在何時上愛我們呢?」
[00:00:14.040 --> 00:00:20.080]  原來以色列人曾質疑上帝對他們的愛
[00:00:20.080 --> 00:00:24.480]  丁子妹,如果今天上帝同樣這樣說
[00:00:24.480 --> 00:00:26.480]  「我曾愛你們」
[00:00:26.480 --> 00:00:29.480]  我們會否反問上帝
[00:00:29.480 --> 00:00:34.480]  「上帝,你何時愛我們?你如何愛我們?」
[00:00:34.480 --> 00:00:37.480]  不如苦心自問
[00:00:37.480 --> 00:00:41.480]  我愛不愛上帝?
[00:00:41.480 --> 00:00:46.480]  我愛上帝是否因為今天,我多難得
[00:00:46.480 --> 00:00:48.480]  原本可以五天假期
[00:00:48.480 --> 00:00:51.480]  我都來崇拜,不請你假期
[00:00:51.480 --> 00:00:54.480]  我算不可以吧,上帝
[00:00:54.480 --> 00:00:58.480]  還有,我沒有遲到
[00:00:58.480 --> 00:01:01.480]  就算我遲到,都比沒有到好
[00:01:01.480 --> 00:01:04.480]  所以上帝,我還不愛你?
[00:01:04.480 --> 00:01:10.480]  丁子妹,我愛上帝嗎?
[00:01:10.480 --> 00:01:13.480]  歷代至上第十七章
[00:01:13.480 --> 00:01:18.480]  是神和大衛一段很深情的對話
[00:01:18.480 --> 00:01:20.480]  如果大家留心
[00:01:20.480 --> 00:01:22.480]  一至十五節
[00:01:22.480 --> 00:01:27.480]  是上帝透過先知對大衛說出
[00:01:27.480 --> 00:01:30.480]  他對大衛和他的後代
[00:01:30.480 --> 00:01:34.480]  一個很重要的恩典和不變的應許
[00:01:34.480 --> 00:01:37.480]  接著十六至二十七節
[00:01:37.480 --> 00:01:40.480]  是大衛回應上帝
[00:01:40.480 --> 00:01:42.480]  透過祈禱重讚
[00:01:42.480 --> 00:01:45.480]  將感恩重讚歸給上帝
[00:01:45.480 --> 00:01:48.480]  其實整段的記載
[00:01:48.480 --> 00:01:51.480]  在撒慕爾記下第七章
[00:01:51.480 --> 00:01:53.480]  同樣有記載
[00:01:53.480 --> 00:01:58.480]  不過歷代至上有些少許的描述
[00:01:58.480 --> 00:01:59.480]  是沒有的
[00:01:59.480 --> 00:02:02.480]  這個不詳細解釋
[00:02:02.480 --> 00:02:04.480]  在一至二節裡
[00:02:04.480 --> 00:02:06.480]  記述了大衛
[00:02:06.480 --> 00:02:10.480]  一心想為上帝建造聖殿
[00:02:10.480 --> 00:02:12.480]  他甚至將心願
[00:02:12.480 --> 00:02:14.480]  和先知拿丹說
[00:02:14.480 --> 00:02:16.480]  因為拿丹是顧問
[00:02:16.480 --> 00:02:19.480]  就說給拿丹聽
[00:02:19.480 --> 00:02:20.480]  你看回經文
[00:02:20.480 --> 00:02:25.480]  大衛的心願是符合常理的
[00:02:25.480 --> 00:02:27.480]  很合理的
[00:02:27.480 --> 00:02:30.480]  即使有兩個原因
[00:02:30.480 --> 00:02:31.480]  第一節說
[00:02:31.480 --> 00:02:34.480]  大衛住在自己的宮中
[00:02:34.480 --> 00:02:36.480]  對先知拿丹說
[00:02:36.480 --> 00:02:40.480]  看啊 我住在香柏木的宮中
[00:02:40.480 --> 00:02:45.480]  瑤華的藥櫃反在萬子裡
[00:02:45.480 --> 00:02:49.480]  在經文十六章記載
[00:02:49.480 --> 00:02:52.480]  大衛在希臘王的協助下
[00:02:52.480 --> 00:02:56.480]  建造了一個用香柏木所建造的王宮
[00:02:56.480 --> 00:02:58.480]  香柏木的王宮
[00:02:58.480 --> 00:03:01.480]  代表堅固永久
