
[00:00:00.000 --> 00:00:09.000]  平姐妹早晨,再一次讚美主。我們再一次用感恩的心做一個簡單的祈禱。
[00:00:09.000 --> 00:00:18.000]  至的主,你是萬王之王,萬主之主。你配,因為你已經從死裡面得勝復活了。
[00:00:18.000 --> 00:00:28.000]  我們讚美你,我們今天屬於你的門徒,是上帝的兒女,我們是天國的子民,我們何等有福?
[00:00:28.000 --> 00:00:32.000]  我們願意聖靈住在我們心裡面,更新我們的心,
[00:00:32.000 --> 00:00:43.000]  讓我們有復活的盼望和力量行走我們今天人生的道路,直到那天主再來的時候,我們來得見你的真諦。
[00:00:43.000 --> 00:00:55.000]  我們讚美主,願榮耀歸給你,求你保守我們領受你的話,再一次藉著聖靈在我們心中,來向我們說話。
[00:00:55.000 --> 00:00:59.000]  我們這樣祈禱,奉耶穌基督的名,下門。
[00:00:59.000 --> 00:01:05.000]  今早,不知道大家有沒有看《寧命人娘》,如果沒有,今天回去可以看。
[00:01:05.000 --> 00:01:15.000]  今天剛剛有一個,一開始有一個見證,就是講到有一位耶魯大學的教授,
[00:01:15.000 --> 00:01:25.000]  他在臨終的時候說了一句話,他說,若基督復活了,其他的事都不是那麼重要。
[00:01:25.000 --> 00:01:30.000]  因為基督已經復活了,其他一切都不是那麼重要。
[00:01:30.000 --> 00:01:39.000]  若基督沒有復活,基督如果沒有復活,其他的一切都不重要了。
[00:01:39.000 --> 00:01:45.000]  若基督沒有復活,我們所見的一切只不過是短暫,沒有意義。
[00:01:45.000 --> 00:01:54.000]  人生如果沒有復活的盼望,就是沒有真正的永恆的目的和價值。
[00:01:54.000 --> 00:02:05.000]  所以這個也是剛剛與《哥林多前書》十五章這段的說話產生一個很大的共鳴。
[00:02:05.000 --> 00:02:13.000]  我們在過往幾個星期一直思想著,我們屬神的兒女領受了聖靈,
[00:02:13.000 --> 00:02:17.000]  應該作為屬靈的人,我們在人生的價值觀裡邊有更新,
[00:02:17.000 --> 00:02:28.000]  在我們對這個世界的看法,對於我們的工作,對於我們的家庭,對於聖道德的觀念,對於婚姻等等。
[00:02:28.000 --> 00:02:41.000]  這正是哥林多教會當時有很多不清楚的問題,保羅藉著他的書信來教導他們,幫助他們明白更新,
[00:02:41.000 --> 00:02:50.000]  以至能夠作為一個屬靈的人,有正確的這些對於世界,對於價值,對於人生的觀念。
[00:02:50.000 --> 00:02:55.000]  今天是復活節,所以我特地來看哥林多前書十五章。
[00:02:55.000 --> 00:03:01.000]  我們先來看看這段經文很長的,我們先來看看由十九到二十二節這幾節的經文。
[00:03:01.000 --> 00:03:04.000]  我們同聲將它讀出來,好嗎?請讀吧!
[00:03:04.000 --> 00:03:13.000]  我們若靠基督,只在今生有子亡,就算比眾人更可憐。
[00:03:13.000 --> 00:03:21.000]  但基督已經從死裡復活,成為碎鳥之人,初熟的果子。
[00:03:21.000 --> 00:03:31.000]  死既是因一人而來,死人復活也是因一人而來,在亞當裡眾人都死了,
[00:03:31.000 --> 00:03:37.000]  照若在基督裡眾人也都要復活。
[00:03:37.000 --> 00:03:45.000]  死既是因一人而來,一人是誰?亞當。
[00:03:45.000 --> 00:03:58.000]  所以亞當犯罪,人一樣在罪的裡面,我們就在死的結局那裡。
[00:03:58.000 --> 00:04:04.000]  但死人復活,也因一人而來,一人是誰?耶穌基督。
[00:04:04.000 --> 00:04:11.000]  所以照若在基督裡,我們只要因著基督的生命,我們信靠耶穌。
[00:04:11.000 --> 00:04:16.000]  耶穌所為我們所作的,祂就是從死裡面復活得勝了。
[00:04:16.000 --> 00:04:22.000]  所以我們所有的人,因著信靠耶穌,在基督裡面都要復活了。
[00:04:22.000 --> 00:04:32.000]  在這裡他提到,如果我們靠著基督,只得今生有子亡,就比眾人更可憐。
[00:04:32.000 --> 00:04:41.000]  因為原來我們這麼熱心,追求這麼衛生,信耶穌,原來耶穌沒有復活的,
[00:04:41.000 --> 00:04:50.000]  我們將來沒有永生的,那不如就不要浪費這些時間,浪費這些心思和精力了。
[00:04:50.000 --> 00:05:00.000]  但不是,這個傳是怎樣的?他說:但基督已經從死裡復活,成了垂了之人,初熟的果子。
[00:05:00.000 --> 00:05:07.000]  所以因著這樣,他就將這個逆轉了,將人類的命運逆轉了。
[00:05:07.000 --> 00:05:13.000]  將我們本來在罪裡面,在亞當裡面的死的結局,逆轉了過來。
[00:05:13.000 --> 00:05:18.000]  他賜給我們一個新的開始,一個新的生命。
[00:05:18.000 --> 00:05:22.000]  所以這個改變了,但基督已經復活了。
[00:05:22.000 --> 00:05:29.000]  我們不單止今生有把握,更重要的是我們有進入永恆的確懼。
[00:05:29.000 --> 00:05:35.000]  所以這個今天跟大家思想一個屬靈的人,我們今生永世觀,
[00:05:35.000 --> 00:05:43.000]  今生影響我們對永世的觀念,永世影響我們今生活著的意義。
[00:05:43.000 --> 00:05:50.000]  所以我們來看看這幾方面,在《柯林多前書》15章給我們看見的教導。
[00:05:50.000 --> 00:05:56.000]  第一,我們看見在復活的主,耶穌基督帶給我們的是什麼呢?
[00:05:56.000 --> 00:05:59.000]  帶給我們永世的榮耀。
[00:05:59.000 --> 00:06:07.000]  反過來說,我們有永世的榮耀,就是因著復活的基督所帶給我們的把握。
[00:06:07.000 --> 00:06:16.000]  我們有永恆的興許,有天家的確懼,有永生的把握,是因為基督是復活的主。
[00:06:16.000 --> 00:06:22.000]  既然是這樣,耶穌基督的復活是鐵一般的事實。
