
[00:00:00.000 --> 00:00:07.040]  我們都是生活在一個資訊氾濫的世俗的時代
[00:00:07.040 --> 00:00:08.960]  是不是?
[00:00:08.960 --> 00:00:13.840]  社教會是世俗的
[00:00:13.840 --> 00:00:15.680]  是不是?
[00:00:15.680 --> 00:00:20.440]  事實就是世界在教會的裏面
[00:00:20.440 --> 00:00:24.120]  教會好像世界一樣
[00:00:24.120 --> 00:00:27.960]  我們的生活是太過似世界
[00:00:27.960 --> 00:00:31.920]  我們真的需要一顆清潔的心
[00:00:31.920 --> 00:00:37.920]  我們的教會需要有一顆清潔的心
[00:00:37.920 --> 00:00:39.520]  除此之外
[00:00:39.520 --> 00:00:44.880]  我們也需要有屬靈辨識的能力
[00:00:44.880 --> 00:00:48.360]  可以分辨真偽
[00:00:48.360 --> 00:00:50.840]  我們同心禱告
[00:00:50.840 --> 00:00:53.840]  真愛主,多謝祢讓我們在今天
[00:00:53.840 --> 00:00:57.920]  我們眾弟兄姊妹們能夠相聚去敬拜祢
[00:00:57.920 --> 00:00:59.920]  我們用詩歌去讚美祢
[00:00:59.920 --> 00:01:02.760]  我們在祢面前去呼喊
[00:01:02.760 --> 00:01:04.960]  耶穌,耶穌
[00:01:04.960 --> 00:01:09.240]  主啊,我們真的會跟隨祢
[00:01:09.240 --> 00:01:10.200]  會愛祢
[00:01:10.200 --> 00:01:14.640]  求祢讓我們更加堅定地去相信祢
[00:01:14.640 --> 00:01:18.720]  在如今我們一同要聽祢的話語
[00:01:18.720 --> 00:01:21.200]  要遵循祢的話語
[00:01:21.200 --> 00:01:26.240]  我們亦會一起去牽手煮餐
[00:01:26.240 --> 00:01:36.920]  讓我們能夠聽見、看見、觸摸祢對我們的愛
[00:01:36.920 --> 00:01:40.320]  讓我們在祢的愛當中
[00:01:40.320 --> 00:01:44.760]  我們將祢的愛與眾人去分享
[00:01:44.760 --> 00:01:47.120]  主啊,我們仰望祢
[00:01:47.120 --> 00:01:51.000]  我們的禱告是奉主耶穌基督的名字求
[00:01:51.000 --> 00:01:53.320]  阿們
[00:01:53.320 --> 00:01:57.720]  約翰寫約翰一書的時候
[00:01:57.720 --> 00:02:02.680]  是在第一世紀末期
[00:02:02.680 --> 00:02:09.480]  在這個時間教會正面對逼迫
[00:02:09.480 --> 00:02:18.240]  在當時,如果人在宣佈耶穌基督是主
[00:02:18.240 --> 00:02:23.720]  這就意味著帝王不是主
[00:02:23.720 --> 00:02:27.920]  主只有一位,就是耶穌基督
[00:02:27.920 --> 00:02:34.320]  沒有一個的權柄是大過耶穌基督的權柄
[00:02:34.320 --> 00:02:38.360]  當然,這樣去宣佈是危險的
[00:02:38.360 --> 00:02:44.080]  要跟隨耶穌基督,人是會站在一個危險的地方
[00:02:44.080 --> 00:02:47.400]  約翰是知道這一點的
[00:02:47.400 --> 00:02:50.360]  但是要繼續的鼓勵信徒
[00:02:50.360 --> 00:02:54.240]  要繼續的相信耶穌基督
[00:02:54.240 --> 00:03:02.480]  相信耶穌基督是我們生命的救主和主人
[00:03:02.480 --> 00:03:04.560]  除此之外
[00:03:04.560 --> 00:03:09.480]  早期的教會也有一些假的先知和教師
[00:03:09.480 --> 00:03:12.040]  在道德和教義方面
[00:03:12.040 --> 00:03:16.480]  假的教師是錯誤的引領群羊
[00:03:16.480 --> 00:03:18.640]  叫他們走迷路
[00:03:18.640 --> 00:03:24.960]  所以約翰就叫弟兄姊妹要抵禦、抵擋這些假的老師
[00:03:24.960 --> 00:03:27.720]  要分辨真偽
[00:03:27.720 --> 00:03:31.760]  因此,約翰在四章的一至四節
[00:03:31.760 --> 00:03:37.560]  他講出一些分辨的定準、準則
[00:03:37.560 --> 00:03:39.600]  Pritevia
[00:03:39.600 --> 00:03:42.560]  在第一節,他開始這樣說
[00:03:42.560 --> 00:03:48.960]  「親愛的弟兄啊,一切的靈,你們不可都信
[00:03:48.960 --> 00:03:53.000]  總要試驗那些靈是出於神的不是
[00:03:53.000 --> 00:03:58.120]  因為世上有許多假先知已經出來了
[00:03:58.120 --> 00:04:04.640]  凡靈,認耶穌基督是成了肉身內的
[00:04:04.640 --> 00:04:06.560]  就是出於神的
[00:04:06.560 --> 00:04:11.840]  從此你們可以認出神的靈來
[00:04:11.840 --> 00:04:16.280]  凡靈,不認耶穌
[00:04:16.280 --> 00:04:18.760]  就不是出於神
[00:04:18.760 --> 00:04:21.800]  這是那的基督者的靈
[00:04:21.800 --> 00:04:24.760]  你們從前聽見祂要來
[00:04:24.760 --> 00:04:28.600]  現在已經在世上了
[00:04:28.600 --> 00:04:32.120]  小子們啊,你們是屬神的
[00:04:32.120 --> 00:04:34.360]  並且聖了他們
[00:04:34.360 --> 00:04:43.520]  因為那在你們裡面的,比那在世界上的更大」
[00:04:43.520 --> 00:04:46.280]  約翰的第一句話是
[00:04:46.280 --> 00:04:51.840]  「親愛的弟兄啊,一切的靈,你們不可都信
[00:04:51.840 --> 00:04:56.680]  總要試驗那些靈是出於神的不是
[00:04:56.680 --> 00:05:02.120]  因為世上有許多假先知已經出來了」
[00:05:02.120 --> 00:05:08.720]  約翰叫弟兄姊妹們不要輕信
[00:05:08.720 --> 00:05:13.280]  輕信是自力自殺的行為
[00:05:13.280 --> 00:05:18.480]  當基督徒相信耶穌基督的時候
[00:05:18.480 --> 00:05:24.960]  他們不是要在城寨家的門口扔下腦袋
[00:05:24.960 --> 00:05:30.160]  基督徒是要以信心和智慧去面對這個世界
[00:05:30.160 --> 00:05:37.200]  約翰說真正的信心是有辨識的能力
[00:05:37.200 --> 00:05:41.480]  所以約翰說「一切的靈,你們不可都信
[00:05:41.480 --> 00:05:44.760]  靈性的辨識是必須的」
[00:05:44.760 --> 00:05:46.800]  世上的靈是怎樣呢?
[00:05:46.800 --> 00:05:49.680]  是打扮到他們好像真理一樣
[00:05:49.680 --> 00:05:52.920]  打的老師就在大家的四周
[00:05:52.920 --> 00:05:55.280]  他們說他們有特別的意象
[00:05:55.280 --> 00:05:58.240]  有特別對聖靈的經歷
[00:05:58.240 --> 00:06:02.440]  但他們說耶穌基督的道成肉身不是真的
[00:06:02.440 --> 00:06:04.040]  你們不要相信
[00:06:04.040 --> 00:06:07.760]  因為聖靈在耶穌基督受浸的時候
[00:06:07.760 --> 00:06:09.480]  降臨在他的身上
[00:06:09.480 --> 00:06:13.120]  但耶穌基督在十字架上死了之後
[00:06:13.120 --> 00:06:14.920]  這個靈就離開
[00:06:14.920 --> 00:06:19.960]  所以耶穌基督似乎是一個人
[00:06:19.960 --> 00:06:23.000]  事實祂不是
[00:06:23.000 --> 00:06:32.280]  因為神聖和聖潔是不能被人的肉身去玷污的
[00:06:32.280 --> 00:06:36.240]  約翰指出這些都是敵基督的信仰
[00:06:36.240 --> 00:06:39.480]  這些敵基督的聲音在教會的裏面
[00:06:39.480 --> 00:06:41.720]  亦在教會的四周
[00:06:41.720 --> 00:06:44.480]  敵基督的靈是怎樣呢?
[00:06:44.480 --> 00:06:52.720]  是反對神在耶穌基督裏面來到這個世界
[00:06:52.720 --> 00:06:56.000]  這種說法是很危險的
[00:06:56.000 --> 00:06:59.800]  結果是恐怖的
[00:06:59.800 --> 00:07:05.560]  不久之前一位親愛的姐妹回到天家
[00:07:05.560 --> 00:07:08.160]  她對教會的貢獻很大
[00:07:08.160 --> 00:07:12.480]  她很願意將她的積蓄
[00:07:12.480 --> 00:07:16.680]  在教會和弟兄姐妹們分享支持聖公
[00:07:16.680 --> 00:07:19.560]  她不是城鎮家的姐妹
[00:07:19.560 --> 00:07:34.800]  但後來有人發現她也捐獻了一個異端的組織
[00:07:34.800 --> 00:07:38.600]  沒錯,她是單純的,她是有愛心的
[00:07:38.600 --> 00:07:41.640]  不過她也是無知的
[00:07:41.640 --> 00:07:44.840]  所以約翰給了我們一些忠告
[00:07:44.840 --> 00:07:50.120]  在第二節,「凡靈認耶穌基督是成了肉身來的
[00:07:50.120 --> 00:07:52.240]  就是出於神的
[00:07:52.240 --> 00:07:55.280]  從此你們可以認出神的靈來
[00:07:55.280 --> 00:07:59.080]  凡靈不認耶穌的,就不是出於神
[00:07:59.080 --> 00:08:02.200]  這是那敵基督的靈」
[00:08:02.200 --> 00:08:05.520]  他已經來到了
[00:08:05.520 --> 00:08:10.640]  約翰挑戰人是要做辨識的功夫
[00:08:10.640 --> 00:08:15.840]  辨識心臟的問題是
[00:08:15.840 --> 00:08:18.320]  你有沒有說到耶穌基督?
[00:08:18.320 --> 00:08:20.800]  那個人有沒有說到耶穌基督?
[00:08:20.800 --> 00:08:23.720]  他的說法有沒有說到耶穌基督?
[00:08:23.720 --> 00:08:27.640]  他說到耶穌基督是誰?
[00:08:27.640 --> 00:08:31.360]  約翰說:耶穌基督是我們信仰的中心
[00:08:31.360 --> 00:08:33.160]  是啟示的中心
[00:08:33.160 --> 00:08:37.040]  耶穌基督真的來到這個世界上拯救我們
[00:08:37.040 --> 00:08:40.480]  耶穌基督真的道成肉身來到這個世界
[00:08:40.480 --> 00:08:44.520]  耶穌基督是全面、全然的神
[00:08:44.520 --> 00:08:45.960]  是全然的人
[00:08:45.960 --> 00:08:48.120]  祂著實是瑪利亞所生的
[00:08:48.120 --> 00:08:53.040]  祂是比拉多在當中被祂審
[00:08:53.040 --> 00:08:55.240]  而且受苦被祂釘死
[00:08:55.240 --> 00:08:56.520]  然後復活
[00:08:56.520 --> 00:08:58.840]  後來在榮耀當中升上天
