
[00:00:00.000 --> 00:00:03.240]  香港多年來都擁有購物天堂的美譽
[00:00:03.240 --> 00:00:06.560]  吸引了世界各地的旅客來到香港購物
[00:00:06.560 --> 00:00:10.080]  過去有好幾年有好多內地的自由行的人
[00:00:10.080 --> 00:00:12.800]  都拖著行李箱來香港掃貨
[00:00:12.800 --> 00:00:17.160]  2018年每日工作時間最長的世界排名榜
[00:00:17.160 --> 00:00:19.280]  香港排在五名以內
[00:00:19.280 --> 00:00:22.520]  不少上班族見同事的成員
[00:00:22.520 --> 00:00:25.200]  都會為自己的行李箱掃貨
[00:00:25.200 --> 00:00:26.640]  在香港的行李箱中
[00:00:26.640 --> 00:00:32.160]  不少上班族見同事的時間比見家人還要多
[00:00:32.160 --> 00:00:35.280]  另外香港很多人都喜歡去旅遊
[00:00:35.280 --> 00:00:37.480]  一有假期就出外旅遊
[00:00:37.480 --> 00:00:39.000]  對於這些人來說
[00:00:39.000 --> 00:00:41.720]  好像旅遊就是指定的動作
[00:00:41.720 --> 00:00:44.040]  香港又稱為美食的天堂
[00:00:44.040 --> 00:00:47.400]  短短一條街有各樣美食的店舖
[00:00:47.400 --> 00:00:50.840]  不過因疫情旅遊業差不多停頓
[00:00:50.840 --> 00:00:52.360]  為了減低感染
[00:00:52.360 --> 00:00:54.760]  很多人又要在家工作
[00:00:54.760 --> 00:00:57.200]  完全改變了工作模式
[00:00:57.200 --> 00:00:59.600]  由於疫情現在全球擴散
[00:00:59.600 --> 00:01:01.720]  大家都不敢冒險出去旅遊
[00:01:01.720 --> 00:01:02.560]  應該這樣說
[00:01:02.560 --> 00:01:04.240]  基本上我們都不能去旅遊
[00:01:04.240 --> 00:01:05.920]  因為都不讓我們入境
[00:01:05.920 --> 00:01:08.040]  另外為了我們不想受感染
[00:01:08.040 --> 00:01:09.800]  大家都減少出去食飯
[00:01:09.800 --> 00:01:12.320]  不少的食肆都面臨倒閉
[00:01:12.320 --> 00:01:15.920]  以往我們所擁有、習慣、喜歡的事物
[00:01:15.920 --> 00:01:18.120]  好像一夜之間都消失了
[00:01:18.120 --> 00:01:19.960]  究竟我們有什麼感想?
[00:01:19.960 --> 00:01:23.160]  究竟我們還剩下什麼?
[00:01:23.160 --> 00:01:25.640]  真言十五章第十六節說
[00:01:25.640 --> 00:01:28.480]  敬畏上主而身無長物
[00:01:28.480 --> 00:01:29.800]  勝過財富
[00:01:29.800 --> 00:01:32.480]  封口卻心中繁願
[00:01:32.480 --> 00:01:34.480]  希望大家珍惜這個機會
[00:01:34.480 --> 00:01:35.800]  安靜下來
[00:01:35.800 --> 00:01:37.200]  讓神的說話
[00:01:37.200 --> 00:01:38.440]  聖靈的引導
[00:01:38.440 --> 00:01:40.960]  幫助你有好好的反省
