
[00:00:00.000 --> 00:00:02.000]  不知道大家有沒有試過
[00:00:02.000 --> 00:00:03.240]  你知道你想去哪裡
[00:00:03.240 --> 00:00:04.640]  你拿著地址
[00:00:04.640 --> 00:00:06.600]  但是總是迷路了
[00:00:06.600 --> 00:00:07.760]  大家有沒有試過
[00:00:07.760 --> 00:00:10.080]  今天的時下不會有什麼事情發生
[00:00:10.080 --> 00:00:12.280]  大家都有GPS
[00:00:12.280 --> 00:00:13.280]  是不是
[00:00:13.280 --> 00:00:14.360]  首先我想跟大家說
[00:00:14.360 --> 00:00:15.600]  我的經驗就是
[00:00:15.600 --> 00:00:16.960]  千萬不要盡信GPS
[00:00:16.960 --> 00:00:18.160]  甚至GPS都會錯的
[00:00:18.160 --> 00:00:19.640]  還有
[00:00:19.640 --> 00:00:22.040]  第二個原因很多時候你發覺去的地方
[00:00:22.040 --> 00:00:24.880]  還有其他的因素決定你去不去得到
[00:00:24.880 --> 00:00:27.000]  我曾經有一個這樣的經驗
[00:00:27.000 --> 00:00:29.480]  大家知道我早前去日本旅遊
[00:00:29.480 --> 00:00:31.600]  最後那一程導遊跟我說
[00:00:31.600 --> 00:00:34.120]  你們某個小時一定要回來這個地點集合
[00:00:34.120 --> 00:00:34.960]  因為我們趕飛機
[00:00:34.960 --> 00:00:36.800]  千萬不要遲到
[00:00:36.800 --> 00:00:37.600]  我看看時間
[00:00:37.600 --> 00:00:39.040]  還有三兩個小時
[00:00:39.040 --> 00:00:40.080]  應該夠時間
[00:00:40.080 --> 00:00:43.800]  大家看到這個就是日本的地鐵圖
[00:00:43.800 --> 00:00:45.040]  說我有信心
[00:00:45.040 --> 00:00:48.000]  就跟我和師母一起坐地鐵
[00:00:48.000 --> 00:00:49.200]  去到某個地方
[00:00:49.200 --> 00:00:51.960]  最後一行近來再買
[00:00:51.960 --> 00:00:52.880]  做購物
[00:00:52.880 --> 00:00:55.400]  然後打算去回那個站
[00:00:55.400 --> 00:00:57.160]  包沒有錯
[00:00:57.160 --> 00:01:00.320]  我們就按照計劃進行了
[00:01:00.320 --> 00:01:02.680]  誰知我們坐地鐵去到
[00:01:02.680 --> 00:01:03.800]  走完購物
[00:01:03.800 --> 00:01:04.960]  坐回地鐵
[00:01:04.960 --> 00:01:06.720]  回到那個站那裡
[00:01:06.720 --> 00:01:07.360]  下車的時候
[00:01:07.360 --> 00:01:09.840]  我說為什麼那個站不同了
[00:01:09.840 --> 00:01:11.080]  但是都沒有留意
[00:01:11.080 --> 00:01:12.680]  想著那個站當然很大
[00:01:12.680 --> 00:01:13.520]  我說不要緊
[00:01:13.520 --> 00:01:16.160]  上到地面查查GPS
[00:01:16.160 --> 00:01:18.560]  去回我們集合的地點
[00:01:18.560 --> 00:01:20.800]  誰知一上到地面
[00:01:20.800 --> 00:01:21.920]  用GPS一看
[00:01:21.920 --> 00:01:24.480]  15分鐘之後去得到我們那個地點
[00:01:24.480 --> 00:01:25.560]  我說有沒有搞錯
[00:01:25.560 --> 00:01:26.440]  沒可能的
[00:01:26.440 --> 00:01:28.040]  難道GPS壞了
[00:01:28.040 --> 00:01:30.720]  回到地鐵站那裡
[00:01:30.720 --> 00:01:32.640]  問問那裡的職員
[00:01:32.640 --> 00:01:34.040]  原來日本大部分的職員
[00:01:34.040 --> 00:01:35.320]  都不會說英文的
[00:01:35.320 --> 00:01:36.160]  找了很久
[00:01:36.160 --> 00:01:37.640]  找到一個職員
[00:01:37.640 --> 00:01:38.560]  會說英文的
[00:01:38.560 --> 00:01:44.200]  他說你下車的那個站不同了
[00:01:44.200 --> 00:01:46.560]  因為不同地鐵線
[00:01:46.560 --> 00:01:48.520]  大家看不看得到那個地鐵
[00:01:48.520 --> 00:01:51.360]  不同顏色的就是不同的地鐵線
[00:01:51.360 --> 00:01:53.080]  同一個地鐵
[00:01:53.080 --> 00:01:54.440]  當然是在同一個地方
[00:01:54.440 --> 00:01:56.080]  但是在同一個區
[00:01:56.080 --> 00:01:58.240]  如果你不同地鐵線的話
